scenario,year,species,region,commodity,sector,subsector,unit,value
tfp1,2017,energy,Australia_Oceania,Coal,Rice,,million toe,2.32E-05
tfp1,2017,energy,Australia_Oceania,Oil,Rice,,million toe,8.09E-09
tfp1,2017,energy,Australia_Oceania,Gas,Rice,,million toe,0.00017725
tfp1,2017,energy,Australia_Oceania,Petro,Rice,,million toe,0.007282001
tfp1,2017,energy,Australia_Oceania,Power,Rice,,million toe,0.000667687
tfp1,2017,CO2,Australia_Oceania,Coal,Rice,,million t,9.35E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Rice,,million t,2.48E-08
tfp1,2017,CO2,Australia_Oceania,Gas,Rice,,million t,0.000416325
tfp1,2017,CO2,Australia_Oceania,Petro,Rice,,million t,0.022408583
tfp1,2017,energy,Australia_Oceania,Coal,Crops nec,,million toe,0.063331822
tfp1,2017,energy,Australia_Oceania,Oil,Crops nec,,million toe,1.18E-05
tfp1,2017,energy,Australia_Oceania,Gas,Crops nec,,million toe,0.024192694
tfp1,2017,energy,Australia_Oceania,Petro,Crops nec,,million toe,1.098225684
tfp1,2017,energy,Australia_Oceania,Power,Crops nec,,million toe,0.141166029
tfp1,2017,CO2,Australia_Oceania,Coal,Crops nec,,million t,0.254333902
tfp1,2017,CO2,Australia_Oceania,Oil,Crops nec,,million t,3.64E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Crops nec,,million t,0.056823675
tfp1,2017,CO2,Australia_Oceania,Petro,Crops nec,,million t,3.379884121
tfp1,2017,energy,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million toe,0.006981745
tfp1,2017,energy,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million toe,4.52E-07
tfp1,2017,energy,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million toe,0.00776862
tfp1,2017,energy,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million toe,0.402606829
tfp1,2017,energy,Australia_Oceania,Power,"Bovine cattle, sheep and goats, horses",,million toe,0.071923736
tfp1,2017,CO2,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million t,0.028073321
tfp1,2017,CO2,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million t,1.39E-06
tfp1,2017,CO2,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million t,0.018246895
tfp1,2017,CO2,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million t,1.239696064
tfp1,2017,energy,Australia_Oceania,Coal,Animal products nec,,million toe,0.012929314
tfp1,2017,energy,Australia_Oceania,Oil,Animal products nec,,million toe,9.75E-07
tfp1,2017,energy,Australia_Oceania,Gas,Animal products nec,,million toe,0.027553249
tfp1,2017,energy,Australia_Oceania,Petro,Animal products nec,,million toe,0.766515031
tfp1,2017,energy,Australia_Oceania,Power,Animal products nec,,million toe,0.190225392
tfp1,2017,CO2,Australia_Oceania,Coal,Animal products nec,,million t,0.051989486
tfp1,2017,CO2,Australia_Oceania,Oil,Animal products nec,,million t,2.99E-06
tfp1,2017,CO2,Australia_Oceania,Gas,Animal products nec,,million t,0.064716928
tfp1,2017,CO2,Australia_Oceania,Petro,Animal products nec,,million t,2.360559941
tfp1,2017,energy,Australia_Oceania,Coal,Forestry,,million toe,0.000157144
tfp1,2017,energy,Australia_Oceania,Oil,Forestry,,million toe,5.27E-07
tfp1,2017,energy,Australia_Oceania,Gas,Forestry,,million toe,0.001511314
tfp1,2017,energy,Australia_Oceania,Petro,Forestry,,million toe,0.878645572
tfp1,2017,energy,Australia_Oceania,Power,Forestry,,million toe,0.008105678
tfp1,2017,CO2,Australia_Oceania,Coal,Forestry,,million t,0.000631777
tfp1,2017,CO2,Australia_Oceania,Oil,Forestry,,million t,1.62E-06
tfp1,2017,CO2,Australia_Oceania,Gas,Forestry,,million t,0.003549765
tfp1,2017,CO2,Australia_Oceania,Petro,Forestry,,million t,2.70504699
tfp1,2017,energy,Australia_Oceania,Coal,Coal,,million toe,0.082931403
