scenario,year,species,region,commodity,sector,subsector,unit,value
tfp2,2017,energy,Australia_Oceania,Coal,Rice,,million toe,2.3130080372752575e-5
tfp2,2017,energy,Australia_Oceania,Oil,Rice,,million toe,8.092277800391117e-9
tfp2,2017,energy,Australia_Oceania,Gas,Rice,,million toe,0.00017688039876327422
tfp2,2017,energy,Australia_Oceania,Petro,Rice,,million toe,0.007284402171265257
tfp2,2017,energy,Australia_Oceania,Power,Rice,,million toe,0.0006624271969636522
tfp2,2017,CO2,Australia_Oceania,Coal,Rice,,million t,9.300259821804417e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Rice,,million t,2.4845880288148973e-8
tfp2,2017,CO2,Australia_Oceania,Gas,Rice,,million t,0.0004154557783856782
tfp2,2017,CO2,Australia_Oceania,Petro,Rice,,million t,0.02241597232534329
tfp2,2017,energy,Australia_Oceania,Coal,Crops nec,,million toe,0.06304647351252031
tfp2,2017,energy,Australia_Oceania,Oil,Crops nec,,million toe,1.1853773772026451e-5
tfp2,2017,energy,Australia_Oceania,Gas,Crops nec,,million toe,0.024154537272423802
tfp2,2017,energy,Australia_Oceania,Petro,Crops nec,,million toe,1.0991492711236694
tfp2,2017,energy,Australia_Oceania,Power,Crops nec,,million toe,0.14012546482545687
tfp2,2017,CO2,Australia_Oceania,Coal,Crops nec,,million t,0.2531879735863643
tfp2,2017,CO2,Australia_Oceania,Oil,Crops nec,,million t,3.639487588214466e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Crops nec,,million t,0.05673405123809798
tfp2,2017,CO2,Australia_Oceania,Petro,Crops nec,,million t,3.382726539403217
tfp2,2017,energy,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million toe,0.006951564361125338
tfp2,2017,energy,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million toe,4.523532381382601e-7
tfp2,2017,energy,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million toe,0.0077577913779297925
tfp2,2017,energy,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million toe,0.40301941722049567
tfp2,2017,energy,Australia_Oceania,Power,"Bovine cattle, sheep and goats, horses",,million toe,0.07140668358120801
tfp2,2017,CO2,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million t,0.02795196614102968
tfp2,2017,CO2,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million t,1.3888691223101995e-6
tfp2,2017,CO2,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million t,0.01822146137200389
tfp2,2017,CO2,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million t,1.2409664943333196
tfp2,2017,energy,Australia_Oceania,Coal,Animal products nec,,million toe,0.012878703739366153
tfp2,2017,energy,Australia_Oceania,Oil,Animal products nec,,million toe,9.760838544796641e-7
tfp2,2017,energy,Australia_Oceania,Gas,Animal products nec,,million toe,0.027526129625772448
tfp2,2017,energy,Australia_Oceania,Petro,Animal products nec,,million toe,0.7676152800210546
tfp2,2017,energy,Australia_Oceania,Power,Animal products nec,,million toe,0.18893534590190803
tfp2,2017,CO2,Australia_Oceania,Coal,Animal products nec,,million t,0.051785980233638
tfp2,2017,CO2,Australia_Oceania,Oil,Animal products nec,,million t,2.996889568489754e-6
tfp2,2017,CO2,Australia_Oceania,Gas,Animal products nec,,million t,0.06465323101583258
tfp2,2017,CO2,Australia_Oceania,Petro,Animal products nec,,million t,2.363948267678597
tfp2,2017,energy,Australia_Oceania,Coal,Forestry,,million toe,0.00015623661996490745
tfp2,2017,energy,Australia_Oceania,Oil,Forestry,,million toe,5.271363557909579e-7
tfp2,2017,energy,Australia_Oceania,Gas,Forestry,,million toe,0.0015070066959848706
tfp2,2017,energy,Australia_Oceania,Petro,Forestry,,million toe,0.8782636733402223
tfp2,2017,energy,Australia_Oceania,Power,Forestry,,million toe,0.00803567488367659
tfp2,2017,CO2,Australia_Oceania,Coal,Forestry,,million t,0.000628128408451981
tfp2,2017,CO2,Australia_Oceania,Oil,Forestry,,million t,1.6184771058979018e-6
tfp2,2017,CO2,Australia_Oceania,Gas,Forestry,,million t,0.0035396491531965485
tfp2,2017,CO2,Australia_Oceania,Petro,Forestry,,million t,2.703871255676909
tfp2,2017,energy,Australia_Oceania,Coal,Coal,,million toe,0.08275881446368417
tfp2,2017,energy,Australia_Oceania,Oil,Coal,,million toe,0.00015727197126193303
tfp2,2017,energy,Australia_Oceania,Gas,Coal,,million toe,0.001018833502487605
tfp2,2017,energy,Australia_Oceania,Petro,Coal,,million toe,2.350360975708122
tfp2,2017,energy,Australia_Oceania,Power,Coal,,million toe,0.4879121447581679
tfp2,2017,CO2,Australia_Oceania,Coal,Coal,,million t,0.33188593990380844
tfp2,2017,CO2,Australia_Oceania,Oil,Coal,,million t,0.0007025834970457013
tfp2,2017,CO2,Australia_Oceania,Gas,Coal,,million t,0.0023734430180833827
tfp2,2017,CO2,Australia_Oceania,Petro,Coal,,million t,7.288478958155217
tfp2,2017,energy,Australia_Oceania,Coal,Oil,,million toe,3.98676611375087e-8
tfp2,2017,energy,Australia_Oceania,Oil,Oil,,million toe,0.03442484419029704
tfp2,2017,energy,Australia_Oceania,Gas,Oil,,million toe,0.0010070206613726669
tfp2,2017,energy,Australia_Oceania,Petro,Oil,,million toe,0.01139233644132544
tfp2,2017,energy,Australia_Oceania,Power,Oil,,million toe,0.07788729177556801
tfp2,2017,CO2,Australia_Oceania,Coal,Oil,,million t,1.2920976800972577e-7
tfp2,2017,CO2,Australia_Oceania,Oil,Oil,,million t,0.10569528370416
tfp2,2017,CO2,Australia_Oceania,Gas,Oil,,million t,0.0027053911141710018
tfp2,2017,CO2,Australia_Oceania,Petro,Oil,,million t,0.03273262063478619
tfp2,2017,energy,Australia_Oceania,Coal,Gas,,million toe,0.00026070854859414956
tfp2,2017,energy,Australia_Oceania,Oil,Gas,,million toe,0.000947574295508255
tfp2,2017,energy,Australia_Oceania,Gas,Gas,,million toe,1.9209719186319298
tfp2,2017,energy,Australia_Oceania,Petro,Gas,,million toe,0.07311765378662508
tfp2,2017,energy,Australia_Oceania,Power,Gas,,million toe,0.5037588018543094
tfp2,2017,CO2,Australia_Oceania,Coal,Gas,,million t,2.9747836198282273e-7
tfp2,2017,CO2,Australia_Oceania,Oil,Gas,,million t,0.0
tfp2,2017,CO2,Australia_Oceania,Gas,Gas,,million t,4.5094605072267155
tfp2,2017,CO2,Australia_Oceania,Petro,Gas,,million t,0.21004416130893658
