scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp0,2017,electicity cost of TnD,Australia_Oceania,,,Power,TnD,,1000 USD/toe,0.8242790445488564
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Coal_Power,,million toe,10.077020667704314
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Coal_Power,,1000 USD/toe,0.8989540322575162
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Oil_Power,,million toe,0.22633912830843586
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Oil_Power,,1000 USD/toe,1.5872451145282915
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Gas_Power,,million toe,4.359385493877265
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Gas_Power,,1000 USD/toe,0.8543188730161352
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Nuclear,,million toe,2.033191016532603e-8
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Nuclear,,1000 USD/toe,0.0007438975112375596
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Hydro,,million toe,7.127975696171661
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Hydro,,1000 USD/toe,0.5344793055795466
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Wind,,million toe,5.577097934081162
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Wind,,1000 USD/toe,0.3727659289573021
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Solar,,million toe,1.589872268249094
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Solar,,1000 USD/toe,0.5384998303051812
tfp0,2017,electicity generation by technology,Australia_Oceania,,,Power,Biomass,,million toe,0.5450483466343486
tfp0,2017,electicity cost by technology,Australia_Oceania,,,Power,Biomass,,1000 USD/toe,0.6380930516387184
tfp0,2017,electicity cost of TnD,China,,,Power,TnD,,1000 USD/toe,0.2726577010846945
tfp0,2017,electicity generation by technology,China,,,Power,Coal_Power,,million toe,527.9905100473154
tfp0,2017,electicity cost by technology,China,,,Power,Coal_Power,,1000 USD/toe,0.542909387839789
tfp0,2017,electicity generation by technology,China,,,Power,Oil_Power,,million toe,1.9163230725803269
tfp0,2017,electicity cost by technology,China,,,Power,Oil_Power,,1000 USD/toe,1.013655824852294
tfp0,2017,electicity generation by technology,China,,,Power,Gas_Power,,million toe,9.043062411638672
tfp0,2017,electicity cost by technology,China,,,Power,Gas_Power,,1000 USD/toe,0.8884667182238016
tfp0,2017,electicity generation by technology,China,,,Power,Nuclear,,million toe,11.11926910758691
tfp0,2017,electicity cost by technology,China,,,Power,Nuclear,,1000 USD/toe,0.885344589802881
tfp0,2017,electicity generation by technology,China,,,Power,Hydro,,million toe,196.04657917496104
tfp0,2017,electicity cost by technology,China,,,Power,Hydro,,1000 USD/toe,0.4569109727060167
tfp0,2017,electicity generation by technology,China,,,Power,Wind,,million toe,12.028603599275577
tfp0,2017,electicity cost by technology,China,,,Power,Wind,,1000 USD/toe,0.9431796440759048
tfp0,2017,electicity generation by technology,China,,,Power,Solar,,million toe,1.6652068956685946
tfp0,2017,electicity cost by technology,China,,,Power,Solar,,1000 USD/toe,1.5764333758123585
tfp0,2017,electicity generation by technology,China,,,Power,Biomass,,million toe,0.09413958359220397
tfp0,2017,electicity cost by technology,China,,,Power,Biomass,,1000 USD/toe,5.450137681091095
tfp0,2017,electicity cost of TnD,Japan,,,Power,TnD,,1000 USD/toe,0.5227524376459334
tfp0,2017,electicity generation by technology,Japan,,,Power,Coal_Power,,million toe,26.08794956264646
tfp0,2017,electicity cost by technology,Japan,,,Power,Coal_Power,,1000 USD/toe,1.5072528481301881
tfp0,2017,electicity generation by technology,Japan,,,Power,Oil_Power,,million toe,14.0883698214337
tfp0,2017,electicity cost by technology,Japan,,,Power,Oil_Power,,1000 USD/toe,0.9557338956035771
tfp0,2017,electicity generation by technology,Japan,,,Power,Gas_Power,,million toe,52.356654894986846
tfp0,2017,electicity cost by technology,Japan,,,Power,Gas_Power,,1000 USD/toe,1.1899732872819717
tfp0,2017,electicity generation by technology,Japan,,,Power,Nuclear,,million toe,6.785825942406965
tfp0,2017,electicity cost by technology,Japan,,,Power,Nuclear,,1000 USD/toe,0.8605104870327194
tfp0,2017,electicity generation by technology,Japan,,,Power,Hydro,,million toe,4.112300131074717
tfp0,2017,electicity cost by technology,Japan,,,Power,Hydro,,1000 USD/toe,1.825583982151977
tfp0,2017,electicity generation by technology,Japan,,,Power,Wind,,million toe,0.16855633062560402
tfp0,2017,electicity cost by technology,Japan,,,Power,Wind,,1000 USD/toe,2.445100714802864
tfp0,2017,electicity generation by technology,Japan,,,Power,Solar,,million toe,1.2714451325765792
tfp0,2017,electicity cost by technology,Japan,,,Power,Solar,,1000 USD/toe,2.715476433423353
tfp0,2017,electicity generation by technology,Japan,,,Power,Biomass,,million toe,0.02284340872492273
tfp0,2017,electicity cost by technology,Japan,,,Power,Biomass,,1000 USD/toe,14.396289462853598
tfp0,2017,electicity cost of TnD,South Korea,,,Power,TnD,,1000 USD/toe,0.30954639369159115
tfp0,2017,electicity generation by technology,South Korea,,,Power,Coal_Power,,million toe,16.587349254352763
tfp0,2017,electicity cost by technology,South Korea,,,Power,Coal_Power,,1000 USD/toe,0.9457749934191619
tfp0,2017,electicity generation by technology,South Korea,,,Power,Oil_Power,,million toe,0.22861421846931446
tfp0,2017,electicity cost by technology,South Korea,,,Power,Oil_Power,,1000 USD/toe,1.588067391501543
tfp0,2017,electicity generation by technology,South Korea,,,Power,Gas_Power,,million toe,8.87327382205278
tfp0,2017,electicity cost by technology,South Korea,,,Power,Gas_Power,,1000 USD/toe,0.9325781547696338
tfp0,2017,electicity generation by technology,South Korea,,,Power,Nuclear,,million toe,41.834483378312704
tfp0,2017,electicity cost by technology,South Korea,,,Power,Nuclear,,1000 USD/toe,0.4487116358648856
tfp0,2017,electicity generation by technology,South Korea,,,Power,Hydro,,million toe,0.056855880005804896
tfp0,2017,electicity cost by technology,South Korea,,,Power,Hydro,,1000 USD/toe,1.6747082511834297
tfp0,2017,electicity generation by technology,South Korea,,,Power,Wind,,million toe,0.010811400619736681
tfp0,2017,electicity cost by technology,South Korea,,,Power,Wind,,1000 USD/toe,3.3749129829944526
tfp0,2017,electicity generation by technology,South Korea,,,Power,Solar,,million toe,0.026311397377402533
tfp0,2017,electicity cost by technology,South Korea,,,Power,Solar,,1000 USD/toe,4.085754018443259
tfp0,2017,electicity generation by technology,South Korea,,,Power,Biomass,,million toe,0.05265169567360263
tfp0,2017,electicity cost by technology,South Korea,,,Power,Biomass,,1000 USD/toe,2.871429973162167
tfp0,2017,electicity cost of TnD,Rest of World,,,Power,TnD,,1000 USD/toe,0.2572395174878269
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Coal_Power,,million toe,2.461479057083727
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Coal_Power,,1000 USD/toe,0.6888531882026732
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Oil_Power,,million toe,0.00821494463650958
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Oil_Power,,1000 USD/toe,2.055799907418458
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Gas_Power,,million toe,0.027267195451324278
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Gas_Power,,1000 USD/toe,0.858583363694247
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Nuclear,,million toe,-6.613171767094408e-6
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Nuclear,,1000 USD/toe,0.0012965130191399006
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Hydro,,million toe,1.8740647680453777
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Hydro,,1000 USD/toe,0.44027320397680275
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Wind,,million toe,0.01138908081189576
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Wind,,1000 USD/toe,0.8956679357084725
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Solar,,million toe,0.0016538836126062811
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Solar,,1000 USD/toe,0.940153752078593
tfp0,2017,electicity generation by technology,Rest of World,,,Power,Biomass,,million toe,0.0009862501817405952
tfp0,2017,electicity cost by technology,Rest of World,,,Power,Biomass,,1000 USD/toe,1.721760758402058
tfp0,2017,electicity cost of TnD,Southeast Asia,,,Power,TnD,,1000 USD/toe,0.3577945495632827
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Coal_Power,,million toe,29.969193237431604
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Coal_Power,,1000 USD/toe,0.9698681458209759
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Oil_Power,,million toe,7.3017924540418635
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Oil_Power,,1000 USD/toe,0.5542078314072708
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Gas_Power,,million toe,54.35269325362858
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Gas_Power,,1000 USD/toe,0.6686894286592271
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Nuclear,,million toe,4.0363283123032644e-7
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Nuclear,,1000 USD/toe,9.843024738149663e-5
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Hydro,,million toe,4.806598940745203
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Hydro,,1000 USD/toe,1.3185112684070555
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Wind,,million toe,0.08596610302155007
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Wind,,1000 USD/toe,1.5121617914712686
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Solar,,million toe,0.03697845351629109
