grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,A,2017,Australia_Oceania,-1.4210854715202004e-13,5.684341886080802e-14,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,-1.056932319443149e-13,-8.936573186721886e-12,-28.861806758880604,8.936573186721886e-12
fiveyear_2050,A,2017,China,-9.094947017729282e-13,2.8421709430404007e-13,-9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,-1.2441191596029224e-12,1.6565142867190745e-11,-291.5860937271117,1.6565142867190745e-11
fiveyear_2050,A,2017,Japan,3.410605131648481e-13,-2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13,3.659295089164516e-13,-8.565242435317325e-12,-6.197278839111336,8.565242435317325e-12
fiveyear_2050,A,2017,South Korea,2.2737367544323206e-13,-2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,-1.0658141036401503e-14,-2.9965691767215215e-13,-133.1521340675354,2.9965691767215215e-13
fiveyear_2050,A,2017,Rest of World,-7.105427357601002e-15,1.7763568394002505e-15,-3.552713678800501e-15,-7.105427357601002e-15,-7.105427357601002e-15,1.8972243610084653e-22,-8.251066068474508e-14,-5.164942010045053,8.251066068474508e-14
fiveyear_2050,A,2017,Southeast Asia,-3.410605131648481e-13,-2.4868995751603507e-14,0.0,2.2737367544323206e-13,-2.2737367544323206e-13,-1.0140891581264373e-13,-9.020150470780418e-12,-35.062517150878925,9.020150470780418e-12
fiveyear_2050,A,2017,"Central, Western and South Asia",-1.1368683772161603e-12,0.0,-2.2737367544323206e-13,4.547473508864641e-13,-2.2737367544323206e-13,-2.668025088944036e-13,2.417568348173162e-11,9.855717460632334,2.417568348173162e-11
fiveyear_2050,A,2017,India,-2.2737367544323206e-13,-4.973799150320701e-14,1.1368683772161603e-13,0.0,0.0,-5.961268705793105e-13,5.422145675055593e-12,108.4770244293213,5.422145675055593e-12
fiveyear_2050,A,2017,Canada,1.4210854715202004e-13,-2.842170943040401e-14,0.0,5.684341886080802e-14,-1.1368683772161603e-13,-2.6359188130418656e-13,1.4723980138154128e-12,32.964850512623784,1.4723980138154128e-12
fiveyear_2050,A,2017,United States,-1.1226575225009583e-12,-4.547473508864641e-13,-4.547473508864641e-13,9.094947017729282e-13,0.0,-1.3500311979441904e-13,4.9605977478979394e-11,618.4464428100584,4.9605977478979394e-11
fiveyear_2050,A,2017,Rest of America,-1.1368683772161603e-13,-1.4210854715202004e-13,0.0,4.547473508864641e-13,0.0,-2.741479897212789e-13,-1.8562533637974544e-12,-25.203875717163097,1.8562533637974544e-12
fiveyear_2050,A,2017,Brazil,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,-1.1368683772161603e-13,-8.908376833801952e-13,6.032389224282352e-14,-33.710240165710445,8.908376833801952e-13
fiveyear_2050,A,2017,"EU, UK and EFTA",-4.547473508864641e-13,4.547473508864641e-13,-4.547473508864641e-13,0.0,0.0,-5.687894599759602e-12,-1.1386071970794585e-11,-173.0840643920898,1.1386071970794585e-11
fiveyear_2050,A,2017,Eastern Europe,1.5987211554602254e-14,0.0,1.4210854715202004e-14,-1.4210854715202004e-14,0.0,-5.46680756219331e-14,-4.887909105521618e-14,22.509004647254944,5.46680756219331e-14
fiveyear_2050,A,2017,Russia,2.2737367544323206e-13,1.0658141036401503e-14,-5.684341886080802e-14,0.0,-5.684341886080802e-14,4.679825598312157e-13,6.916310841756481e-13,-121.9565746383667,6.916310841756481e-13
fiveyear_2050,A,2017,North Africa,-7.105427357601002e-14,3.597122599785507e-14,0.0,5.684341886080802e-14,0.0,2.809119466735604e-14,-1.4623484198919222e-13,34.642320316314695,1.4623484198919222e-13
fiveyear_2050,A,2017,Sub Saharan,3.410605131648481e-13,1.7763568394002505e-14,-5.684341886080802e-14,0.0,0.0,1.3456857316767245e-13,4.659638105566881e-13,55.19547505187988,4.659638105566881e-13
fiveyear_2050,A,2017,South Africa,7.105427357601002e-15,-3.552713678800501e-15,-2.1316282072803006e-14,0.0,-2.842170943040401e-14,6.500212676211423e-14,2.08716556411469e-12,-28.11130776119232,2.08716556411469e-12
fiveyear_2050,A,2020,Australia_Oceania,-1.1368683772161603e-13,1.4210854715202004e-13,0.0,0.0,0.0,1.0658141036401503e-14,1.2819933456893516e-12,-30.668134611991917,1.2819933456893516e-12
fiveyear_2050,A,2020,China,9.094947017729282e-13,-3.979039320256561e-13,-9.094947017729282e-13,0.0,0.0,1.8142809007894057e-12,2.158605459143774e-13,-337.49973840306603,1.8142809007894057e-12
fiveyear_2050,A,2020,Japan,3.410605131648481e-13,1.1368683772161603e-13,2.2737367544323206e-13,-4.547473508864641e-13,-2.2737367544323206e-13,-7.105427357601002e-13,5.713768605311052e-12,-6.3161059961414985,5.713768605311052e-12
fiveyear_2050,A,2020,South Korea,0.0,5.684341886080802e-14,1.1368683772161603e-13,0.0,0.0,-1.4210854715202004e-14,1.9938347952932015e-12,-144.5247457790073,1.9938347952932015e-12
