year,region,technology,tfp_multiplier,baseline_tfp,counterfactual_tfp
2017,Australia_Oceania,pv,0.545850260181068,1.0,0.545850260181068
2017,Australia_Oceania,wind,0.9047175630467402,1.0,0.9047175630467402
2017,China,pv,1.0,1.0,1.0
2017,China,wind,1.0,1.0,1.0
2017,Japan,pv,0.6858374096085583,1.0,0.6858374096085583
2017,Japan,wind,1.0,1.0,1.0
2017,South Korea,pv,0.6906568379622726,1.0,0.6906568379622726
2017,South Korea,wind,1.0,1.0,1.0
2017,Rest of World,pv,1.0,1.0,1.0
2017,Rest of World,wind,1.0,1.0,1.0
2017,Southeast Asia,pv,1.0,1.0,1.0
2017,Southeast Asia,wind,1.0,1.0,1.0
2017,"Central, Western and South Asia",pv,1.0,1.0,1.0
2017,"Central, Western and South Asia",wind,0.934671136232059,1.0,0.934671136232059
2017,India,pv,0.42877124889723184,1.0,0.42877124889723184
2017,India,wind,0.8817419487704883,1.0,0.8817419487704883
2017,Canada,pv,1.0,1.0,1.0
2017,Canada,wind,0.9671170255566777,1.0,0.9671170255566777
2017,United States,pv,0.7119568256305581,1.0,0.7119568256305581
2017,United States,wind,0.846574575645588,1.0,0.846574575645588
2017,Rest of America,pv,1.0,1.0,1.0
2017,Rest of America,wind,1.0,1.0,1.0
2017,Brazil,pv,0.5127790988443778,1.0,0.5127790988443778
2017,Brazil,wind,0.9715420521424664,1.0,0.9715420521424664
2017,"EU, UK and EFTA",pv,0.7040990147730306,0.9999999999999999,0.7040990147730305
2017,"EU, UK and EFTA",wind,0.9363722696657152,0.9999999999999999,0.9363722696657151
2017,Eastern Europe,pv,1.0,1.0,1.0
2017,Eastern Europe,wind,1.0,1.0,1.0
2017,Russia,pv,1.0,1.0,1.0
2017,Russia,wind,1.0,1.0,1.0
2017,North Africa,pv,1.0,1.0,1.0
2017,North Africa,wind,1.0,1.0,1.0
2017,Sub Saharan,pv,1.0,1.0,1.0
2017,Sub Saharan,wind,1.0,1.0,1.0
2017,South Africa,pv,1.0,1.0,1.0
2017,South Africa,wind,1.0,1.0,1.0
2020,Australia_Oceania,pv,0.4375731619432546,1.5185646951817762,0.6644831552860844
2020,Australia_Oceania,wind,0.7230221836407178,1.398204748168682,1.0109330501977403
2020,China,pv,1.0,1.7992140675587056,1.7992140675587056
2020,China,wind,1.0,0.9982622444332242,0.9982622444332242
2020,Japan,pv,0.6012959245601076,1.248713696037365,0.7508464563696566
2020,Japan,wind,1.0,1.115564755547483,1.115564755547483
2020,South Korea,pv,0.6708306547767902,1.343450622090075,0.9012278604769711
2020,South Korea,wind,1.0,1.115564755547483,1.115564755547483
2020,Rest of World,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Rest of World,wind,1.0,1.115564755547483,1.115564755547483
2020,Southeast Asia,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Southeast Asia,wind,1.0,1.115564755547483,1.115564755547483
2020,"Central, Western and South Asia",pv,1.0,1.4326117611494549,1.4326117611494549
2020,"Central, Western and South Asia",wind,0.8367146280436014,1.1647953238536188,0.9746012861451069
2020,India,pv,0.3578531692387691,1.4672618077107489,0.5250642879922969
2020,India,wind,0.9145510271803332,1.0599814428554615,0.969407117355554
2020,Canada,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Canada,wind,0.6824894516271461,1.397423624682244,0.9537268833002036
2020,United States,pv,0.7681807629173248,1.325561698898661,1.0182709971539585
2020,United States,wind,0.8150457673635415,1.0876246798205296,0.8864638917678497
2020,Rest of America,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Rest of America,wind,1.0,1.115564755547483,1.115564755547483
2020,Brazil,pv,0.3920545088270858,1.6551717384261375,0.6489175429331331
2020,Brazil,wind,0.9554822224189965,1.181386997077429,1.1287942735044463
2020,"EU, UK and EFTA",pv,0.4772954525128008,1.5487469277394303,0.7392098657032015
2020,"EU, UK and EFTA",wind,0.8695797037928116,1.1354157770677906,0.9873345151042944
2020,Eastern Europe,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Eastern Europe,wind,1.0,1.115564755547483,1.115564755547483
2020,Russia,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Russia,wind,1.0,1.115564755547483,1.115564755547483
2020,North Africa,pv,1.0,1.4326117611494549,1.4326117611494549
2020,North Africa,wind,1.0,1.115564755547483,1.115564755547483
2020,Sub Saharan,pv,1.0,1.4326117611494549,1.4326117611494549
2020,Sub Saharan,wind,1.0,1.115564755547483,1.115564755547483
2020,South Africa,pv,1.0,1.4326117611494549,1.4326117611494549
2020,South Africa,wind,1.0,1.115564755547483,1.115564755547483
2025,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2025,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2025,China,pv,1.0,2.333049287331037,2.333049287331037
2025,China,wind,1.0,1.7350331399503898,1.7350331399503898
2025,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2025,Japan,wind,1.0,1.29434426899172,1.29434426899172
