variable,value
"pkl[1,1]",1.9431581295379718
"pkl[2,1]",1.9271610912418047
"pkl[3,1]",1.940700308903736
"pkl[4,1]",1.9505644940673224
"pkl[5,1]",1.9116446496667212
"pkl[6,1]",1.8926536544318193
"pkl[7,1]",1.8733360115254785
"pkl[8,1]",1.8825257941412386
"pkl[9,1]",1.9139742928430825
"pkl[10,1]",1.992957784653346
"pkl[11,1]",1.878962863358481
"pkl[13,1]",1.939282541709856
"pkl[14,1]",1.9898468914590095
"pkl[15,1]",1.9786077490102263
"pkl[1,2]",0.3749327223824516
"pkl[2,2]",0.38714321912687927
"pkl[3,2]",0.39098335522752253
"pkl[4,2]",0.46951696605888527
"pkl[5,2]",0.6258513187640432
"pkl[6,2]",0.41833053804864034
"pkl[7,2]",0.30039910381921703
"pkl[8,2]",0.36326663639027396
"pkl[9,2]",0.37412826076045913
"pkl[10,2]",0.3753598915048244
"pkl[11,2]",0.2888681091074475
"pkl[13,2]",0.40153449923698714
"pkl[14,2]",0.42701318647607756
"pkl[15,2]",0.3526021349588924
"pkl[1,3]",2.4880335684726473
"pkl[2,3]",2.514204716300384
"pkl[3,3]",2.5099956270623225
"pkl[4,3]",2.448239894004925
"pkl[5,3]",2.2238080726753306
"pkl[6,3]",2.1855462373556778
"pkl[7,3]",2.154260026945575
"pkl[8,3]",2.2956171960069707
"pkl[9,3]",2.5121182734816836
"pkl[10,3]",2.5285327861624034
"pkl[11,3]",2.214204481237145
"pkl[13,3]",2.4727108434357334
"pkl[14,3]",2.4959935939797515
"pkl[15,3]",2.599160346404578
"pkl[1,4]",2.0279800932420247
"pkl[2,4]",2.037058551444755
"pkl[3,4]",1.8948160803061564
"pkl[4,4]",2.1738157764848896
"pkl[5,4]",1.5335703122527078
"pkl[6,4]",2.47138466689942
"pkl[7,4]",1.4180019699577207
"pkl[8,4]",1.5479530468985903
"pkl[9,4]",1.6805536080505075
"pkl[10,4]",1.8940208116836525
"pkl[11,4]",1.344004845144837
"pkl[13,4]",1.975703479541266
"pkl[14,4]",2.246188226690018
"pkl[15,4]",2.1570628358434263
"pkl[1,5]",1.2065847966941807
"pkl[2,5]",1.2776546024779383
"pkl[3,5]",1.270236203936527
"pkl[4,5]",1.262679607874795
"pkl[5,5]",1.0129890715952965
"pkl[6,5]",1.0249676102293537
"pkl[7,5]",0.8586912559637564
"pkl[8,5]",1.0945742091792272
