grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,B,2017,Australia_Oceania,3.694822225952521e-13,-1.1368683772161603e-13,0.0,0.0,-1.1368683772161603e-13,2.729994008632275e-11,-9.742223028297303e-9,-28.861806758880604,9.742223028297303e-9
fiveyear_2050,B,2017,China,-9.094947017729282e-13,-3.410605131648481e-13,1.0511030268389732e-8,-9.094947017729282e-13,0.0,-1.4307545279970702e-10,-1.7496859072707593e-8,-291.5860937271069,1.7496859072707593e-8
fiveyear_2050,B,2017,Japan,1.7053025658242404e-12,-2.2737367544323206e-13,0.0,4.547473508864641e-13,0.0,3.7413627751448075e-11,-8.233200787799433e-10,-6.197278839111336,8.233200787799433e-10
fiveyear_2050,B,2017,South Korea,1.1368683772161603e-13,-8.526512829121202e-14,-5.684341886080802e-14,-2.2737367544323206e-13,0.0,1.6185985884931142e-10,4.268656539352378e-9,-133.1521340675354,4.268656539352378e-9
fiveyear_2050,B,2017,Rest of World,-7.105427357601002e-15,-2.6645352591003757e-15,-3.552713678800501e-15,0.0,0.0,-4.533509202303316e-19,2.474926930062793e-9,-5.164942010045053,2.474926930062793e-9
fiveyear_2050,B,2017,Southeast Asia,7.958078640513122e-13,-5.3290705182007514e-14,2.2737367544323206e-13,-2.2737367544323206e-13,2.2737367544323206e-13,-8.766673070798876e-12,1.3086491890135221e-9,-35.062517150878925,1.3086491890135221e-9
fiveyear_2050,B,2017,"Central, Western and South Asia",0.0,1.7053025658242404e-13,-2.2737367544323206e-13,9.094947017729282e-13,2.2737367544323206e-13,-3.614718509735634e-9,-1.1352767614880577e-9,9.855717460632334,3.614718509735634e-9
fiveyear_2050,B,2017,India,-1.0231815394945443e-12,1.6697754290362354e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,-3.477069446510528e-11,3.696209205372725e-8,108.4770244293213,3.696209205372725e-8
fiveyear_2050,B,2017,Canada,2.1316282072803006e-13,-8.526512829121202e-14,-1.7053025658242404e-13,0.0,1.1368683772161603e-13,-4.780710073348704e-11,-4.332605385570787e-10,32.964850512623784,4.332605385570787e-10
fiveyear_2050,B,2017,United States,-4.32720526077901e-12,0.0,-1.3642420526593924e-12,-9.094947017729282e-13,0.0,-6.881677450110146e-10,-2.0225797925377265e-8,618.4464428100584,2.0225797925377265e-8
fiveyear_2050,B,2017,Rest of America,-4.547473508864641e-13,-4.263256414560601e-13,1.1368683772161603e-13,2.2737367544323206e-13,2.2737367544323206e-13,-1.2419162772580782e-10,1.155626705440227e-9,-25.203875717163097,1.155626705440227e-9
fiveyear_2050,B,2017,Brazil,1.1368683772161603e-13,-8.526512829121202e-14,-5.684341886080802e-14,1.1368683772161603e-13,-1.1368683772161603e-13,-4.6220037840023606e-10,1.8628725229064003e-9,-33.710240165710445,1.8628725229064003e-9
fiveyear_2050,B,2017,"EU, UK and EFTA",-1.7053025658242404e-12,-9.094947017729282e-13,9.094947017729282e-13,0.0,-9.094947017729282e-13,1.06377129327484e-9,1.0197209121542983e-7,-173.0840643920898,1.0197209121542983e-7
fiveyear_2050,B,2017,Eastern Europe,2.842170943040401e-14,1.7763568394002505e-14,4.263256414560601e-14,0.0,2.842170943040401e-14,5.6022187756854525e-12,-2.0332890926511027e-10,22.509004647254944,2.0332890926511027e-10
