grid,scenario,year,next_year,region,interval_years,opening_stock,annual_real_investment,survival,investment_annuity,next_stock,identity_residual
fiveyear_2050,B,2017,2020,Australia_Oceania,3,7073.064722275734,347.29447825033475,0.8573749999999999,2.8525000000000023,7054.926365470238,2.2737367544323206e-13
fiveyear_2050,B,2017,2020,China,3,62364.78533477783,5124.694031194502,0.8573749999999999,2.8525000000000023,68088.19755038746,-5.4569682106375694e-12
fiveyear_2050,B,2017,2020,Japan,3,29035.81037902832,1239.733809030013,0.8573749999999999,2.8525000000000023,28430.91861397752,9.094947017729282e-13
fiveyear_2050,B,2017,2020,South Korea,3,8603.79756451845,464.2939658423613,0.8573749999999999,2.8525000000000023,8701.079474444341,-9.094947017729282e-13
fiveyear_2050,B,2017,2020,Rest of World,3,488.68481920901684,26.035613653598723,0.8573749999999999,2.8525000000000023,493.25273481622116,0.0
fiveyear_2050,B,2017,2020,Southeast Asia,3,17757.75818786621,799.9217601555206,0.8573749999999999,2.8525000000000023,17506.834747165412,-1.3642420526593924e-12
fiveyear_2050,B,2017,2020,"Central, Western and South Asia",3,32942.48932189941,1163.313984168283,0.8573749999999999,2.8525000000000023,31562.419922203535,0.0
fiveyear_2050,B,2017,2020,India,3,13251.58929901123,784.8439738819758,0.8573749999999999,2.8525000000000023,13600.348810738089,-4.547473508864641e-13
fiveyear_2050,B,2017,2020,Canada,3,5840.570725059509,363.3065102785721,0.8573749999999999,2.8525000000000023,6043.891145967524,0.0
fiveyear_2050,B,2017,2020,United States,3,90537.73082008361,4221.689940016075,0.8573749999999999,2.8525000000000023,89667.15751576504,-1.8189894035458565e-12
fiveyear_2050,B,2017,2020,Rest of America,3,23629.69450683594,723.9561665749366,0.8573749999999999,2.8525000000000023,22324.59429295347,4.547473508864641e-13
fiveyear_2050,B,2017,2020,Brazil,3,9257.250686275958,277.67633948611285,0.8573749999999999,2.8525000000000023,8729.007065529986,-5.684341886080801e-13
fiveyear_2050,B,2017,2020,"EU, UK and EFTA",3,94030.86307983397,3717.044009414906,0.8573749999999999,2.8525000000000023,91222.57926992867,1.8189894035458565e-12
fiveyear_2050,B,2017,2020,Eastern Europe,3,1584.7071245193479,61.15719381753326,0.8573749999999999,2.8525000000000023,1533.1391662492895,5.684341886080802e-14
fiveyear_2050,B,2017,2020,Russia,3,10639.912612152099,339.0132543963655,0.8573749999999999,2.8525000000000023,10089.430384009538,6.821210263296962e-13
fiveyear_2050,B,2017,2020,North Africa,3,3998.804186660051,150.63723838534924,0.8573749999999999,2.8525000000000023,3858.16746203187,1.7053025658242404e-13
fiveyear_2050,B,2017,2020,Sub Saharan,3,7142.2684261322,303.74454419675976,0.8573749999999999,2.8525000000000023,6990.033704176352,-1.1368683772161603e-13
fiveyear_2050,B,2017,2020,South Africa,3,1823.739908397198,58.23887040376685,0.8573749999999999,2.8525000000000023,1729.7553817887924,-2.842170943040401e-14
fiveyear_2050,B,2020,2025,Australia_Oceania,5,7054.926365470238,376.39863800165455,0.7737809374999999,4.524381250000002,7161.938477367252,2.2737367544323206e-13
fiveyear_2050,B,2020,2025,China,5,68088.19755038746,5710.416805222492,0.7737809374999999,4.524381250000002,78521.45205645757,3.637978807091713e-12
fiveyear_2050,B,2020,2025,Japan,5,28430.91861397752,1272.0502723043292,0.7737809374999999,4.524381250000002,27754.543260180824,0.0
fiveyear_2050,B,2020,2025,South Korea,5,8701.079474444341,516.9338168796463,0.7737809374999999,4.524381250000002,9071.535101578755,0.0
fiveyear_2050,B,2020,2025,Rest of World,5,493.25273481622116,29.195808769855848,0.7737809374999999,4.524381250000002,513.7625333474558,-2.842170943040401e-14
fiveyear_2050,B,2020,2025,Southeast Asia,5,17506.834747165412,920.9962396885448,0.7737809374999999,4.524381250000002,17713.393121486588,1.8189894035458565e-12
fiveyear_2050,B,2020,2025,"Central, Western and South Asia",5,31562.419922203535,1323.5359777532424,0.7737809374999999,4.524381250000002,30410.580238618513,9.094947017729282e-13
fiveyear_2050,B,2020,2025,India,5,13600.348810738089,923.99791961298,0.7737809374999999,4.524381250000002,14704.209515635903,-9.094947017729282e-13
fiveyear_2050,B,2020,2025,Canada,5,6043.891145967524,390.20110919325265,0.7737809374999999,4.524381250000002,6442.066339237855,-2.2737367544323206e-13
fiveyear_2050,B,2020,2025,United States,5,89667.15751576504,4512.16285895075,0.7737809374999999,4.524381250000002,89797.48224149202,7.275957614183426e-12
fiveyear_2050,B,2020,2025,Rest of America,5,22324.59429295347,758.4436526411117,0.7737809374999999,4.524381250000002,20705.833742499643,0.0
fiveyear_2050,B,2020,2025,Brazil,5,8729.007065529986,293.56664184805663,0.7737809374999999,4.524381250000002,8082.546680612729,-2.2737367544323206e-13
fiveyear_2050,B,2020,2025,"EU, UK and EFTA",5,91222.57926992867,3961.8525093776134,0.7737809374999999,4.524381250000002,88511.22411734698,-7.275957614183426e-12
fiveyear_2050,B,2020,2025,Eastern Europe,5,1533.1391662492895,62.37612275426027,0.7737809374999999,4.524381250000002,1468.527221615417,-5.684341886080802e-14
fiveyear_2050,B,2020,2025,Russia,5,10089.430384009538,373.0895171718665,0.7737809374999999,4.524381250000002,9495.008117443831,2.2737367544323206e-13
fiveyear_2050,B,2020,2025,North Africa,5,3858.16746203187,173.24123147234297,0.7737809374999999,4.524381250000002,3769.185815203394,1.1368683772161603e-13
fiveyear_2050,B,2020,2025,Sub Saharan,5,6990.033704176352,341.9870172926663,0.7737809374999999,4.524381250000002,6956.03448155654,-4.547473508864641e-13
fiveyear_2050,B,2020,2025,South Africa,5,1729.7553817887924,64.06527801944587,0.7737809374999999,4.524381250000002,1628.3074836134203,5.684341886080802e-14
fiveyear_2050,B,2025,2030,Australia_Oceania,5,7161.938477367252,404.44854148158316,0.7737809374999999,4.524381250000002,7371.6508670036765,2.2737367544323206e-13
fiveyear_2050,B,2025,2030,China,5,78521.45205645757,6354.011340263083,0.7737809374999999,4.524381250000002,89506.37255628071,3.637978807091713e-12
fiveyear_2050,B,2025,2030,Japan,5,27754.543260180824,1309.5305029512494,0.7737809374999999,4.524381250000002,27400.751757602724,-9.094947017729282e-13
fiveyear_2050,B,2025,2030,South Korea,5,9071.535101578755,579.3016459437997,0.7737809374999999,4.524381250000002,9640.362440466033,9.094947017729282e-13
fiveyear_2050,B,2025,2030,Rest of World,5,513.7625333474558,33.32167443960127,0.7737809374999999,4.524381250000002,548.2996137591056,-5.684341886080802e-14
fiveyear_2050,B,2025,2030,Southeast Asia,5,17713.393121486588,1060.8403346075806,0.7737809374999999,4.524381250000002,18505.932054992205,-1.8189894035458565e-12
fiveyear_2050,B,2025,2030,"Central, Western and South Asia",5,30410.580238618513,1541.0667650233106,0.7737809374999999,4.524381250000002,30503.50086362683,9.094947017729282e-13
fiveyear_2050,B,2025,2030,India,5,14704.209515635903,1169.3297865799552,0.7737809374999999,4.524381250000002,16668.33078567402,0.0
fiveyear_2050,B,2025,2030,Canada,5,6442.066339237855,419.66082792469183,0.7737809374999999,4.524381250000002,6883.453712634613,2.2737367544323206e-13
fiveyear_2050,B,2025,2030,United States,5,89797.48224149202,4959.245894450579,0.7737809374999999,4.524381250000002,91921.09913295298,0.0
fiveyear_2050,B,2025,2030,Rest of America,5,20705.833742499643,817.7543774672585,0.7737809374999999,4.524381250000002,19721.612017508793,-4.547473508864641e-13
fiveyear_2050,B,2025,2030,Brazil,5,8082.546680612729,328.3562653662346,0.7737809374999999,4.524381250000002,7739.729478255046,2.2737367544323206e-13
fiveyear_2050,B,2025,2030,"EU, UK and EFTA",5,88511.22411734698,4168.214814322904,0.7737809374999999,4.524381250000002,87346.89092868814,7.275957614183426e-12
fiveyear_2050,B,2025,2030,Eastern Europe,5,1468.527221615417,64.80543071578352,0.7737809374999999,4.524381250000002,1429.5228459145123,-1.1368683772161603e-13
fiveyear_2050,B,2025,2030,Russia,5,9495.008117443831,434.4633174640421,0.7737809374999999,4.524381250000002,9312.733970032907,-6.821210263296962e-13
fiveyear_2050,B,2025,2030,North Africa,5,3769.185815203394,209.04147023062814,0.7737809374999999,4.524381250000002,3862.307442083671,-2.2737367544323206e-13
fiveyear_2050,B,2025,2030,Sub Saharan,5,6956.03448155654,363.1179313144771,0.7737809374999999,4.524381250000002,7025.330842399154,-2.2737367544323206e-13
fiveyear_2050,B,2025,2030,South Africa,5,1628.3074836134203,71.85436064251367,0.7737809374999999,4.524381250000002,1585.049813230385,0.0
fiveyear_2050,B,2030,2035,Australia_Oceania,5,7371.6508670036765,445.57551837117825,0.7737809374999999,4.524381250000002,7719.996439570383,4.547473508864641e-13
fiveyear_2050,B,2030,2035,China,5,89506.37255628071,6631.132823913943,0.7737809374999999,4.524381250000002,99260.09788359897,3.637978807091713e-12
