grid,scenario,year,stage,status,residual,seconds,requested_tolerance
fiveyear_2050,B,2017,unshocked_core,Solved,6.92959023496087e-11,0.9849998950958252,1.0e-8
fiveyear_2050,B,2017,scenario_0.25,Solved,6.942579592144474e-11,1.5239999294281006,1.0e-8
fiveyear_2050,B,2017,scenario_0.5,Solved,1.0550138540565968e-10,1.559999942779541,1.0e-8
fiveyear_2050,B,2017,scenario_0.75,Solved,6.548361852765083e-11,1.4639999866485596,1.0e-8
fiveyear_2050,B,2017,scenario_1.0,Solved,2.3450538733094106e-9,1.5699999332427979,1.0e-8
fiveyear_2050,B,2020,scenario_0.25,Solved,1.110711443058378e-10,1.5959999561309814,1.0e-8
fiveyear_2050,B,2020,scenario_0.5,Solved,1.1920642251084246e-10,1.621999979019165,1.0e-8
fiveyear_2050,B,2020,scenario_0.75,Solved,5.820766091346741e-11,1.8890001773834229,1.0e-8
fiveyear_2050,B,2020,scenario_1.0,Solved,6.549738529315619e-11,1.8650000095367432,1.0e-8
fiveyear_2050,B,2025,scenario_0.25,Solved,2.871871629395173e-10,1.5929999351501465,1.0e-8
fiveyear_2050,B,2025,scenario_0.5,Solved,9.347601967642227e-11,2.0319998264312744,1.0e-8
fiveyear_2050,B,2025,scenario_0.75,Solved,9.094947017729282e-11,1.9449999332427979,1.0e-8
fiveyear_2050,B,2025,scenario_1.0,Solved,1.709850039333105e-10,2.493000030517578,1.0e-8
fiveyear_2050,B,2030,scenario_0.25,Solved,8.580136601210597e-11,2.241000175476074,1.0e-8
fiveyear_2050,B,2030,scenario_0.5,Solved,7.743006236182737e-11,2.3410000801086426,1.0e-8
fiveyear_2050,B,2030,scenario_0.75,Solved,9.458744898438454e-11,2.6689999103546143,1.0e-8
fiveyear_2050,B,2030,scenario_1.0,Solved,8.759815095515933e-11,3.124000072479248,1.0e-8
fiveyear_2050,B,2035,scenario_0.25,Solved,6.426219556487922e-10,2.176999807357788,1.0e-8
fiveyear_2050,B,2035,scenario_0.5,Solved,1.4599166320294898e-9,2.3389999866485596,1.0e-8
fiveyear_2050,B,2035,scenario_0.75,Solved,1.0186340659856796e-10,3.3600001335144043,1.0e-8
fiveyear_2050,B,2035,scenario_1.0,Solved,3.3233504836971406e-10,3.2960000038146973,1.0e-8
fiveyear_2050,B,2040,scenario_0.25,Solved,6.874643077026121e-9,2.264000177383423,1.0e-8
fiveyear_2050,B,2040,scenario_0.5,Solved,1.9657306893350324e-9,2.447000026702881,1.0e-8
fiveyear_2050,B,2040,scenario_0.75,Solved,2.1827872842550278e-10,3.565999984741211,1.0e-8
fiveyear_2050,B,2040,scenario_1.0,Solved,1.7826096154749393e-10,2.8340001106262207,1.0e-8
fiveyear_2050,B,2045,scenario_0.25,Solved,4.720845936390106e-10,3.4059998989105225,1.0e-8
fiveyear_2050,B,2045,scenario_0.5,Solved,4.532694219960831e-10,3.177000045776367,1.0e-8
fiveyear_2050,B,2045,scenario_0.75,Solved,2.2796484699938446e-9,3.240000009536743,1.0e-8
fiveyear_2050,B,2045,scenario_1.0,Solved,8.953961128099763e-9,3.806999921798706,1.0e-8
fiveyear_2050,B,2050,scenario_0.25,Solved,2.0037305148434825e-10,3.749000072479248,1.0e-8
fiveyear_2050,B,2050,scenario_0.5,Solved,6.1204445955809206e-9,3.305000066757202,1.0e-8
fiveyear_2050,B,2050,scenario_0.75,Solved,1.1034290425815385e-9,3.430999994277954,1.0e-8
fiveyear_2050,B,2050,scenario_1.0,Solved,7.061544238240458e-9,11.421000003814697,1.0e-8
