grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,C,2017,Australia_Oceania,0.0,1.4210854715202004e-13,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,2.120970066243899e-12,-3.686864147312008e-10,-28.861806758880604,3.686864147312008e-10
fiveyear_2050,C,2017,China,1.8189894035458565e-12,-6.252776074688882e-13,4.274625098332763e-11,9.094947017729282e-13,9.094947017729282e-13,-6.707523425575346e-11,-4.3564796214923263e-10,-291.5860937271069,4.3564796214923263e-10
fiveyear_2050,C,2017,Japan,-5.684341886080801e-13,3.410605131648481e-13,-6.821210263296962e-13,0.0,2.2737367544323206e-13,-6.615152869926533e-12,1.116018211178016e-8,-6.197278839111336,1.116018211178016e-8
fiveyear_2050,C,2017,South Korea,-1.7053025658242404e-13,0.0,-1.7053025658242404e-13,-2.2737367544323206e-13,0.0,1.4773462453376851e-9,3.6639562495111022e-9,-133.1521340675354,3.6639562495111022e-9
fiveyear_2050,C,2017,Rest of World,7.105427357601002e-15,1.7763568394002505e-15,-7.105427357601002e-15,0.0,0.0,8.881784197001252e-16,1.0966161312353506e-10,-5.164942010045053,1.0966161312353506e-10
fiveyear_2050,C,2017,Southeast Asia,3.410605131648481e-13,-4.618527782440651e-14,-3.410605131648481e-13,-2.2737367544323206e-13,0.0,1.2661871551244985e-11,-2.6465158953214996e-9,-35.062517150878925,2.6465158953214996e-9
fiveyear_2050,C,2017,"Central, Western and South Asia",-1.3642420526593924e-12,-5.684341886080802e-14,3.410605131648481e-13,0.0,-2.2737367544323206e-13,3.440447926550405e-11,2.6168436306761578e-9,9.855717460632334,2.6168436306761578e-9
fiveyear_2050,C,2017,India,-3.410605131648481e-13,-1.4210854715202004e-14,-3.410605131648481e-13,0.0,4.547473508864641e-13,6.207301339600235e-11,-2.5171402739943005e-9,108.4770244293213,2.5171402739943005e-9
fiveyear_2050,C,2017,Canada,-1.9895196601282805e-13,-1.4210854715202004e-13,-5.684341886080802e-14,-5.684341886080802e-14,1.1368683772161603e-13,5.684341886080802e-14,-1.3259807474241825e-8,32.964850512623784,1.3259807474241825e-8
fiveyear_2050,C,2017,United States,-1.8616219676914625e-12,3.183231456205249e-12,-9.094947017729282e-13,9.094947017729282e-13,0.0,2.7186786155652953e-9,-1.973785401787609e-8,618.4464428100584,1.973785401787609e-8
fiveyear_2050,C,2017,Rest of America,-1.1368683772161603e-13,8.526512829121202e-14,-2.2737367544323206e-13,0.0,-4.547473508864641e-13,-1.4487966382148443e-11,2.7703208616003394e-9,-25.203875717163097,2.7703208616003394e-9
fiveyear_2050,C,2017,Brazil,-8.526512829121202e-14,-5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13,-2.2737367544323206e-13,-1.0047074283647817e-11,2.2151880330056883e-10,-33.710240165710445,2.2151880330056883e-10
fiveyear_2050,C,2017,"EU, UK and EFTA",2.1600499167107046e-12,-9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.7953993847186211e-10,-6.700247467961162e-9,-173.0840643920898,6.700247467961162e-9
fiveyear_2050,C,2017,Eastern Europe,-4.618527782440651e-14,0.0,-2.842170943040401e-14,2.842170943040401e-14,0.0,7.045031225061393e-12,1.4214691645975108e-9,22.509004647254944,1.4214691645975108e-9
fiveyear_2050,C,2017,Russia,5.684341886080802e-14,3.552713678800501e-14,-1.7053025658242404e-13,-2.2737367544323206e-13,-5.684341886080802e-14,1.077822275874496e-10,1.14353326807759e-7,-121.9565746383667,1.14353326807759e-7
fiveyear_2050,C,2017,North Africa,8.526512829121202e-14,-8.43769498715119e-15,2.842170943040401e-14,-5.684341886080802e-14,-5.684341886080802e-14,2.0836665726164938e-11,1.9340120616107015e-9,34.642320316314695,1.9340120616107015e-9
fiveyear_2050,C,2017,Sub Saharan,2.2737367544323206e-13,2.1316282072803006e-14,-1.1368683772161603e-13,-2.2737367544323206e-13,-3.410605131648481e-13,-5.67155211683712e-11,-2.768388185359072e-9,55.19547505187988,2.768388185359072e-9
fiveyear_2050,C,2017,South Africa,-9.094947017729282e-13,2.4868995751603507e-14,-4.263256414560601e-14,0.0,-2.842170943040401e-14,2.5911717216331454e-11,-7.370886123680975e-10,-28.11130776119232,7.370886123680975e-10
