grid,scenario,year,stage,status,residual,seconds,requested_tolerance
fiveyear_2050,C,2017,unshocked_core,Solved,6.92959023496087e-11,0.8029999732971191,1.0e-8
fiveyear_2050,C,2017,scenario_0.25,Solved,8.032762011112027e-9,2.2880001068115234,1.0e-8
fiveyear_2050,C,2017,scenario_0.5,Solved,5.264790825521004e-9,2.4150002002716064,1.0e-8
fiveyear_2050,C,2017,scenario_0.75,Solved,2.758842043704135e-10,2.2130000591278076,1.0e-8
fiveyear_2050,C,2017,scenario_1.0,Solved,1.356960099840876e-10,2.072999954223633,1.0e-8
fiveyear_2050,C,2020,scenario_0.25,Solved,8.891398728394506e-11,1.6899998188018799,1.0e-8
fiveyear_2050,C,2020,scenario_0.5,Solved,3.1653542009735247e-9,1.4210000038146973,1.0e-8
fiveyear_2050,C,2020,scenario_0.75,Solved,1.8350476693740347e-10,1.3939998149871826,1.0e-8
fiveyear_2050,C,2020,scenario_1.0,Solved,1.7178685141061578e-9,1.4350001811981201,1.0e-8
fiveyear_2050,C,2025,scenario_0.25,Solved,5.215876619502069e-10,1.4769999980926514,1.0e-8
fiveyear_2050,C,2025,scenario_0.5,Solved,7.710159621865387e-9,1.4890000820159912,1.0e-8
fiveyear_2050,C,2025,scenario_0.75,Solved,6.815495723344611e-9,1.4760000705718994,1.0e-8
fiveyear_2050,C,2025,scenario_1.0,Solved,1.8189894035458565e-10,1.7320001125335693,1.0e-8
fiveyear_2050,C,2030,scenario_0.25,Solved,9.462053363051837e-11,1.996000051498413,1.0e-8
fiveyear_2050,C,2030,scenario_0.5,Solved,5.560436555640536e-10,1.5920000076293945,1.0e-8
fiveyear_2050,C,2030,scenario_0.75,Solved,7.83113840441274e-9,1.494999885559082,1.0e-8
fiveyear_2050,C,2030,scenario_1.0,Solved,3.064144493691856e-10,2.309000015258789,1.0e-8
fiveyear_2050,C,2035,scenario_0.25,Solved,4.930456043439335e-10,2.2279999256134033,1.0e-8
fiveyear_2050,C,2035,scenario_0.5,Solved,1.3496119777300919e-9,1.9000000953674316,1.0e-8
fiveyear_2050,C,2035,scenario_0.75,Solved,1.0718364752234084e-10,2.180000066757202,1.0e-8
fiveyear_2050,C,2035,scenario_1.0,Solved,1.3651857422303237e-10,2.5209999084472656,1.0e-8
fiveyear_2050,C,2040,scenario_0.25,Solved,9.477254536705004e-10,1.8020000457763672,1.0e-8
fiveyear_2050,C,2040,scenario_0.5,Solved,9.663736477705243e-11,1.8320000171661377,1.0e-8
fiveyear_2050,C,2040,scenario_0.75,Solved,4.106041728846321e-9,3.7890000343322754,1.0e-8
fiveyear_2050,C,2040,scenario_1.0,Solved,8.696858344592329e-9,2.1470000743865967,1.0e-8
fiveyear_2050,C,2045,scenario_0.25,Solved,5.78836534259608e-9,1.876999855041504,1.0e-8
fiveyear_2050,C,2045,scenario_0.5,Solved,5.309885864335229e-9,2.2119998931884766,1.0e-8
fiveyear_2050,C,2045,scenario_0.75,Solved,5.426628035820613e-9,3.366000175476074,1.0e-8
fiveyear_2050,C,2045,scenario_1.0,Solved,1.4505161516353837e-9,2.5840001106262207,1.0e-8
fiveyear_2050,C,2050,scenario_0.25,Solved,4.551566235022619e-9,3.758000135421753,1.0e-8
fiveyear_2050,C,2050,scenario_0.5,Solved,5.858282747794874e-9,2.3289999961853027,1.0e-8
fiveyear_2050,C,2050,scenario_0.75,Solved,4.883759174845181e-9,3.050999879837036,1.0e-8
fiveyear_2050,C,2050,scenario_1.0,Solved,4.594426172843669e-9,2.065000057220459,1.0e-8
