scenario,year,region,total_CO2_Mt,power_CO2_Mt,identity_gap
A,2030,Australia_Oceania,443.18284364176156,176.90089351821993,-5.684341886080802e-14
A,2030,China,12254.284103503087,5536.183545803775,1.8189894035458565e-12
A,2030,Japan,1385.1744482753377,620.5818441447641,-2.2737367544323206e-13
A,2030,South Korea,653.9789874537844,276.6854102000238,-2.2737367544323206e-13
A,2030,Rest of World,63.375296811457964,26.87754662100083,7.105427357601002e-15
A,2030,Southeast Asia,2155.8339622167714,850.1635214836767,0.0
A,2030,"Central, Western and South Asia",4263.03065341208,1658.8544231296949,0.0
A,2030,India,3445.268707300796,1814.7821721907376,4.547473508864641e-13
A,2030,Canada,784.3316029168168,175.57304252277237,0.0
A,2030,United States,5901.352640798317,1963.3449624768741,0.0
A,2030,Rest of America,1681.5126037971402,474.6947889052373,0.0
A,2030,Brazil,730.6986110190901,137.0818361016403,1.1368683772161603e-13
A,2030,"EU, UK and EFTA",2533.9684530822,391.13354920639233,4.547473508864641e-13
A,2030,Eastern Europe,475.2319950981549,242.5184219098582,-5.684341886080802e-14
A,2030,Russia,2189.5380462371527,1162.862597621111,4.547473508864641e-13
A,2030,North Africa,830.7948283886511,293.9142209243843,0.0
A,2030,Sub Saharan,528.789276431107,126.38588763812793,1.1368683772161603e-13
A,2030,South Africa,465.87788444444294,210.89085212216207,0.0
A,2050,Australia_Oceania,740.5998660396593,246.69769930604872,2.2737367544323206e-13
A,2050,China,11426.04546969734,4426.793045492711,3.637978807091713e-12
A,2050,Japan,2193.2361307921356,721.2193521096402,-4.547473508864641e-13
A,2050,South Korea,978.9634197918283,335.19138133751585,-3.410605131648481e-13
A,2050,Rest of World,99.62651813840532,38.58807610748006,2.842170943040401e-14
A,2050,Southeast Asia,2560.6216670633976,877.3137439889853,1.3642420526593924e-12
A,2050,"Central, Western and South Asia",6504.469649411058,2399.1661792047194,-9.094947017729282e-13
A,2050,India,2943.2735116742415,1410.1917859997898,-1.3642420526593924e-12
A,2050,Canada,1149.3563033499058,219.03098410597588,0.0
A,2050,United States,8276.681829526455,2278.4100793577977,-1.8189894035458565e-12
A,2050,Rest of America,2891.3702529075013,719.1642755689844,4.547473508864641e-13
A,2050,Brazil,1495.6182056848656,240.77418575902712,2.2737367544323206e-13
A,2050,"EU, UK and EFTA",3968.491779747131,563.7638226754993,-9.094947017729282e-13
A,2050,Eastern Europe,783.2879553705048,332.6643161815705,0.0
A,2050,Russia,2829.1205298430486,1317.5061829390536,4.547473508864641e-13
A,2050,North Africa,1197.214229442548,387.07691510402447,-2.2737367544323206e-13
A,2050,Sub Saharan,1297.912104618088,262.1022924375231,-2.2737367544323206e-13
A,2050,South Africa,759.9299372268363,306.8478207809288,0.0
B,2030,Australia_Oceania,464.66570110919105,196.3625423634005,5.684341886080802e-14
B,2030,China,12212.864169870332,5526.7966184324705,-1.8189894035458565e-12
B,2030,Japan,1404.3264799826227,640.4143222726402,-2.2737367544323206e-13
B,2030,South Korea,675.1465072051402,295.9333528529044,3.410605131648481e-13
B,2030,Rest of World,63.1511891639527,26.863919808825997,-7.105427357601002e-15
B,2030,Southeast Asia,2145.6870057435076,846.6681976735005,9.094947017729282e-13
B,2030,"Central, Western and South Asia",4258.7466556941345,1662.6550316649239,-1.8189894035458565e-12
B,2030,India,3444.2740819454134,1819.8684962045063,0.0
B,2030,Canada,785.1413631672117,176.90012620491186,1.1368683772161603e-13
B,2030,United States,5939.634253288724,2006.3960491787022,9.094947017729282e-13
B,2030,Rest of America,1674.5619904819414,473.4562751831978,-4.547473508864641e-13
B,2030,Brazil,761.9898089368925,162.34882964387958,1.1368683772161603e-13
B,2030,"EU, UK and EFTA",2630.8996267797957,460.04342731621813,4.547473508864641e-13
B,2030,Eastern Europe,473.2097712989294,242.88962900743928,0.0
B,2030,Russia,2186.167440686945,1162.293084389041,0.0
B,2030,North Africa,826.6415878817706,292.61972560194664,0.0
B,2030,Sub Saharan,526.5261091728734,125.9979767678259,0.0
B,2030,South Africa,464.669374163016,210.77867097647712,1.7053025658242404e-13
B,2050,Australia_Oceania,768.8928495007892,271.50877996345577,-1.1368683772161603e-13
B,2050,China,11402.813793037587,4424.015170819749,1.8189894035458565e-12
B,2050,Japan,2206.9961011578825,740.0694965286552,-4.547473508864641e-13
B,2050,South Korea,1005.0685874262358,358.1246786587885,0.0
B,2050,Rest of World,99.22784615567451,38.558678172615856,0.0
B,2050,Southeast Asia,2549.166723274337,873.0060079282862,-4.547473508864641e-13
B,2050,"Central, Western and South Asia",6494.114601476945,2401.9864204678756,1.8189894035458565e-12
B,2050,India,2944.5087122960167,1412.1947314111121,-9.094947017729282e-13
B,2050,Canada,1149.1281189058943,220.2491943057433,0.0
B,2050,United States,8303.630810523047,2318.8298274852127,-1.8189894035458565e-12
B,2050,Rest of America,2877.9686983022125,717.1568601943895,-4.547473508864641e-13
B,2050,Brazil,1539.0585668920216,276.7519833494414,6.821210263296962e-13
B,2050,"EU, UK and EFTA",4100.594355335037,652.1685350722603,1.8189894035458565e-12
B,2050,Eastern Europe,778.9063934955838,332.48966781364675,1.1368683772161603e-13
B,2050,Russia,2826.504913690239,1317.8528236263985,0.0
B,2050,North Africa,1190.6006754045618,384.40498837740023,2.2737367544323206e-13
B,2050,Sub Saharan,1290.674530147718,260.65978877393695,2.2737367544323206e-13
B,2050,South Africa,756.8719887520886,306.6444537191547,0.0
C,2030,Australia_Oceania,397.6689055570955,163.2810976174409,0.0
C,2030,China,8901.820228023955,3688.441804139429,0.0
C,2030,Japan,1298.808017724085,566.2971995647068,0.0
C,2030,South Korea,575.0011840325351,226.96041013297327,1.1368683772161603e-13
C,2030,Rest of World,42.77978876614908,20.514004854291073,7.105427357601002e-15
C,2030,Southeast Asia,1700.0786844276734,638.7617605136119,-2.2737367544323206e-13
C,2030,"Central, Western and South Asia",3430.2166404965847,1352.5551280641237,-9.094947017729282e-13
C,2030,India,2882.8820140194175,1529.5848016967673,9.094947017729282e-13
C,2030,Canada,636.8713483779427,130.6938681840693,-3.410605131648481e-13
C,2030,United States,4970.395826368448,1593.554818587656,9.094947017729282e-13
C,2030,Rest of America,1435.646763912418,397.9768833743931,-4.547473508864641e-13
C,2030,Brazil,679.929418620083,142.7528983296663,1.1368683772161603e-13
C,2030,"EU, UK and EFTA",2509.161316473943,399.043403978577,0.0
C,2030,Eastern Europe,377.53401480783384,185.4496316871264,-1.7053025658242404e-13
C,2030,Russia,1682.0453424542172,873.799012026473,6.821210263296962e-13
C,2030,North Africa,669.4308147967812,250.3488238312319,-4.547473508864641e-13
C,2030,Sub Saharan,452.89838405617775,111.34204982941358,5.684341886080802e-14
C,2030,South Africa,327.6312265859124,157.40254347116016,1.7053025658242404e-13
C,2050,Australia_Oceania,664.8676477822671,232.75587846683192,0.0
C,2050,China,8161.98441241003,2843.2796882036346,-9.094947017729282e-13
C,2050,Japan,1991.0856625254119,661.4591517209258,-9.094947017729282e-13
C,2050,South Korea,844.9462460688889,278.43985460539767,-2.2737367544323206e-13
C,2050,Rest of World,65.12827289745557,29.45807841885848,0.0
C,2050,Southeast Asia,1945.8862771664076,613.4420067455792,4.547473508864641e-13
C,2050,"Central, Western and South Asia",5271.061407411795,1993.170070130155,9.094947017729282e-13
C,2050,India,2361.8715660730836,1151.6141417682827,-9.094947017729282e-13
C,2050,Canada,988.8452533411051,177.40874595214265,3.410605131648481e-13
C,2050,United States,7299.232446715156,2022.737440287412,-9.094947017729282e-13
C,2050,Rest of America,2525.339699699901,630.5906474588546,-4.547473508864641e-13
C,2050,Brazil,1387.880742123941,247.44831663034157,9.094947017729282e-13
C,2050,"EU, UK and EFTA",3897.207953304419,580.5600281186912,9.094947017729282e-13
C,2050,Eastern Europe,649.3120541691627,275.5273019465798,2.2737367544323206e-13
C,2050,Russia,2269.6794044955486,1056.1070392661954,0.0
C,2050,North Africa,929.1136377929379,327.3710801522617,-1.1368683772161603e-13
C,2050,Sub Saharan,1075.4299697607462,231.3880488816754,0.0
C,2050,South Africa,596.1378167717312,254.76711202103735,1.1368683772161603e-13
