scenario,year,region,pv_tfp,wind_tfp,macro_tfp,calibrate_gdp,calibrate_power,calibrate_capacity
A,2017,Australia_Oceania,1.0,1.0,1.0003736988638863,0.0,0.0,0.0
A,2017,China,1.0,1.0,0.9999766600003124,0.0,0.0,0.0
A,2017,Japan,1.0,1.0,1.0005827939070984,0.0,0.0,0.0
A,2017,South Korea,1.0,1.0,1.0005746387521197,0.0,0.0,0.0
A,2017,Rest of World,1.0,1.0,1.0000051947562145,0.0,0.0,0.0
A,2017,Southeast Asia,1.0,1.0,1.0000218463859054,0.0,0.0,0.0
A,2017,"Central, Western and South Asia",1.0,1.0,1.0000632421933142,0.0,0.0,0.0
A,2017,India,1.0,1.0,0.9999876184984722,0.0,0.0,0.0
A,2017,Canada,1.0,1.0,1.0000085574389852,0.0,0.0,0.0
A,2017,United States,1.0,1.0,1.0001449444016095,0.0,0.0,0.0
A,2017,Rest of America,1.0,1.0,0.9999976668435157,0.0,0.0,0.0
A,2017,Brazil,1.0,1.0,1.0000010911296826,0.0,0.0,0.0
A,2017,"EU, UK and EFTA",0.9999999999999999,0.9999999999999999,1.000201945540916,0.0,0.0,0.0
A,2017,Eastern Europe,1.0,1.0,0.9998673298725127,0.0,0.0,0.0
A,2017,Russia,1.0,1.0,1.0001167343354946,0.0,0.0,0.0
A,2017,North Africa,1.0,1.0,1.0001023985021573,0.0,0.0,0.0
A,2017,Sub Saharan,1.0,1.0,1.0000388814031422,0.0,0.0,0.0
A,2017,South Africa,1.0,1.0,1.0000019237388154,0.0,0.0,0.0
A,2020,Australia_Oceania,1.5185646951817762,1.398204748168682,1.0361280050317996,0.0,0.0,0.0
A,2020,China,1.7992140675587056,0.9982622444332242,1.1603564219315563,0.0,0.0,0.0
A,2020,Japan,1.248713696037365,1.115564755547483,1.0320295276030136,0.0,0.0,0.0
A,2020,South Korea,1.343450622090075,1.115564755547483,1.0707394942041755,0.0,0.0,0.0
A,2020,Rest of World,1.4326117611494549,1.115564755547483,1.0692788313698545,0.0,0.0,0.0
A,2020,Southeast Asia,1.4326117611494549,1.115564755547483,1.1548128161484448,0.0,0.0,0.0
A,2020,"Central, Western and South Asia",1.4326117611494549,1.1647953238536188,1.1474596258258734,0.0,0.0,0.0
A,2020,India,1.4672618077107489,1.0599814428554615,1.1496519622839503,0.0,0.0,0.0
A,2020,Canada,1.4326117611494549,1.397423624682244,1.03745884368358,0.0,0.0,0.0
A,2020,United States,1.325561698898661,1.0876246798205296,1.0716403315055336,0.0,0.0,0.0
A,2020,Rest of America,1.4326117611494549,1.115564755547483,1.0551382221963452,0.0,0.0,0.0
A,2020,Brazil,1.6551717384261375,1.181386997077429,1.0553713745859712,0.0,0.0,0.0
A,2020,"EU, UK and EFTA",1.5487469277394303,1.1354157770677906,1.067479211970611,0.0,0.0,0.0
A,2020,Eastern Europe,1.4326117611494549,1.115564755547483,1.0618624063446944,0.0,0.0,0.0
A,2020,Russia,1.4326117611494549,1.115564755547483,1.0977244082682496,0.0,0.0,0.0
A,2020,North Africa,1.4326117611494549,1.115564755547483,1.164074792532438,0.0,0.0,0.0
A,2020,Sub Saharan,1.4326117611494549,1.115564755547483,1.10495466823681,0.0,0.0,0.0
A,2020,South Africa,1.4326117611494549,1.115564755547483,1.0267262228616139,0.0,0.0,0.0
A,2025,Australia_Oceania,2.9302684460156767,1.8444160353102674,1.022814071453193,0.0,0.0,0.0
A,2025,China,2.333049287331037,1.7350331399503898,1.402746039579213,0.0,0.0,0.0
A,2025,Japan,1.724348638018019,1.29434426899172,1.0817984036091028,0.0,0.0,0.0
A,2025,South Korea,2.3567756205284143,1.29434426899172,1.153975759595378,0.0,0.0,0.0
A,2025,Rest of World,2.525219108342481,1.29434426899172,1.144820985976668,0.0,0.0,0.0
A,2025,Southeast Asia,2.525219108342481,1.29434426899172,1.3074375688740114,0.0,0.0,0.0
A,2025,"Central, Western and South Asia",2.525219108342481,1.3679032599594545,1.313883303443329,0.0,0.0,0.0
A,2025,India,2.7739452963168034,1.2913243216801091,1.3974839965850532,0.0,0.0,0.0
A,2025,Canada,2.525219108342481,1.4882571377942175,1.0651850640050011,0.0,0.0,0.0
A,2025,United States,2.3310600957838172,1.2186368478529173,1.1786850008408005,0.0,0.0,0.0
A,2025,Rest of America,2.525219108342481,1.29434426899172,1.1608615703800682,0.0,0.0,0.0
A,2025,Brazil,3.754880269028203,2.0918677840233593,1.2111359474753285,0.0,0.0,0.0
A,2025,"EU, UK and EFTA",2.8178431519481135,1.2487958551676406,1.1183499686720757,0.0,0.0,0.0
A,2025,Eastern Europe,2.525219108342481,1.29434426899172,1.1907200037900896,0.0,0.0,0.0
A,2025,Russia,2.525219108342481,1.29434426899172,1.2666705034889532,0.0,0.0,0.0
A,2025,North Africa,2.525219108342481,1.29434426899172,1.4226415840114315,0.0,0.0,0.0
A,2025,Sub Saharan,2.525219108342481,1.29434426899172,1.1089670329844248,0.0,0.0,0.0
A,2025,South Africa,2.525219108342481,1.29434426899172,1.0561912858462736,0.0,0.0,0.0
A,2030,Australia_Oceania,2.9302684460156767,1.8444160353102674,1.0497508803727473,0.0,0.0,0.0
A,2030,China,2.333049287331037,1.7350331399503898,1.6235773287525754,0.0,0.0,0.0
A,2030,Japan,1.724348638018019,1.443674885273872,1.1400502427045123,0.0,0.0,0.0
A,2030,South Korea,2.3567756205284143,1.443674885273872,1.2474520539072438,0.0,0.0,0.0
A,2030,Rest of World,3.8105834511056513,1.443674885273872,1.2324721410115047,0.0,0.0,0.0
A,2030,Southeast Asia,3.8105834511056513,1.443674885273872,1.554311527111391,0.0,0.0,0.0
A,2030,"Central, Western and South Asia",3.8105834511056513,1.3679032599594545,1.5173487192692245,0.0,0.0,0.0
A,2030,India,2.7739452963168034,1.2913243216801091,1.8089114451707224,0.0,0.0,0.0
A,2030,Canada,3.8105834511056513,1.4882571377942175,1.1106516824394768,0.0,0.0,0.0
A,2030,United States,2.3310600957838172,1.2186368478529173,1.2759962474195903,0.0,0.0,0.0
A,2030,Rest of America,3.8105834511056513,1.443674885273872,1.2982528851232227,0.0,0.0,0.0
A,2030,Brazil,3.754880269028203,2.0918677840233593,1.3555010636497098,0.0,0.0,0.0
A,2030,"EU, UK and EFTA",2.8178431519481135,1.2487958551676432,1.2189399386504407,0.0,0.0,0.0
A,2030,Eastern Europe,3.8105834511056513,1.443674885273872,1.2987532353543938,0.0,0.0,0.0
A,2030,Russia,3.8105834511056513,1.443674885273872,1.3681851634181266,0.0,0.0,0.0
A,2030,North Africa,3.8105834511056513,1.443674885273872,1.7879414186252678,0.0,0.0,0.0
A,2030,Sub Saharan,3.8105834511056513,1.443674885273872,1.1556035713653008,0.0,0.0,0.0
A,2030,South Africa,3.8105834511056513,1.443674885273872,1.1259426929763552,0.0,0.0,0.0
A,2035,Australia_Oceania,2.9302684460156767,1.8444160353102674,1.1477899378746688,0.0,0.0,0.0
A,2035,China,2.333049287331037,1.7350331399503898,1.8155397097561423,0.0,0.0,0.0
A,2035,Japan,1.724348638018019,1.443674885273872,1.1911248121720668,0.0,0.0,0.0
A,2035,South Korea,2.3567756205284143,1.443674885273872,1.28698309593181,0.0,0.0,0.0
A,2035,Rest of World,3.8105834511056513,1.443674885273872,1.3375364617757315,0.0,0.0,0.0
A,2035,Southeast Asia,3.8105834511056513,1.443674885273872,1.775070663205666,0.0,0.0,0.0
