scenario,year,region,technology,CO2_Mt
A,2030,Australia_Oceania,TnD,0.998042243974831
A,2030,Australia_Oceania,Coal_Power,121.96068920092789
A,2030,Australia_Oceania,Oil_Power,15.911542770814322
A,2030,Australia_Oceania,Gas_Power,37.65773229613638
A,2030,Australia_Oceania,Nuclear,0.0001439091878966489
A,2030,Australia_Oceania,Hydro,3.359798583896865e-5
A,2030,Australia_Oceania,Wind,0.0006452725421310859
A,2030,Australia_Oceania,Solar,0.0014695979703493482
A,2030,Australia_Oceania,Biomass,0.37059462868029325
A,2030,China,TnD,1.553849788996096
A,2030,China,Coal_Power,5094.857737138243
A,2030,China,Oil_Power,168.45498945360538
A,2030,China,Gas_Power,232.32011051606344
A,2030,China,Nuclear,0.00029273541718635157
A,2030,China,Hydro,9.631189423810008e-5
A,2030,China,Wind,0.0011218452919374664
A,2030,China,Solar,0.0027789777680754567
A,2030,China,Biomass,38.99256903649564
A,2030,Japan,TnD,0.12233976322802383
A,2030,Japan,Coal_Power,300.3387447440246
A,2030,Japan,Oil_Power,91.63703741129619
A,2030,Japan,Gas_Power,217.49731136342027
A,2030,Japan,Nuclear,0.00010069792097568164
A,2030,Japan,Hydro,2.608601973015574e-5
A,2030,Japan,Wind,0.00016524922154677413
A,2030,Japan,Solar,0.00016979524208836873
A,2030,Japan,Biomass,10.985949034390549
A,2030,South Korea,TnD,0.05340540682778849
A,2030,South Korea,Coal_Power,173.69234536018575
A,2030,South Korea,Oil_Power,36.97472752649916
A,2030,South Korea,Gas_Power,63.18488087881599
A,2030,South Korea,Nuclear,0.00012152738750922156
A,2030,South Korea,Hydro,2.485187482749082e-5
A,2030,South Korea,Wind,0.0002547594286034416
A,2030,South Korea,Solar,0.0009705641145773645
A,2030,South Korea,Biomass,2.7786793248896546
A,2030,Rest of World,TnD,0.010681598012560738
A,2030,Rest of World,Coal_Power,22.738777831155602
A,2030,Rest of World,Oil_Power,3.085891822386859
A,2030,Rest of World,Gas_Power,1.0231252533620858
A,2030,Rest of World,Nuclear,0.0001720759269943034
A,2030,Rest of World,Hydro,4.175311693487387e-5
A,2030,Rest of World,Wind,0.0011749717579669283
A,2030,Rest of World,Solar,0.0036591875414043592
A,2030,Rest of World,Biomass,0.014022127740423015
A,2030,Southeast Asia,TnD,0.1962838861789254
A,2030,Southeast Asia,Coal_Power,580.7045457155599
A,2030,Southeast Asia,Oil_Power,23.664564359074518
A,2030,Southeast Asia,Gas_Power,241.36700187699827
A,2030,Southeast Asia,Nuclear,0.00014568097001989086
A,2030,Southeast Asia,Hydro,5.3942583285454895e-5
A,2030,Southeast Asia,Wind,0.0011377207236181698
A,2030,Southeast Asia,Solar,0.0031745693263431295
A,2030,Southeast Asia,Biomass,4.226613732261851
A,2030,"Central, Western and South Asia",TnD,4.803486061450248
A,2030,"Central, Western and South Asia",Coal_Power,314.47392267388506
A,2030,"Central, Western and South Asia",Oil_Power,437.9571836737088
A,2030,"Central, Western and South Asia",Gas_Power,900.4528783869785
A,2030,"Central, Western and South Asia",Nuclear,0.0001854927569964583
A,2030,"Central, Western and South Asia",Hydro,3.758390518072552e-5
A,2030,"Central, Western and South Asia",Wind,0.0002807850772815951
A,2030,"Central, Western and South Asia",Solar,0.0025653071810818827
A,2030,"Central, Western and South Asia",Biomass,1.1638831647516243
A,2030,India,TnD,1.0467471434901403
A,2030,India,Coal_Power,1737.8583395410908
A,2030,India,Oil_Power,4.149741203846604
A,2030,India,Gas_Power,68.93287588430289
A,2030,India,Nuclear,0.00020075263398568852
A,2030,India,Hydro,3.573141041916034e-5
A,2030,India,Wind,0.00018451060903766287
A,2030,India,Solar,0.0008948303507564968
A,2030,India,Biomass,2.7931525930024614
A,2030,Canada,TnD,0.03855276427587317
A,2030,Canada,Coal_Power,90.73569018042535
A,2030,Canada,Oil_Power,9.222427904849182
A,2030,Canada,Gas_Power,73.79796102279099
A,2030,Canada,Nuclear,0.00028878278506342373
A,2030,Canada,Hydro,6.382075184529344e-5
A,2030,Canada,Wind,0.00045473371943494925
A,2030,Canada,Solar,0.001614390523704775
A,2030,Canada,Biomass,1.7759889226509142
A,2030,United States,TnD,0.06015294867059329
A,2030,United States,Coal_Power,1388.0857177668
A,2030,United States,Oil_Power,15.599420270665448
A,2030,United States,Gas_Power,553.3449094565522
A,2030,United States,Nuclear,0.0001852107291575945
A,2030,United States,Hydro,3.0396075161281484e-5
A,2030,United States,Wind,0.0002421983829643939
A,2030,United States,Solar,0.0010237262952466632
A,2030,United States,Biomass,6.253280502703074
A,2030,Rest of America,TnD,1.1001410987325928
A,2030,Rest of America,Coal_Power,94.86828044497449
A,2030,Rest of America,Oil_Power,160.4564376621633
A,2030,Rest of America,Gas_Power,213.60609654860633
A,2030,Rest of America,Nuclear,0.00017492443240324615
A,2030,Rest of America,Hydro,3.042074060392592e-5
A,2030,Rest of America,Wind,0.00036804407068017855
A,2030,Rest of America,Solar,0.002133033934042141
A,2030,Rest of America,Biomass,4.6611267275828885
A,2030,Brazil,TnD,0.004250477551815651
A,2030,Brazil,Coal_Power,38.57564521713427
A,2030,Brazil,Oil_Power,28.075675576765796
A,2030,Brazil,Gas_Power,62.618203547694186
A,2030,Brazil,Nuclear,0.0001856230510443285
A,2030,Brazil,Hydro,2.5469820045272636e-5
A,2030,Brazil,Wind,0.0006184912199997064
A,2030,Brazil,Solar,0.01660887839351039
A,2030,Brazil,Biomass,7.790622820009555
A,2030,"EU, UK and EFTA",TnD,0.9665803781821919
A,2030,"EU, UK and EFTA",Coal_Power,160.3350583343066
A,2030,"EU, UK and EFTA",Oil_Power,31.016725389084552
A,2030,"EU, UK and EFTA",Gas_Power,183.24949092053043
A,2030,"EU, UK and EFTA",Nuclear,0.00017774843132536324
A,2030,"EU, UK and EFTA",Hydro,3.347476103450319e-5
A,2030,"EU, UK and EFTA",Wind,0.00023639124297665311
A,2030,"EU, UK and EFTA",Solar,0.0007149807156297292
A,2030,"EU, UK and EFTA",Biomass,15.564531589137408
A,2030,Eastern Europe,TnD,0.02633618578336025
A,2030,Eastern Europe,Coal_Power,144.6570007410229
A,2030,Eastern Europe,Oil_Power,14.147162624538673
A,2030,Eastern Europe,Gas_Power,81.86959299094933
A,2030,Eastern Europe,Nuclear,0.0001717145778423643
A,2030,Eastern Europe,Hydro,2.3021445169852826e-5
A,2030,Eastern Europe,Wind,0.00014316744636822508
A,2030,Eastern Europe,Solar,0.0012120591926872944
A,2030,Eastern Europe,Biomass,1.8167794049019084
A,2030,Russia,TnD,0.06254820381437373
A,2030,Russia,Coal_Power,360.2510766389971
A,2030,Russia,Oil_Power,46.148664492375474
A,2030,Russia,Gas_Power,741.5190460492071
A,2030,Russia,Nuclear,0.00022970432886926833
A,2030,Russia,Hydro,3.693620374714408e-5
A,2030,Russia,Wind,0.0034521697554903506
A,2030,Russia,Solar,0.00163894113786248
A,2030,Russia,Biomass,14.875904485290716
A,2030,North Africa,TnD,0.023202744620188086
A,2030,North Africa,Coal_Power,29.65465767396077
A,2030,North Africa,Oil_Power,57.85047852694936
A,2030,North Africa,Gas_Power,206.38329822971184
A,2030,North Africa,Nuclear,0.00010371965081979217
A,2030,North Africa,Hydro,2.2074563307749095e-5
A,2030,North Africa,Wind,0.0002790562965533007
A,2030,North Africa,Solar,0.0021788986315267227
A,2030,North Africa,Biomass,0.0
A,2030,Sub Saharan,TnD,0.3678101902120132
A,2030,Sub Saharan,Coal_Power,18.15565088342669
A,2030,Sub Saharan,Oil_Power,63.95715550068984
A,2030,Sub Saharan,Gas_Power,42.36311653104711
A,2030,Sub Saharan,Nuclear,0.0001720552161461766
A,2030,Sub Saharan,Hydro,5.809658731592817e-5
A,2030,Sub Saharan,Wind,0.000493692212803906
A,2030,Sub Saharan,Solar,0.0019066846720146165
A,2030,Sub Saharan,Biomass,1.539524004063979
A,2030,South Africa,TnD,0.0003481948363346551
A,2030,South Africa,Coal_Power,210.87016940171935
A,2030,South Africa,Oil_Power,0.018023946306869855
A,2030,South Africa,Gas_Power,0.000102568488112596
A,2030,South Africa,Nuclear,0.00010361241367153322
A,2030,South Africa,Hydro,1.7363440136417173e-5
A,2030,South Africa,Wind,0.00014947113462247414
A,2030,South Africa,Solar,0.0005223063047212747
A,2030,South Africa,Biomass,0.0014152575181858465
A,2050,Australia_Oceania,TnD,1.4315024159558152
A,2050,Australia_Oceania,Coal_Power,158.3114656772225
A,2050,Australia_Oceania,Oil_Power,35.85492338424211
A,2050,Australia_Oceania,Gas_Power,50.42941201192486
A,2050,Australia_Oceania,Nuclear,0.00010055999385840319
A,2050,Australia_Oceania,Hydro,4.436402556062955e-5
A,2050,Australia_Oceania,Wind,0.0007773578356037676
A,2050,Australia_Oceania,Solar,0.001793556692162023
A,2050,Australia_Oceania,Biomass,0.6676799781563166
A,2050,China,TnD,1.4025581359206867
A,2050,China,Coal_Power,3974.89750763017
A,2050,China,Oil_Power,183.49899618515596
A,2050,China,Gas_Power,219.79021094704694
A,2050,China,Nuclear,0.00024487285388217095
A,2050,China,Hydro,0.00017709294856180222
A,2050,China,Wind,0.0012745500834735878
A,2050,China,Solar,0.0033146932565292745
A,2050,China,Biomass,47.198761385274075
A,2050,Japan,TnD,0.14792745551297207
A,2050,Japan,Coal_Power,298.1828411111175
A,2050,Japan,Oil_Power,145.5676586359219
A,2050,Japan,Gas_Power,265.99077523559896
A,2050,Japan,Nuclear,7.604045507374028e-5
A,2050,Japan,Hydro,1.920532828931914e-5
A,2050,Japan,Wind,0.00011748974146651347
A,2050,Japan,Solar,0.00012526815313658807
A,2050,Japan,Biomass,11.329811667810786
A,2050,South Korea,TnD,0.0660472613235451
A,2050,South Korea,Coal_Power,195.1762420728881
A,2050,South Korea,Oil_Power,59.45925924745247
A,2050,South Korea,Gas_Power,76.78159425506027
A,2050,South Korea,Nuclear,0.00011891857219515007
A,2050,South Korea,Hydro,2.9915824242835057e-5
A,2050,South Korea,Wind,0.0002737477682139607
A,2050,South Korea,Solar,0.0011067500043786993
A,2050,South Korea,Biomass,3.706709168622466
A,2050,Rest of World,TnD,0.016012381614103743
A,2050,Rest of World,Coal_Power,29.757424919748132
A,2050,Rest of World,Oil_Power,6.153872069615858
A,2050,Rest of World,Gas_Power,2.6289763081506243
A,2050,Rest of World,Nuclear,7.447557068268056e-5
A,2050,Rest of World,Hydro,6.674130303077456e-5
A,2050,Rest of World,Wind,0.0013298682879260264
A,2050,Rest of World,Solar,0.0042977983800156164
A,2050,Rest of World,Biomass,0.02602154480967341
A,2050,Southeast Asia,TnD,0.2079584799618764
A,2050,Southeast Asia,Coal_Power,617.6537343246333
A,2050,Southeast Asia,Oil_Power,27.2725160756259
A,2050,Southeast Asia,Gas_Power,224.69135578486177
A,2050,Southeast Asia,Nuclear,3.0392806572160996e-5
A,2050,Southeast Asia,Hydro,0.00010959247117736818
A,2050,Southeast Asia,Wind,0.0018833574960539065
A,2050,Southeast Asia,Solar,0.0045981997402080215
A,2050,Southeast Asia,Biomass,7.481557781388213
A,2050,"Central, Western and South Asia",TnD,6.983553159529979
A,2050,"Central, Western and South Asia",Coal_Power,401.99600123308363
A,2050,"Central, Western and South Asia",Oil_Power,771.2246085701108
A,2050,"Central, Western and South Asia",Gas_Power,1216.4824610780536
A,2050,"Central, Western and South Asia",Nuclear,0.0003059311043726537
