scenario,year,region,sector,CO2_Mt
A,2030,Australia_Oceania,Rice,0.02424949884240799
A,2030,Australia_Oceania,Crops nec,5.37141545035985
A,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",1.5172418850087857
A,2030,Australia_Oceania,Animal products nec,3.3158855857503657
A,2030,Australia_Oceania,Forestry,3.082373574909491
A,2030,Australia_Oceania,Coal,8.313660607765522
A,2030,Australia_Oceania,Oil,0.13380404504317747
A,2030,Australia_Oceania,Gas,3.57834009672842
A,2030,Australia_Oceania,Mine,15.531632073844943
A,2030,Australia_Oceania,Manufac,27.57760465212677
A,2030,Australia_Oceania,Petro,17.915435836127177
A,2030,Australia_Oceania,WatWaste,0.26033736896908927
A,2030,Australia_Oceania,OthServ,14.679710292706414
A,2030,Australia_Oceania,Transport,107.08558497714728
A,2030,Australia_Oceania,Power,176.90089351821993
A,2030,Australia_Oceania,Households,57.8946741782119
A,2030,China,Rice,12.646726891731316
A,2030,China,Crops nec,75.22637266358088
A,2030,China,"Bovine cattle, sheep and goats, horses",3.942417800262204
A,2030,China,Animal products nec,50.5403690350698
A,2030,China,Forestry,9.820298030146098
A,2030,China,Coal,65.05433510089507
A,2030,China,Oil,10.234837909232638
A,2030,China,Gas,30.67605591357929
A,2030,China,Mine,55.15366955116263
A,2030,China,Manufac,3189.226993634064
A,2030,China,Petro,363.193132056702
A,2030,China,WatWaste,0.6847827430830421
A,2030,China,OthServ,356.98744261796537
A,2030,China,Transport,1324.3469135032756
A,2030,China,Power,5536.183545803775
A,2030,China,Households,1170.366210248563
A,2030,Japan,Rice,1.2467102161026953
A,2030,Japan,Crops nec,5.563047439207928
A,2030,Japan,"Bovine cattle, sheep and goats, horses",0.13088061303910611
A,2030,Japan,Animal products nec,9.095919386481906
A,2030,Japan,Forestry,1.0686390324149824
A,2030,Japan,Coal,0.0017315734951636194
A,2030,Japan,Oil,0.00240997445178069
A,2030,Japan,Gas,0.3716188767407238
A,2030,Japan,Mine,1.5212199550366678
A,2030,Japan,Manufac,248.6327015775232
A,2030,Japan,Petro,54.447113800797375
A,2030,Japan,WatWaste,4.653488718809914
A,2030,Japan,OthServ,89.5646699684819
A,2030,Japan,Transport,189.38517598749416
A,2030,Japan,Power,620.5818441447641
A,2030,Japan,Households,158.90727701049593
A,2030,South Korea,Rice,0.5097238165740448
A,2030,South Korea,Crops nec,1.387643470300305
A,2030,South Korea,"Bovine cattle, sheep and goats, horses",0.07464997175185391
A,2030,South Korea,Animal products nec,3.7820201082452476
A,2030,South Korea,Forestry,0.16336888653689957
A,2030,South Korea,Coal,0.024513898641662993
A,2030,South Korea,Oil,0.07356418948703773
A,2030,South Korea,Gas,1.507560209252977
A,2030,South Korea,Mine,0.669159761987038
A,2030,South Korea,Manufac,56.97062650339818
A,2030,South Korea,Petro,72.87889838851136
A,2030,South Korea,WatWaste,0.6217567093790654
A,2030,South Korea,OthServ,34.01062926901045
A,2030,South Korea,Transport,120.87409667260195
A,2030,South Korea,Power,276.6854102000238
A,2030,South Korea,Households,83.74536539808233
A,2030,Rest of World,Rice,3.4831915979780095e-5
A,2030,Rest of World,Crops nec,0.33865590785752364
A,2030,Rest of World,"Bovine cattle, sheep and goats, horses",0.023105026811624515
A,2030,Rest of World,Animal products nec,0.10401451939909347
A,2030,Rest of World,Forestry,0.01088324700279234
A,2030,Rest of World,Coal,0.04165253450609574
A,2030,Rest of World,Oil,0.03576449306759345
A,2030,Rest of World,Gas,0.006149922479596664
A,2030,Rest of World,Mine,1.889187812173754
A,2030,Rest of World,Manufac,12.914901510482679
A,2030,Rest of World,Petro,0.11478747007622138
A,2030,Rest of World,WatWaste,0.2599464068400725
A,2030,Rest of World,OthServ,8.448203694060496
A,2030,Rest of World,Transport,8.076305486133677
A,2030,Rest of World,Power,26.87754662100083
A,2030,Rest of World,Households,4.234157327649941
A,2030,Southeast Asia,Rice,4.454860684710162
A,2030,Southeast Asia,Crops nec,9.365722961084508
A,2030,Southeast Asia,"Bovine cattle, sheep and goats, horses",0.0919837166286811
A,2030,Southeast Asia,Animal products nec,18.773357696645416
A,2030,Southeast Asia,Forestry,4.499841929247594
A,2030,Southeast Asia,Coal,0.10646259988902687
A,2030,Southeast Asia,Oil,0.23967124238250637
A,2030,Southeast Asia,Gas,37.619383228885454
A,2030,Southeast Asia,Mine,19.827228930586333
A,2030,Southeast Asia,Manufac,288.86340310306036
A,2030,Southeast Asia,Petro,42.22194280226918
A,2030,Southeast Asia,WatWaste,1.9219843584444407
A,2030,Southeast Asia,OthServ,84.87428530252612
A,2030,Southeast Asia,Transport,546.6447153147292
A,2030,Southeast Asia,Power,850.1635214836767
A,2030,Southeast Asia,Households,246.16559686200563
A,2030,"Central, Western and South Asia",Rice,3.087433684520201
A,2030,"Central, Western and South Asia",Crops nec,28.865375827206385
A,2030,"Central, Western and South Asia","Bovine cattle, sheep and goats, horses",2.016659160693417
A,2030,"Central, Western and South Asia",Animal products nec,11.213864929990793
A,2030,"Central, Western and South Asia",Forestry,1.0554223040736788
A,2030,"Central, Western and South Asia",Coal,7.539866657706116
A,2030,"Central, Western and South Asia",Oil,20.655248928420505
A,2030,"Central, Western and South Asia",Gas,61.16166825084464
A,2030,"Central, Western and South Asia",Mine,38.899249675805855
A,2030,"Central, Western and South Asia",Manufac,606.5178353961935
A,2030,"Central, Western and South Asia",Petro,159.85151362715956
A,2030,"Central, Western and South Asia",WatWaste,29.894846754875857
A,2030,"Central, Western and South Asia",OthServ,198.10251141158034
A,2030,"Central, Western and South Asia",Transport,736.8565399346976
A,2030,"Central, Western and South Asia",Power,1658.8544231296949
A,2030,"Central, Western and South Asia",Households,698.4581937386163
A,2030,India,Rice,25.887952912386577
A,2030,India,Crops nec,27.799567934686213
A,2030,India,"Bovine cattle, sheep and goats, horses",0.014405385808352942
A,2030,India,Animal products nec,1.4904841062333811
A,2030,India,Forestry,5.24728722747223
A,2030,India,Coal,0.36908723294775286
A,2030,India,Oil,0.006076147242382963
A,2030,India,Gas,1.5512829844717055
A,2030,India,Mine,16.03148261657198
A,2030,India,Manufac,581.6858990872566
A,2030,India,Petro,119.75563181925163
A,2030,India,WatWaste,14.675489806877275
A,2030,India,OthServ,103.69197931930131
A,2030,India,Transport,405.47870190953574
A,2030,India,Power,1814.7821721907376
A,2030,India,Households,326.80120662001605
A,2030,Canada,Rice,0.30045148606238503
A,2030,Canada,Crops nec,17.231707605654805
A,2030,Canada,"Bovine cattle, sheep and goats, horses",1.1823974230611085
A,2030,Canada,Animal products nec,5.133918323288081
A,2030,Canada,Forestry,7.3886471788051455
A,2030,Canada,Coal,0.3564400928781221
A,2030,Canada,Oil,23.311640378839304
A,2030,Canada,Gas,79.15167708146382
A,2030,Canada,Mine,13.413474304865744
A,2030,Canada,Manufac,67.20922925340352
A,2030,Canada,Petro,23.15045519436897
A,2030,Canada,WatWaste,0.3523655140589619
A,2030,Canada,OthServ,68.07254677347358
A,2030,Canada,Transport,173.8888413357935
A,2030,Canada,Power,175.57304252277237
A,2030,Canada,Households,128.6147684480274
A,2030,United States,Rice,0.5987966539366429
A,2030,United States,Crops nec,39.890134587438446
A,2030,United States,"Bovine cattle, sheep and goats, horses",9.937843870375794
A,2030,United States,Animal products nec,16.96346576767054
A,2030,United States,Forestry,5.510345744819506
A,2030,United States,Coal,5.131475972471737
A,2030,United States,Oil,7.538737195234407
A,2030,United States,Gas,77.75225304395484
A,2030,United States,Mine,21.23791526961364
A,2030,United States,Manufac,410.22945789402934
A,2030,United States,Petro,208.3840437008381
A,2030,United States,WatWaste,6.808481086578276
A,2030,United States,OthServ,360.90573045738205
A,2030,United States,Transport,1538.9689986866242
A,2030,United States,Power,1963.3449624768741
A,2030,United States,Households,1228.1499983904764
A,2030,Rest of America,Rice,1.36422648837478
A,2030,Rest of America,Crops nec,23.10782437715618
A,2030,Rest of America,"Bovine cattle, sheep and goats, horses",3.2196915416963483
A,2030,Rest of America,Animal products nec,8.795677955881581
A,2030,Rest of America,Forestry,2.350344656310623
