RegGrid,gr2020,gr2025,gr2030,gr2035,gr2040,gr2045,gr2050,gr2055,gr2060,gr2065,gr2070,gr2075,gr2080,gr2085,gr2090,gr2095,gr2100
Australia_Oceania,0.03637273,0.032950088,0.028328658,0.024887294,0.022654827,0.02110427,0.019251661,0.0179907,0.017441658,0.01663507,0.015590215,0.014277461,0.013090674,0.01202697,0.011039138,0.010104956,0.009204648
China,0.07827671,0.056119984,0.038790691,0.026744713,0.019206897,0.014488529,0.010173247,0.00668911,0.004591973,0.003039812,0.00179585,0.0006271,0.000105414,0.000943698,0.001444986,0.001705944,0.001731578
Japan,0.005749987,0.007972144,0.008030345,0.006794214,0.005760461,0.005608053,0.005278527,0.005430088,0.005624652,0.005326087,0.004834705,0.004242673,0.003828161,0.003765892,0.003828627,0.003858459,0.003736488
South Korea,0.020963734,0.016650908,0.014880701,0.013301214,0.011084812,0.008915032,0.006805108,0.005513874,0.003894244,0.003139557,0.003240106,0.002907488,0.002931616,0.002721581,0.00235329,0.002106528,0.001826911
Rest of World,0.049472207,0.043752552,0.035401208,0.028400637,0.023497562,0.019725935,0.01691962,0.015422386,0.014826253,0.013718011,0.012326569,0.010729627,0.009392413,0.008318285,0.007508651,0.006849114,0.00618752
Southeast Asia,0.058548518,0.053116366,0.044351482,0.037063354,0.032407772,0.028349151,0.026388094,0.024503816,0.02217199,0.019603557,0.017380816,0.015710937,0.014345833,0.013183564,0.012233237,0.011402836,0.01066154
"Central, Western and South Asia",0.04597259,0.042700615,0.038659237,0.034003144,0.030588462,0.027748908,0.025390964,0.023987082,0.023315934,0.02261624,0.021663469,0.020592283,0.019793592,0.018983036,0.018130715,0.017177397,0.016130053
India,0.081349436,0.070364055,0.056077526,0.045373119,0.038041549,0.032438986,0.02863198,0.026107318,0.024107392,0.022053516,0.019858674,0.017562198,0.015502019,0.013909784,0.012700625,0.011558558,0.010330803
Canada,0.025576438,0.024733639,0.022674127,0.021119745,0.019465503,0.017687476,0.015994118,0.014974309,0.014846534,0.01481271,0.01437109,0.013463391,0.012516337,0.011465327,0.010564286,0.00976904,0.009016436
United States,0.023691241,0.021681465,0.018984831,0.017557618,0.016289381,0.015096054,0.013375771,0.012690162,0.01245224,0.012378014,0.011507499,0.01060871,0.010300765,0.009464055,0.00873932,0.008172806,0.007662842
Rest of America,0.036842678,0.034041986,0.030833454,0.027888746,0.026055252,0.02468878,0.023311351,0.021475363,0.019542764,0.018111823,0.017033977,0.016129975,0.01527911,0.014476259,0.013749986,0.01309261,0.012449715
Brazil,0.036876812,0.030159408,0.025276609,0.022217737,0.020901364,0.021613645,0.021425168,0.020196232,0.017721339,0.014902673,0.012897562,0.011933145,0.011119928,0.010449569,0.009881534,0.009461435,0.009046325
EUPlus,0.022124158,0.022601459,0.021038638,0.019384673,0.017931835,0.016331176,0.014816915,0.013807763,0.013390699,0.012857108,0.012118416,0.011305236,0.010722687,0.010225079,0.009781398,0.009363791,0.008881794
Eastern Europe,0.048208856,0.044114971,0.034012494,0.02556001,0.019675821,0.015769059,0.01333163,0.01294063,0.01370243,0.01389885,0.013219571,0.01198447,0.010959367,0.010204237,0.009685419,0.009229054,0.008604538
Russia,0.032612529,0.026274426,0.021275162,0.017539357,0.014988328,0.012416808,0.010411932,0.010384613,0.012064207,0.012354576,0.011932614,0.010825366,0.009770817,0.009119921,0.008795293,0.008514772,0.007926078
North Africa,0.041477704,0.0398358,0.038916383,0.037428619,0.035923211,0.033828227,0.031200688,0.028700314,0.026240528,0.023942883,0.021406282,0.018994223,0.016866257,0.015127486,0.013752678,0.012581909,0.011485327
Sub Saharan,0.062444551,0.059136358,0.057049452,0.054476401,0.053138055,0.051721031,0.0499621,0.047864341,0.045481539,0.043008193,0.040488534,0.03798468,0.035566835,0.033293275,0.031068403,0.028910626,0.026891439
South Africa,0.039515676,0.036959572,0.035234251,0.033291505,0.030858195,0.027444296,0.024263406,0.021848157,0.020041146,0.018126764,0.016225774,0.014680944,0.013337013,0.012222069,0.011246638,0.010284603,0.009307919
