RegGrid,gr2020,gr2025,gr2030,gr2035,gr2040,gr2045,gr2050,gr2055,gr2060,gr2065,gr2070,gr2075,gr2080,gr2085,gr2090,gr2095,gr2100
Australia_Oceania,0.014511624475394372,0.01328244195346843,0.01183509599550514,0.01054363584220249,0.009488465261095072,0.008627571643324764,0.00776876301060551,0.006923724816048231,0.00604165175677059,0.00490684090092756,0.00385521466866671,0.0029047195770446343,0.001980410573410104,0.0010412457156428652,4.525210587032665e-05,-0.000989744848832852,-0.0018857377984464
China,0.0023340573401238927,0.0008952189175575054,-0.0005973014921074974,-0.0021773868926717363,-0.003728676847697806,-0.005132506650622444,-0.00644480552769322,-0.007595814953351561,-0.008538952039311173,-0.009184846381442199,-0.009637390217433225,-0.010061950176920095,-0.010528265683978244,-0.010862087988800395,-0.010858674552964631,-0.010576341199331818,-0.01020701002477605
Japan,-0.002057522941114535,-0.0031648377539188846,-0.004004633670154652,-0.004592617011631457,-0.005005925812989902,-0.005366589965466351,-0.005611286449711576,-0.005748298911888365,-0.005961461378109674,-0.006568371723846981,-0.007116341328720188,-0.007423815820016204,-0.007564126700651245,-0.008062664674653441,-0.00832280329676253,-0.008492649390237528,-0.008669554877851296
South Korea,0.0019213269451296977,0.0010632609179089443,8.054867341315368e-05,-0.0012862092616951666,-0.002903142498984527,-0.004441705933905471,-0.005856739170001957,-0.006961328156652402,-0.0077038172470744,-0.008298608330166601,-0.008720359896413177,-0.008979369421447947,-0.009086922841206232,-0.00908101696360993,-0.008980944843870095,-0.008791906640072344,-0.00901317809778727
Rest of World,0.0024528087051935987,0.002020993937545068,0.0011849653725411653,0.0003655066324018315,-0.00022858364359260955,-0.0008303368701506239,-0.0014568014760970582,-0.0021295942756539197,-0.0027637669561760836,-0.0036327627088285817,-0.0043779493021123645,-0.005051762902271088,-0.005695839311873637,-0.006241357398730514,-0.006684571297459733,-0.0069958988274982925,-0.007242993814429055
Southeast Asia,0.009170471827692298,0.0076528515254267555,0.006181765312314476,0.00482218779110329,0.003504358008668588,0.0022025141350741815,0.0009092711200183364,-8.552678387156269e-05,-0.0009955906850118712,-0.0018418625807728277,-0.002561383846454731,-0.0032317642302468843,-0.003787305021163756,-0.004226875149312119,-0.004567144289678564,-0.004815046610760154,-0.00503092165302621
"Central, Western and South Asia",0.015064376264198728,0.013364272965657861,0.011639769424159526,0.010235175535546684,0.009029479895766931,0.0077501828576337735,0.006425933329778181,0.00506692313035854,0.00380438850568258,0.002785415992808534,0.0018867184275764466,0.001100559857732349,0.00036036858928826615,-0.00025048475552832034,-0.0008055170207862394,-0.0012209755047534927,-0.0016159740682606394
India,0.011967082029574009,0.010397819117760498,0.008980127307028907,0.007963611293972939,0.006877262545503286,0.005847488483190277,0.00458698556099546,0.0033055401282249264,0.0018825464085666284,0.0006206224865594745,-0.000400464107705704,-0.0014014986531259248,-0.0023867657304511938,-0.0033242079495293675,-0.004047375665168477,-0.004735773121909241,-0.0051581034531961905
Canada,0.010411596827991346,0.00974870831955695,0.008641212941648435,0.007653724670032558,0.007101294260744462,0.006768540050166767,0.006499935184532142,0.006094678796527919,0.005692746136319871,0.004847335085136351,0.004074313227961183,0.0033325646906449493,0.002504236758488062,0.0015962913133808303,0.0006868899428139988,-0.00041709162692045904,-0.0014889758922297751
United States,0.00784533059949849,0.007559512588201145,0.00694961301501118,0.006274625515400645,0.005639676039638053,0.005031396051168979,0.004650495024397849,0.0045344820353150905,0.00448529271622905,0.004136032848482241,0.003620238937069309,0.0030042647756697294,0.002338060096101602,0.00171911837125438,0.001202208443278896,0.000746987180467229,0.0002605567004482223
Rest of America,0.009775415119285702,0.008469686560440707,0.007173862601774254,0.005876380431294977,0.004699606141765678,0.0035607179299503855,0.0024624695953852083,0.001437282551671008,0.0004773643637349482,-0.00011681554440627166,-0.0006161931479032878,-0.0011221349283677684,-0.0016183896617977995,-0.002087531205198482,-0.0024591782200135506,-0.0027095714100725163,-0.002899739577650995
