RegAgg,gr2017,gr2018,gr2019,gr2020,gr2021,gr2022,gr2023,gr2024,gr2025,gr2026,gr2027,gr2028,gr2029,gr2030,gr2031,gr2032,gr2033,gr2034
Australia_Oceania,0.02259,0.02425,0.01451,-0.06633,0.04238,0.04806,-0.00746,0.00435,0.01584,0.01359,0.01003,0.00883,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916
China,0.06947,0.06751,0.05951,0.02242,0.0845,0.02989,0.0524,0.04642,0.04086,0.0377,0.03577,0.0338,0.03306,0.03306,0.03306,0.03306,0.03306,0.03306
Japan,0.01675,0.00643,-0.00402,-0.04147,0.02559,0.00957,0.01923,0.00855,0.01007,0.00799,0.00594,0.00575,0.00446,0.00446,0.00446,0.00446,0.00446,0.00446
South Korea,0.0316,0.02907,0.02244,-0.00709,0.04305,0.02613,0.01357,0.02322,0.02337,0.02212,0.02131,0.02084,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025
Rest of World,0.03358,0.03002,0.0228,-0.03775,0.05557,0.03558,0.02515,0.02288,0.02594,0.02406,0.02411,0.02334,0.02318,0.02318,0.02318,0.02318,0.02318,0.02318
Southeast Asia,0.05813,0.04843,0.04413,-0.05457,0.03298,0.0865,0.0368,0.04421,0.04395,0.04405,0.03954,0.03962,0.03966,0.03966,0.03966,0.03966,0.03966,0.03966
Central Asia,0.03901,0.041,0.045,-0.026,0.041,0.03299,0.05101,0.03109,0.05648,0.0216,0.03722,0.02332,0.02381,0.02381,0.02381,0.02381,0.02381,0.02381
India,0.06795,0.06454,0.03871,-0.05778,0.0969,0.06987,0.07827,0.06808,0.06458,0.06467,0.06477,0.06486,0.06495,0.06495,0.06495,0.06495,0.06495,0.06495
Canada,0.03034,0.02743,0.01908,-0.05038,0.05287,0.0382,0.01066,0.01154,0.02308,0.01859,0.01683,0.01675,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
United States,0.02458,0.02967,0.02467,-0.02214,0.058,0.01936,0.02531,0.02725,0.01881,0.02028,0.0212,0.02122,0.02122,0.02122,0.02122,0.02122,0.02122,0.02122
Rest of America,0.01872,0.01972,-0.00251,-0.08625,0.05739,0.03949,0.03229,0.02367,0.01438,0.01935,0.02056,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061
Brazil,0.01323,0.01784,0.01221,-0.03277,0.04763,0.03017,0.02908,0.02154,0.02123,0.02083,0.01998,0.02001,0.01999,0.01999,0.01999,0.01999,0.01999,0.01999
EU,0.02542,0.01418,0.01519,-0.07243,0.06055,0.02892,0.00236,0.00451,0.01436,0.01582,0.0144,0.01291,0.01139,0.01139,0.01139,0.01139,0.01139,0.01139
Eastern Europe,0.01092,0.01668,0.0188,-0.09316,0.0838,0.05557,0.02011,0.02038,0.01932,0.01706,0.01326,0.01315,0.01254,0.01254,0.01254,0.01254,0.01254,0.01254
Russia,0.01827,0.02806,0.02198,-0.02654,0.05988,-0.01201,0.03585,0.03163,0.01811,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
North Africa,0.04191,0.05327,0.05548,0.03573,0.03253,0.06653,0.0376,0.02966,0.04441,0.04732,0.05062,0.05486,0.05628,0.05628,0.05628,0.05628,0.05628,0.05628
Central and Southern Africa,0.04528,0.0382,0.0297,0.00959,0.00983,0.01,0.01,0.01269,0.0172,0.01946,0.02111,0.02341,0.02551,0.02551,0.02551,0.02551,0.02551,0.02551
South Africa,0.01158,0.01557,0.0026,-0.05963,0.04703,0.0191,0.00602,0.00879,0.01213,0.01375,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
