RegGrid,2020,gdppc,frish
Australia_Oceania,1305.514,31.30578869118987,-3.065810076348182
Brazil,2796.631,13.42855565158936,-5.531099340302752
Canada,1537.669,40.57388252678241,-2.4707674323381354
"Central, Western and South Asia",7400.896999999999,8.365487954027042,-7.448488616293748
China,22083.351,15.740631896173209,-4.991254887070092
EUPlus,17250.270000000004,32.087675177363025,-3.0066163847819034
Eastern Europe,619.787,10.59863538424707,-6.424461164013934
India,6913.935,5.078991773190106,-10.226261792980175
Japan,4351.946,34.681558458117834,-2.82377004043132
North Africa,1468.2869999999998,8.400820464701136,-7.42890805196167
Rest of America,5715.928999999999,13.310905250607215,-5.562310618683881
Rest of World,186.05399999999997,9.651605540281162,-6.812134094276285
Russia,2942.177,20.830603994534243,-4.135264895552737
South Africa,710.767,12.991774662304191,-5.649134730242672
South Korea,1932.057,38.960617059891106,-2.5600658070617968
Southeast Asia,4793.309,7.4131206715764675,-8.033526244641727
Sub Saharan,2193.194,2.202605734302675,-19.19474071138984
United States,17156.082,50.95028539863745,-1.9931459674405474
