SecGrid,Australia_Oceania,China,Japan,South Korea,Rest of World,Southeast Asia,Central Asia,India,Canada,United States,Rest of America,Brazil,EU,Eastern Europe,Russia,North Africa,Central and Southern Africa,South Africa
Rice,-0.43,-0.43,-0.43,-0.43,-0.55,-0.55,-0.55,-0.55,-0.43,-0.43,-0.55,-0.55,-0.43,-0.43,-0.55,-0.61,-0.61,-0.61
Crops nec,-0.49,-0.49,-0.49,-0.49,-0.61,-0.61,-0.61,-0.61,-0.49,-0.49,-0.61,-0.61,-0.49,-0.49,-0.61,-0.67,-0.67,-0.67
"Bovine cattle, sheep and goats, horses",-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.78,-0.78,-0.78
Animal products nec,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.78,-0.78,-0.78
Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manufac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatWaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OthServ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
