,,TnD,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
1990,Australia_Oceania,0,122142.0,3562.0,20068.0,0.0,38063.0,0.0,0.0,1600.0
1990,China,0,494194.0,73246.0,3974.0,32866.0,134908.0,2.0,2.0,209.0
1990,Japan,0,124715.0,249533.0,167693.0,202272.0,97033.0,0.0,67.0,8095.0
1990,South Korea,0,17661.0,18857.0,9604.0,52887.0,6361.0,0.0,1.0,0.0
1990,Rest of World,0,58119.0,4332.0,1315.0,0.0,27431.0,0.0,0.0,0.0
1990,Southeast Asia,0,27728.0,65831.0,26183.0,0.0,27296.0,0.0,0.0,601.0
1990,"Central, Western and South Asia",0,99111.0,150482.0,232030.0,293.0,108197.0,1.0,0.0,0.0
1990,India,0,189148.0,12535.0,9958.0,6141.0,71656.0,32.0,0.0,0.0
1990,Canada,0,82220.0,16468.0,9654.0,72967.0,296848.0,0.0,0.0,3969.0
1990,United States,0,1699648.0,130649.0,381669.0,611589.0,288960.0,3066.0,3.0,86362.0
1990,Rest of America,0,19110.0,102908.0,57751.0,10218.0,178457.0,1.0,1.0,3581.0
1990,Brazil,0,4754.0,4937.0,326.0,2237.0,206708.0,0.0,0.0,3859.0
1990,EUPlus,0,1050421.0,223678.0,192892.0,818499.0,465276.0,778.0,16.0,20676.0
1990,Eastern Europe,0,119021.0,71476.0,77354.0,76179.0,13848.0,0.0,0.0,0.0
1990,Russia,0,157032.0,128639.0,512194.0,118305.0,165917.0,0.0,0.0,37.0
1990,North Africa,0,2212.0,30632.0,34026.0,0.0,11287.0,0.0,0.0,0.0
1990,Sub Saharan,0,6161.0,5723.0,7405.0,0.0,41894.0,0.0,0.0,452.0
1990,South Africa,0,155926.0,0.0,0.0,8449.0,2851.0,0.0,0.0,0.0
1991,Australia_Oceania,0,-1573388.0,-127228.0,-363876.0,-611589.0,-249965.0,-3066.0,-3.0,-84729.0
1991,China,0,455768.0,-75962.0,-224111.0,34905.0,23126.0,8.0,2.0,209.0
1991,Japan,0,-79676.0,223510.0,166419.0,207935.0,34235.0,-39.0,74.0,8285.0
1991,South Korea,0,-139048.0,27182.0,9935.0,47167.0,1267.0,0.0,1.0,0.0
1991,Rest of World,0,33636.0,-101128.0,-65108.0,-11998.0,-158157.0,-1.0,-2.0,-4973.0
1991,Southeast Asia,0,14574.0,45171.0,20980.0,-56311.0,23272.0,0.0,-1.0,490.0
1991,"Central, Western and South Asia",0,13168.0,140477.0,220788.0,-84545.0,-200903.0,1.0,0.0,-3955.0
1991,India,0,100459.0,-49200.0,-59270.0,-69606.0,56964.0,39.0,0.0,0.0
1991,Canada,0,82800.0,9039.0,8249.0,83488.0,90593.0,0.0,0.0,-6.0
1991,United States,0,1705028.0,121580.0,395469.0,649399.0,263771.0,3051.0,3.0,55278.0
1991,Rest of America,0,17117.0,73561.0,28238.0,11998.0,177968.0,1.0,2.0,4973.0
1991,Brazil,0,-120575.0,1675.0,-17420.0,1442.0,178787.0,0.0,0.0,2366.0
1991,EUPlus,0,494473.0,153201.0,183461.0,807498.0,339323.0,1087.0,20.0,21877.0
1991,Eastern Europe,0,-940640.0,-170388.0,-116135.0,-767657.0,-454110.0,-1096.0,-22.0,-22124.0
1991,Russia,0,102270.0,121737.0,500330.0,119984.0,136344.0,0.0,0.0,36.0
1991,North Africa,0,-130221.0,-205887.0,-141589.0,-213460.0,-95591.0,0.0,-74.0,-8285.0
1991,Sub Saharan,0,-23834.0,-66854.0,-24154.0,0.0,17061.0,0.0,0.0,1.0
1991,South Africa,0,549.0,-124056.0,-501645.0,-110840.0,-163790.0,0.0,0.0,-36.0
1992,Australia_Oceania,0,-1581743.0,-124511.0,-383101.0,-649399.0,-272296.0,-3050.0,-3.0,-54259.0
1992,China,0,532978.0,-93336.0,-232035.0,33263.0,25399.0,13.0,3.0,227.0
1992,Japan,0,-87739.0,228077.0,162613.0,216533.0,21028.0,-87.0,81.0,8444.0
1992,South Korea,0,-139439.0,35310.0,12187.0,47242.0,2778.0,0.0,2.0,0.0
1992,Rest of World,0,27211.0,-107147.0,-66881.0,-11000.0,-166563.0,-1.0,-3.0,-6471.0
1992,Southeast Asia,0,15037.0,39574.0,28324.0,-56530.0,25734.0,0.0,-2.0,490.0
1992,"Central, Western and South Asia",0,12668.0,154794.0,224401.0,-80000.0,-201067.0,-58.0,-2.0,-4432.0
1992,India,0,117304.0,-24581.0,-57751.0,-67024.0,58294.0,88.0,0.0,0.0
1992,Canada,0,84930.0,9353.0,12732.0,78823.0,93146.0,59.0,2.0,-420.0
1992,United States,0,1734749.0,100227.0,420099.0,655970.0,230759.0,2917.0,3.0,64220.0
1992,Rest of America,0,16488.0,77505.0,26153.0,11000.0,183993.0,1.0,3.0,6471.0
1992,Brazil,0,-125265.0,3673.0,-18739.0,1759.0,186484.0,-1.0,0.0,3389.0
1992,EUPlus,0,369566.0,165108.0,180143.0,816926.0,350957.0,1543.0,28.0,23466.0
1992,Eastern Europe,0,-895526.0,-204758.0,-111622.0,-777021.0,-480186.0,-1557.0,-31.0,-23740.0
1992,Russia,0,108906.0,99208.0,460078.0,119626.0,143550.0,0.0,0.0,1852.0
1992,North Africa,0,-137613.0,-210307.0,-137551.0,-223259.0,-80051.0,-1.0,-81.0,-8444.0
1992,Sub Saharan,0,-25788.0,-68602.0,-33702.0,0.0,13527.0,0.0,0.0,19.0
1992,South Africa,0,2444.0,-100157.0,-460670.0,-110338.0,-169758.0,0.0,0.0,-1852.0
1993,Australia_Oceania,0,-1609231.0,-104025.0,-407612.0,-655970.0,-234439.0,-2916.0,8.0,-63192.0
1993,China,0,593832.0,-78183.0,-247022.0,35461.0,31587.0,21.0,4.0,192.0
1993,Japan,0,-102600.0,186959.0,160259.0,243858.0,36574.0,-97.0,89.0,8245.0
1993,South Korea,0,-134669.0,34888.0,14488.0,50883.0,4515.0,1.0,2.0,0.0
