,Australia_Oceania,China,Japan,South Korea,Rest of World,Southeast Asia,"Central, Western and South Asia",India,Canada,United States,Rest of America,Brazil,"EU, UK and EFTA",Eastern Europe,Russia,North Africa,Sub Saharan,South Africa
2017,13.46,0,13.6,18.14,0,0,0,0,0,3.94,0,0,6.24,0.01,0,0,0,0
2018,15.22,0,5.69,20.52,0,0,0,0,0,4.3,0,0,16.37,0.02,0,0,0,0
2019,17.53,0,5.85,23.46,0,3.69,0,0,0,4.94,6.24,0,24.51,0.37,0,0,0,0
2020,14.3,0,5.58,32.79,0,3.51,1.11,0,0,5.13,5.94,0,32.65,0.38,0,0,0,0
2021,25.76,0,4.87,15.89,0,3.71,1.18,0,8.69,8.69,5.54,0,50,0.36,0,0,0,0
2022,52.62,9.2,4.42,18.75,0,3.69,1.08,0,13.89,13.89,4.99,0,70,1.03,0,0,0,0
2023,53.65,10.04,4.51,19.11,0,4.02,1.18,0,14.16,14.16,5.09,0,80,1.12,0,0,0,0
2024,54.67,10.88,4.59,19.48,0,4.36,1.28,0,14.43,14.43,5.19,0,90,1.21,0,0,0,0
2025,55.7,11.71,4.68,19.84,0,4.69,1.38,0,14.7,14.7,5.29,0,100,1.31,0,0,0,0
2026,56.72,11.86,4.76,20.21,0,4.75,1.39,0,14.97,14.97,5.38,0,130,1.32,0,0,0,0
2027,57.74,12,4.85,20.57,0,4.81,1.41,0,15.24,15.24,5.48,0,160,1.34,0,0,0,0
2028,58.77,12.14,4.94,20.94,0,4.86,1.43,0,15.51,15.51,5.58,0,190,1.35,0,0,0,0
2029,59.79,12.29,5.02,21.3,0,4.92,1.44,0,15.78,15.78,5.67,0,220,1.37,0,0,0,0
2030,60.82,12.43,5.11,21.67,0,4.98,1.46,0,16.05,16.05,5.77,0,250,1.39,0,0,0,0
2031,66.9,15.03,5.62,23.84,0,6.02,1.77,0,17.66,17.66,6.35,0,260,1.68,0,0,0,0
2032,72.98,17.63,6.13,26,0,7.06,2.07,0,19.26,19.26,6.93,0,270,1.96,0,0,0,0
2033,79.06,20.23,6.64,28.17,0,8.1,2.38,0,20.87,20.87,7.5,0,280,2.25,0,0,0,0
2034,85.14,22.83,7.15,30.34,0,9.15,2.68,0,22.47,22.47,8.08,0,290,2.54,0,0,0,0
2035,91.23,25.43,7.66,32.5,0,10.19,2.99,0,24.08,24.08,8.66,0,300,2.83,0,0,0,0
