,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
1R,-0.0043792724609375,-152.9140625,-0.048828125,-0.279296875,0.004815340042114258,-326.3203125,4.40234375,-22.546875,-0.0128173828125,-1.67138671875,-21.02197265625,-1.665283203125,-0.094970703125,0.302734375,-0.014892578125,1.9368896484375,2.3896484375,-0.001323699951171875
2C,-0.859375,-3807.125,-605.03515625,-0.8671875,1.00628662109375,70.890625,607.34375,-100.8125,-0.22265625,-39.375,-158.203125,-216.96875,-58.90625,7.2734375,-0.63671875,55.63671875,735.234375,-0.091796875
3C,-0.048828125,-2.6015625,-308.99267578125,-0.133056640625,3.0224609375,4.1298828125,237.546875,-2.76025390625,-0.0673828125,-0.87109375,27.55078125,-1.09375,-244.84375,1.25634765625,-7.154296875,19.66015625,-29.087890625,-0.03955078125
4A,37.919921875,-3.34375,356.625,-77.53125,1.82470703125,328.8046875,160.390625,-7.578125,16.48046875,783.9296875,10.6484375,18.3984375,-1955.1875,-2944.009765625,-120.8984375,-20.517578125,211.4375,5.2998046875
5F,6.35546875,-87.5703125,-177.02880859375,310.53125,0.42879486083984375,153.1171875,82.873046875,0.234375,-48.9130859375,1068.00390625,81.47265625,-3.546875,-201.14453125,-2.7891845703125,16.41357421875,0.67822265625,268.87890625,23.396728515625
6C,299.37109375,6.09375,12.077812194824219,-0.7362213134765625,129.713134765625,148.94921875,133.70703125,0.125,0.0224609375,3325.2109375,165.48486328125,2.0707855224609375,-760.25,-72.272216796875,171.931640625,4.155208587646484,2.044189453125,127.146484375
7O,25.65869140625,-4.28125,21.39111328125,0.472747802734375,1.8551025390625,509.2109375,-16127.75,0.1025390625,564.296875,15503.71875,553.125,252.9453125,379.625,6.1810302734375,1805.171875,4642.79296875,1350.140625,0.09310531616210938
8G,277.56640625,2.53857421875,52.146728515625,0.56195068359375,0.03148841857910156,404.19921875,78.421875,0.0107421875,380.330078125,10681.0625,122.642578125,58.0498046875,548.16015625,1.52392578125,933.515625,6646.32421875,42.5498046875,8.2659912109375
9M,889.9296875,115.875,650.4384765625,17.07568359375,151.5810546875,547.6015625,95.6796875,0.234375,285.234375,7301.71875,408.9765625,422.15234375,-479.2265625,26.9736328125,378.73046875,70.1259765625,177.3984375,372.76953125
10,2507.28125,4232.0,63678.25,3607.875,93.08203125,12234.0,4584.5,48.25,1597.8125,127290.0,17862.875,8844.5625,26503.0,403.171875,934.1875,874.0625,-1.09375,630.859375
11,56.193359375,533.125,25922.609375,243.984375,1.17266845703125,-1232.75,761.09375,5.078125,77.98828125,2596.21875,182.6640625,272.80078125,406.0,129.970703125,505.4921875,472.49609375,69.564453125,36.708984375
12,923.25390625,271.5,9139.453125,1.46875,28.484130859375,1001.2109375,-2280.875,16.0625,2147.70703125,49277.0,-3085.609375,669.15625,4732.46875,85.66015625,2289.984375,356.265625,-419.337890625,1227.46484375
13,473.255859375,96.04296875,2180.5546875,0.029296875,9.4852294921875,238.265625,168.609375,0.796875,120.337890625,271.5,311.75390625,668.9921875,2325.1875,4.96728515625,198.21875,86.82421875,41.9365234375,-15.697265625
14,44335.75,9621.0,156718.0,12450.375,383.125,28210.75,16468.75,30.75,57486.125,967118.0,37932.0,11233.375,187442.0,765.46875,11217.0,4841.03125,5479.5625,4489.84375
15,1739.5859375,46.625,12398.0625,93.5234375,27.5068359375,1035.84375,265.71875,2.46875,-1867.90625,35986.4375,1108.84375,623.4375,5368.625,172.615234375,1049.265625,270.83984375,812.890625,261.03515625
