,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Oce,0.0,64065.2734375,29444.982421875,-1364.420654296875,-80.53353881835938,-15056.0732421875,5691.44384765625,10812.0791015625,-829.2272338867188,-22511.494140625,-3229.7353515625,1229.333984375,-41320.3984375,27.00191879272461,189.4972381591797,727.6527099609375,1199.357421875,-132.93272399902344
Chi,-64065.2734375,0.0,-54955.34765625,-119757.6796875,-5053.6513671875,48837.1015625,42962.36328125,55261.9375,10073.8896484375,310754.40625,33261.05078125,-29774.33984375,35534.7734375,3702.89208984375,-120.8989486694336,18358.234375,19328.201171875,-12761.5654296875
Jap,-29444.982421875,54955.34765625,0.0,31197.12890625,369.7489013671875,-9428.794921875,-44318.30859375,2242.9619140625,-1721.9781494140625,32740.94140625,1221.6219482421875,-3607.2021484375,-21473.748046875,-554.839599609375,-6011.275390625,439.6893615722656,2037.76904296875,-2446.801025390625
SKo,1364.420654296875,119757.6796875,-31197.12890625,0.0,62.900943756103516,43966.3359375,-30638.5859375,10340.2890625,950.4610595703125,11035.931640625,7642.98046875,2175.09814453125,-686.9646606445312,-333.9582214355469,-5347.2431640625,1834.693115234375,3469.506103515625,-1244.2818603515625
ROW,80.53353881835938,5053.6513671875,-369.7489013671875,-62.900943756103516,0.0,768.66455078125,83.1965560913086,-204.3112030029297,-1.1573303937911987,-458.0590515136719,153.8208465576172,121.9086685180664,805.923095703125,-10.958045959472656,-1020.1424560546875,-8.321113586425781,205.4973907470703,27.345041275024414
SEA,15056.0732421875,-48837.1015625,9428.794921875,-43966.3359375,-768.66455078125,0.0,-11929.548828125,15891.22265625,3297.359130859375,47292.6015625,5239.802734375,-2211.663818359375,39625.39453125,-997.7265625,873.2003784179688,2271.453857421875,1912.9952392578125,2884.66015625
CWS,-5691.44384765625,-42962.36328125,44318.30859375,30638.5859375,-83.1965560913086,11929.548828125,0.0,23553.314453125,-1088.83740234375,12957.123046875,-7795.40185546875,-10508.302734375,-39596.19921875,-3362.194091796875,-27401.75390625,3661.431396484375,1289.360107421875,286.3030700683594
Ind,-10812.0791015625,-55261.9375,-2242.9619140625,-10340.2890625,204.3112030029297,-15891.22265625,-23553.314453125,0.0,-1388.5687255859375,32088.142578125,-6089.2666015625,-1335.0018310546875,-1027.2518310546875,-1800.763671875,-2989.652099609375,982.6461791992188,-6225.7314453125,-2794.08349609375
Can,829.2272338867188,-10073.8896484375,1721.9781494140625,-950.4610595703125,1.1573303937911987,-3297.359130859375,1088.83740234375,1388.5687255859375,0.0,3980.06982421875,-10774.056640625,-1314.3206787109375,-15488.50390625,160.3468017578125,-322.7412109375,-166.145263671875,687.2835693359375,-434.8420104980469
US,22511.494140625,-310754.40625,-32740.94140625,-11035.931640625,458.0590515136719,-47292.6015625,-12957.123046875,-32088.142578125,-3980.06982421875,0.0,-53279.546875,16960.673828125,-142103.484375,940.2386474609375,-12965.859375,376.4071960449219,1932.7265625,-2427.935302734375
RAM,3229.7353515625,-33261.05078125,-1221.6219482421875,-7642.98046875,-153.8208465576172,-5239.802734375,7795.40185546875,6089.2666015625,10774.056640625,53279.546875,0.0,-17580.845703125,2053.495849609375,303.2314758300781,996.5296020507812,3555.347412109375,1687.05859375,540.3279418945312
Bra,-1229.333984375,29774.33984375,3607.2021484375,-2175.09814453125,-121.9086685180664,2211.663818359375,10508.302734375,1335.0018310546875,1314.3206787109375,-16960.673828125,17580.845703125,0.0,-16807.150390625,-383.1890869140625,-259.9244079589844,1939.8995361328125,2133.5703125,1242.3720703125
EUP,41320.3984375,-35534.7734375,21473.748046875,686.9646606445312,-805.923095703125,-39625.39453125,39596.19921875,1027.2518310546875,15488.50390625,142103.484375,-2053.495849609375,16807.150390625,0.0,18099.119140625,-48078.8203125,-6188.43896484375,5588.216796875,3179.873779296875
EEu,-27.00191879272461,-3702.89208984375,554.839599609375,333.9582214355469,10.958045959472656,997.7265625,3362.194091796875,1800.763671875,-160.3468017578125,-940.2386474609375,-303.2314758300781,383.1890869140625,-18099.119140625,0.0,-10952.810546875,3576.1982421875,667.4356689453125,-10.627217292785645
Rus,-189.4972381591797,120.8989486694336,6011.275390625,5347.2431640625,1020.1424560546875,-873.2003784179688,27401.75390625,2989.652099609375,322.7412109375,12965.859375,-996.5296020507812,259.9244079589844,48078.8203125,10952.810546875,0.0,6214.88330078125,2521.665283203125,-191.86854553222656
NAF,-727.6527099609375,-18358.234375,-439.6893615722656,-1834.693115234375,8.321113586425781,-2271.453857421875,-3661.431396484375,-982.6461791992188,166.145263671875,-376.4071960449219,-3555.347412109375,-1939.8995361328125,6188.43896484375,-3576.1982421875,-6214.88330078125,0.0,2993.612060546875,-60.3010368347168
SSA,-1199.357421875,-19328.201171875,-2037.76904296875,-3469.506103515625,-205.4973907470703,-1912.9952392578125,-1289.360107421875,6225.7314453125,-687.2835693359375,-1932.7265625,-1687.05859375,-2133.5703125,-5588.216796875,-667.4356689453125,-2521.665283203125,-2993.612060546875,0.0,-13766.951171875
SAf,132.93272399902344,12761.5654296875,2446.801025390625,1244.2818603515625,-27.345041275024414,-2884.66015625,-286.3030700683594,2794.08349609375,434.8420104980469,2427.935302734375,-540.3279418945312,-1242.3720703125,-3179.873779296875,10.627217292785645,191.86854553222656,60.3010368347168,13766.951171875,0.0
