,Oceania,Oceania,Oceania,China,China,China,Japan,Japan,Japan,SKorea,SKorea,SKorea,ROW,ROW,ROW,SEA,SEA,SEA,CWS,CWS,CWS,India,India,India,Canada,Canada,Canada,US,US,US,RAM,RAM,RAM,Brazil,Brazil,Brazil,EUPlus,EUPlus,EUPlus,EEuro,EEuro,EEuro,Russia,Russia,Russia,NAF,NAF,NAF,SSAF,SSAF,SSAF,SAfrica,SAfrica,SAfrica
,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV
1R,0.030608654022216797,0.0,0.0,-2552.7109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006404370069503784,0.0,0.0,0.7562255859375,2.682209014892578e-06,-0.06700897216796875,2.01507568359375,0.0016431808471679688,0.025609970092773438,-186.7548828125,0.0,0.0,0.040457844734191895,0.0,0.0,0.042484283447265625,0.0,0.0,0.8217620849609375,0.03978259861469269,0.0,-1.922677993774414,0.0,0.0,6.588167190551758,0.003702804446220398,-0.0442357063293457,0.23073911666870117,-0.0005270466208457947,0.0,-0.013827085494995117,0.2952909469604492,0.0,0.05930328369140625,0.0010027885437011719,0.0,0.69970703125,5.8613717555999756e-05,0.0,0.0,0.0,0.0
2C,132.1962890625,0.0,0.0,-17179.921875,0.0,0.0,0.0,0.0,0.0,0.31103515625,0.0,0.0,1.9913558959960938,4.76837158203125e-06,0.0,140.015625,0.1765594482421875,11.62744140625,-252.2734375,4.5709228515625,-88.10595703125,-468.453125,0.0,0.0,82.945556640625,0.0,0.0,-59.375,0.0,0.0,325.453125,2.0239791870117188,23.594970703125,372.7734375,0.0,23.699615478515625,5209.140625,20.3743896484375,-124.79541015625,435.05029296875,1.3366050720214844,9.7821044921875,355.6767578125,6.27099609375,34.296875,143.904296875,2.4746551513671875,7.59014892578125,502.078125,0.005878448486328125,1.7809600830078125,87.7530517578125,0.0,0.16129493713378906
3C,0.5694198608398438,0.004787445068359375,2.50030517578125,-44.4716796875,0.0,3.1064453125,0.0,0.0,0.0,0.0078277587890625,0.0,0.0,10.68707275390625,2.2202730178833008e-06,9.7659912109375,7.2255859375,0.002666950225830078,-6.961181640625,18.173828125,0.8944854736328125,-31.0440673828125,-5.645263671875,0.0,0.49040985107421875,20.322418212890625,0.0,0.0,4.3970947265625,0.0,0.0,45.83447265625,0.7244300842285156,34.8834228515625,72.01837158203125,0.0,356.8681640625,438.67578125,12.501724243164062,-13.88946533203125,45.75323486328125,0.5250167846679688,1.8204689025878906,51.39350128173828,0.8188018798828125,0.0,49.357421875,1.0245895385742188,2.718170166015625,252.421875,0.00041961669921875,9.54443359375,42.11767578125,0.0,2.386260986328125
4A,21.537353515625,0.0,4.627288818359375,330.40625,0.0,23.162109375,0.0,0.0,0.0,0.7607421875,0.0,0.002288818359375,2.29010009765625,0.0,2.028533935546875,292.0625,0.03038787841796875,-20.498779296875,135.16796875,0.6537017822265625,-26.92138671875,-721.390625,0.0,1.42218017578125,33.994873046875,0.0,0.0,11.8046875,0.0,0.0,267.755859375,3.841266632080078,31.719482421875,557.9189453125,0.0,57.3763427734375,3174.390625,12.45123291015625,-41.6185302734375,193.850341796875,0.29782867431640625,4.0270843505859375,21.4033203125,8.703643798828125,2.613067626953125,16.2822265625,1.536590576171875,0.955810546875,1309.8671875,0.11822128295898438,7.8585205078125,53.35028076171875,0.0,1.6382598876953125
5F,9.971473693847656,0.0,0.0,-48.8624267578125,0.0,0.0,0.0,0.0,0.0,8.339691162109375,0.0,4.9451141357421875,0.03988456726074219,0.0,7.450580596923828e-06,12.11737060546875,0.0,0.0,104.12353515625,0.11199951171875,0.16998291015625,427.798828125,0.0,0.0,46.48712158203125,0.0,0.0,-7.70538330078125,0.0,0.0,9.91748046875,3.2625274658203125,5.803466796875,51.2933349609375,0.0,20.43023681640625,605.42138671875,39.96142578125,-13.0399169921875,24.220672607421875,0.11993789672851562,2.238037109375,3.873931884765625,0.9198150634765625,1.687652587890625,10.42376708984375,0.21764564514160156,0.39642333984375,97.5,0.00439453125,0.400634765625,14.649185180664062,0.0,0.0
6C,0.002723217010498047,0.0,0.0,1486.77001953125,0.0,0.0,0.0,0.0,0.0,-0.24483871459960938,0.0,0.0,1.3190536499023438,0.0,0.0,-8.436904907226562,0.0,0.0,-183.39923095703125,0.0,0.0,1.197235107421875,0.0,0.0,0.014278650283813477,0.0,0.0,2.979246139526367,0.0,0.0,0.1579427719116211,0.0,0.0,0.0,0.0,0.0,654.8946533203125,0.0,0.0,24.905906677246094,0.0,0.0,0.7674407958984375,0.0,0.0,-0.016462087631225586,0.0,0.0,0.39858341217041016,0.0,0.0,46.71246337890625,0.0,0.0
7O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49559704773128e-05,0.0,0.0,-6.854534149169922e-07,0.0,0.0,0.19302606582641602,0.0,0.0,0.0,0.0,0.0,0.7004084587097168,0.0,0.0,0.0,0.0,0.0,0.05148345232009888,0.0,0.0,0.0,0.0,0.0,0.07420262694358826,0.0,0.0,0.1002621054649353,0.0,0.0,0.0,0.0,0.0,0.008980154991149902,0.0,0.0,0.27618491649627686,0.0,0.0,0.0,0.0,0.0
8G,172.73175048828125,0.0,0.0,123.584228515625,0.0,0.0,159.80712890625,0.0,0.0,7.976806640625,0.0,0.0,-0.010809004306793213,0.0,0.0,1.7461891174316406,0.0,0.0,-6930.85302734375,0.0,0.0,-16.322662353515625,0.0,0.0,184.934814453125,0.0,0.0,360.1982421875,0.0,0.0,345.823974609375,0.0,0.0,29.050094604492188,0.0,0.0,7616.8916015625,0.0,0.0,33.10174560546875,0.0,0.0,-1516.373046875,0.0,0.0,-302.4130859375,0.0,0.0,0.25150299072265625,0.0,0.0,0.003624044358730316,0.0,0.0
9M,0.5741195678710938,0.0,0.0,1.52587890625e-05,0.0,0.0,0.0,0.0,0.0,0.7243003845214844,0.0,0.0,0.7619590759277344,0.006911277770996094,0.10784912109375,0.17242431640625,0.0,2.38726806640625,215.0372314453125,9.1552734375e-05,6.99261474609375,0.0,0.0,0.0,11.095775604248047,0.0,2.2147216796875,27.295074462890625,0.0,-20143.9453125,4.7094268798828125,0.02299100160598755,22.1119384765625,27.503173828125,0.0,0.0,430.404541015625,1.0096969604492188,13.7275390625,14.9349365234375,2.0930213928222656,-4.76837158203125e-07,0.485504150390625,0.0,29.3427734375,-6.389335632324219,0.1952221393585205,0.8247814178466797,9.313232421875,7.62939453125e-06,0.3043212890625,3.4781455993652344,0.0,0.0
