,Oceania,Oceania,Oceania,China,China,China,Japan,Japan,Japan,SKorea,SKorea,SKorea,ROW,ROW,ROW,SEA,SEA,SEA,CWS,CWS,CWS,India,India,India,Canada,Canada,Canada,US,US,US,RAM,RAM,RAM,Brazil,Brazil,Brazil,EUPlus,EUPlus,EUPlus,EEuro,EEuro,EEuro,Russia,Russia,Russia,NAF,NAF,NAF,SSAF,SSAF,SSAF,SAfrica,SAfrica,SAfrica
,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV,PRIV,GOVT,SAVINV
1R,0.0,0.0,0.0,0.07466733455657959,0.0,0.0,0.00032794056460261345,0.0,0.0,0.0,0.0,0.0,0.010808546096086502,0.0,0.0,0.039269447326660156,0.0,0.0,0.2443695068359375,1.0928139090538025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7054290771484375,1.2754113413393497e-05,0.0,0.0,0.0,0.0,0.0010042190551757812,1.2418386177159846e-05,0.0,0.0005048736929893494,0.00019730115309357643,0.0,0.000491785816848278,0.0,0.0,0.26536035537719727,3.073364496231079e-08,0.0,0.18419361114501953,3.101886250078678e-07,0.0,0.00045545725151896477,0.0,0.0
2C,93.227783203125,0.0,0.0,4183.595703125,0.0,0.0,242.28271484375,0.0,6.378532409667969,278.8193359375,0.0,0.0,27.892364501953125,0.0,0.0,193.5478515625,0.0,2.4635009765625,117.689453125,0.272308349609375,-1.990478515625,0.0,0.0,0.0,80.822021484375,0.0,0.0,-43.54296875,0.0,0.0,188.033203125,0.018850326538085938,3.5955810546875,45.033447265625,0.0,0.0,6124.4140625,0.1907806396484375,40.2139892578125,102.493896484375,0.02440047264099121,0.3333587646484375,3.17822265625,0.0,1.3742733001708984,0.0,0.015148162841796875,0.002166748046875,173.12158203125,0.00018137693405151367,0.47304725646972656,9.41986083984375,0.0,0.024304628372192383
3C,0.0009002685546875,0.00017467141151428223,0.0,29.695907592773438,0.0,6.4307708740234375,0.0,0.0,0.0,0.668510913848877,0.0,0.15094280242919922,0.01146697998046875,5.820766091346741e-10,0.02026139199733734,1.69879150390625,0.0,1.74481201171875,56.436279296875,0.12414360046386719,-0.775787353515625,2.384185791015625e-07,0.0,1.4901161193847656e-08,0.4137868881225586,0.0,0.0,0.06423759460449219,0.0,0.0,0.2869396209716797,2.434849739074707e-05,0.8675918579101562,0.0,0.0,0.3429691791534424,28.34136962890625,0.004091143608093262,2.5412750244140625,1.8541107177734375,0.002390913665294647,0.1231532096862793,5.11079216003418,0.0,0.0,-6.103515625e-05,0.004618644714355469,9.5367431640625e-07,3.9838485717773438,7.677823305130005e-05,0.33521080017089844,4.8198394775390625,0.0,0.3773651123046875
4A,2.014190673828125,0.0,0.37009239196777344,549.07958984375,0.0,69.98739624023438,73.32666015625,0.0,0.4524059295654297,70.47015380859375,0.0,2.704071044921875,10.3843994140625,0.0,11.144706726074219,57.883544921875,0.0,3.0150146484375,55.7430419921875,0.005158424377441406,-0.150787353515625,0.0,0.0,0.0,32.23309326171875,0.0,0.0,6.25537109375,0.0,0.0,12.295013427734375,0.0004254579544067383,8.291259765625,8.02618408203125,0.0,0.0941777229309082,1023.9208984375,0.00963139533996582,3.362091064453125,16.55389404296875,0.0028625130653381348,0.09746170043945312,-0.2307281494140625,0.0,-0.001493990421295166,0.007171630859375,0.014336228370666504,2.956390380859375e-05,10.402191162109375,2.4094246327877045e-05,0.2403411865234375,1.436544418334961,0.0,0.020166397094726562
5F,0.22433650493621826,0.0,0.0,57.79866027832031,0.0,0.0,27.13140869140625,0.0,0.0,1.8882923126220703,0.0,0.1709737777709961,0.08994346857070923,0.0,-7.450580596923828e-09,0.6769790649414062,0.0,0.0,2.1330490112304688,0.01005244255065918,0.004078865051269531,3.0517578125e-05,0.0,0.0,0.602898120880127,0.0,0.0,-0.9014892578125,0.0,0.0,0.4259471893310547,1.7176964320242405e-05,0.07445740699768066,0.0,0.0,0.0,83.11749267578125,0.013150811195373535,0.6593952178955078,0.17360734939575195,0.0032506920397281647,0.004964470863342285,0.0,0.0,0.0,0.297760009765625,0.00821077823638916,-1.430511474609375e-06,0.420562744140625,9.129638783633709e-06,0.0005691945552825928,0.48892736434936523,0.0,0.0
6C,0.0005974173545837402,0.0,0.0,158.7340087890625,0.0,0.0,0.2052478790283203,0.0,0.0,-0.3622932434082031,0.0,0.0,0.0,0.0,0.0,-3.82720947265625,0.0,0.0,4.201860427856445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026241928339004517,0.0,0.0,0.002016127109527588,0.0,0.0,0.0,0.0,0.0,36.68165588378906,0.0,0.0,0.11365985870361328,0.0,0.0,0.0,0.0,0.0,0.005363523960113525,0.0,0.0,-0.05074727535247803,0.0,0.0,0.07048636674880981,0.0,0.0
7O,0.0,0.0,0.0,0.0,0.0,0.0,0.017888948321342468,0.0,0.0,0.0,0.0,0.0,4.833564162254333e-07,0.0,0.0,-3.5874545574188232e-06,0.0,0.0,0.646247386932373,0.0,0.0,0.0,0.0,0.0,0.15463298559188843,0.0,0.0,0.0,0.0,0.0,0.0019923001527786255,0.0,0.0,0.0,0.0,0.0,3.5351333618164062,0.0,0.0,0.1596531867980957,0.0,0.0,0.0,0.0,0.0,0.026656150817871094,0.0,0.0,0.3726673126220703,0.0,0.0,0.0,0.0,0.0
8G,5.121246337890625,0.0,0.0,0.0411376953125,0.0,0.0,791.171875,0.0,0.0,668.25439453125,0.0,0.0,0.0017647743225097656,0.0,0.0,0.043766021728515625,0.0,0.0,420.819580078125,0.0,0.0,-18.731414794921875,0.0,0.0,57.3060302734375,0.0,0.0,0.0,0.0,0.0,57.251495361328125,0.0,0.0,0.33136677742004395,0.0,0.0,16251.9296875,0.0,0.0,88.614501953125,0.0,0.0,-22.91948699951172,0.0,0.0,-3.6758041381835938,0.0,0.0,-0.09055805206298828,0.0,0.0,0.0,0.0,0.0
9M,2.7212486267089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1024599075317383,0.0,0.0,0.03637242317199707,0.00025369226932525635,0.0,0.0675811767578125,0.0,0.10901260375976562,29.85308837890625,0.00042724609375,3.4111785888671875,0.0,0.0,0.0,1.1766600608825684,0.0,0.0,3.985015869140625,0.0,-176.129638671875,0.7641868591308594,0.010455667972564697,3.25775146484375,0.0,0.0,0.0,110.39266967773438,1.1251444816589355,0.0,1.7931976318359375,4.76837158203125e-05,0.0,0.0,0.0,0.0,-0.07708740234375,0.003051936626434326,-0.05910301208496094,12.164764404296875,0.009525299072265625,1.7784919738769531,0.35193395614624023,0.0,0.0
10,14489.5,35.87939453125,1787.74609375,42890.921875,-0.1046142578125,58256.4375,18182.015625,23.55328369140625,6719.765625,7371.4765625,0.0,2094.921875,264.40625,2.2217941284179688,78.72900390625,11442.4375,22.158905029296875,6057.109375,15411.65625,-214.76171875,8687.46875,0.0,0.0,0.0,27307.78125,0.0,1154.21484375,15056.3125,0.0,17837.25,15269.125,21.332763671875,4917.015625,6060.8828125,0.0,3565.1796875,319835.125,8704.53125,35587.1875,4128.634765625,34.0560302734375,742.595703125,26.984375,0.002685546875,0.0,82.02734375,5.90716552734375,104.583984375,9169.1875,0.7652511596679688,3359.13671875,1581.310546875,0.0,103.982421875
11,2680.168212890625,0.0,0.0,-233.705078125,0.0,0.0,3799.0673828125,0.0,0.0,303.3392333984375,0.0,0.0,62.21368408203125,0.0,0.0,-1654.51611328125,0.0,0.0,4558.87890625,0.0,0.0,-380.14892578125,0.0,0.0,862.381103515625,0.0,0.0,6746.181640625,0.0,0.0,5301.5234375,0.0,0.0,594.5676879882812,0.0,0.0,32264.27734375,0.0,0.0,2791.01171875,0.0,0.0,0.0,0.0,0.0,-641.844970703125,0.0,0.0,182.9833984375,0.0,0.0,71.43365478515625,0.0,0.0
12,0.02182258665561676,0.0,0.0,-5.917999267578125,0.0,0.0,0.02422429621219635,0.0,0.0,0.03220967948436737,0.0,0.0,48.76935577392578,0.0,0.0,-3.83905029296875,0.0,0.0,-37.348876953125,0.0,0.0,-2.0867156982421875,0.0,0.0,28.786087036132812,0.0,0.0,30.4578857421875,0.0,0.0,-42.57080078125,0.0,0.0,18.39984130859375,0.0,0.0,4174.12451171875,0.0,0.0,422.73480224609375,0.0,0.0,-2.007476806640625,0.0,0.0,-3.6036376953125,0.0,0.0,-10.5146484375,0.0,0.0,-29.985076904296875,0.0,0.0
13,0.017892837524414062,0.0,0.0,-0.04040336608886719,0.05936312675476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012186728417873383,0.0010141730308532715,0.0002614995464682579,0.2107524871826172,0.001401066780090332,0.0,0.09660720825195312,0.048856258392333984,5.587935447692871e-09,0.0,0.0,0.0,0.008701980113983154,0.0,0.0,0.14028072357177734,0.0,0.0,0.021430492401123047,0.000516057014465332,0.0,0.01060187816619873,0.0,0.0,0.704960823059082,0.016910314559936523,0.0,0.07403922080993652,0.0020456798374652863,0.0,0.0,0.0,0.0,0.0048645734786987305,7.5660645961761475e-06,0.0,0.026038646697998047,0.0021233558654785156,0.0,0.0,0.0,0.0
14,888.708984375,42.490966796875,27.126708984375,13143.8984375,4710.7734375,2907.232421875,17.23828125,1.0869140625,0.0078125,0.125,0.0,0.45849609375,51.82373046875,2.5531005859375,4.98443603515625,858.52734375,26.5166015625,28.4013671875,941.09765625,224.34765625,226.25390625,-3.40625,0.0,0.00390625,2911.96875,0.0,80.932861328125,3171.421875,0.0,-11390.484375,2021.5234375,272.00341796875,246.1669921875,2341.798828125,0.0,0.0,10142.4375,2520.673828125,7127.71875,556.1748046875,8.8680419921875,98.644287109375,0.0,0.0,0.0,10.9384765625,51.435546875,-0.31396484375,335.984375,215.67236328125,16.35595703125,314.927734375,0.472564697265625,1.04937744140625
15,22.461669921875,2.0995349884033203,0.0,1198.447265625,172.89862060546875,146.4425048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.68475341796875,-0.1035761833190918,0.5777130126953125,292.2119140625,-0.007803440093994141,-0.1124114990234375,122.11328125,4.1690216064453125,3.000335693359375,0.0,0.0,0.0,501.0703125,0.0,0.0,1900.71484375,0.0,0.0,693.6787109375,-0.007839679718017578,0.5240459442138672,534.5322265625,0.0,0.0,2161.296875,6.4425811767578125,0.623046875,139.902099609375,0.28815269470214844,0.04407668113708496,0.0,0.0,0.0,2.723876953125,-0.20967721939086914,0.0008134841918945312,21.92822265625,0.00019359588623046875,-2.72821044921875,112.73486328125,0.0,0.0
