,,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Oceania,1R,0.0005977340042591095,-0.008430764079093933,-1.9717845134437084e-09,0.0,7.257767720147967e-09,5.7220458984375e-06,0.00021533668041229248,-0.0011978596448898315,0.0,5.973706720396876e-07,7.779744919389486e-07,0.0,-0.010638594627380371,1.641383278183639e-07,-5.677065928466618e-09,-3.958120942115784e-09,2.381950616836548e-05,0.0
Oceania,2C,0.10308837890625,-1.0560760498046875,0.0,-0.7813892364501953,3.948807716369629e-07,0.0042724609375,-0.00899505615234375,0.1870269775390625,0.0,0.08587646484375,0.04730224609375,0.0806121826171875,0.0072784423828125,0.002217888832092285,0.0011974126100540161,-0.0059909820556640625,0.002044677734375,0.0
Oceania,3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003040313720703125,0.0,0.0,-3.078579902648926e-05,0.0,0.0
Oceania,4A,0.0,0.05980682373046875,-1.9073486328125e-06,-0.005618572235107422,9.793788194656372e-05,-0.001316070556640625,0.03870534896850586,-0.0017559528350830078,0.0,0.023514747619628906,-0.0012311935424804688,0.0005550384521484375,0.0022068023681640625,3.489851951599121e-05,0.0006727036088705063,-2.256035804748535e-05,0.11611342430114746,0.0
Oceania,5F,0.0022568702697753906,-0.06360435485839844,0.0,0.0,4.64986078441143e-06,0.016289234161376953,0.013046860694885254,0.08297109603881836,0.0,-0.0292818546295166,-0.0010405182838439941,0.00014067254960536957,-0.06144237518310547,-4.017725586891174e-05,4.808930680155754e-05,4.512723535299301e-05,0.1059490442276001,0.0
Oceania,6C,0.0001983642578125,0.01901593804359436,0.0,0.0,0.0014733970165252686,0.0003344416618347168,0.003382749855518341,8.95641278475523e-07,0.0,0.1788364052772522,2.872943878173828e-05,0.0,-1.0810792446136475e-05,0.0023960359394550323,0.0007673501968383789,1.674005761742592e-05,4.351139068603516e-06,0.0
Oceania,7O,0.808746337890625,0.08023002743721008,0.0,0.0,0.0008863285183906555,44.8018798828125,3.142578125,0.0,2.384185791015625e-07,2.156534194946289,0.004232048988342285,0.0007395148277282715,0.0007948875427246094,0.001019604504108429,0.045166015625,2.022369384765625,-0.00091552734375,0.0
Oceania,8G,0.0,0.0024614334106445312,0.0,0.0,2.1973391994833946e-09,0.00193023681640625,0.065277099609375,0.0,0.0,0.0186614990234375,6.16312026977539e-05,1.1990778148174286e-08,0.000244140625,1.028762198984623e-05,1.9073486328125e-06,0.023234844207763672,8.821487426757812e-06,0.0
Oceania,9M,0.0359039306640625,7.408771514892578,0.0,-4.76837158203125e-07,0.0002974998205900192,0.0808563232421875,0.22385406494140625,0.21322250366210938,0.0,-14.670455932617188,0.0054931640625,0.5911998748779297,-0.02552032470703125,0.002917170524597168,2.7047470211982727e-05,7.62939453125e-06,0.13448715209960938,0.0
Oceania,10,37.154296875,1105.7109375,0.0,-0.09375,0.3625965118408203,588.5078125,12.21337890625,142.9423828125,-0.064208984375,1007.947265625,3.366943359375,18.6412353515625,41.66015625,1.082855224609375,0.4847259521484375,1.4024658203125,1.7700958251953125,6.103515625e-05
Oceania,11,2.048095703125,365.295166015625,0.0,0.0,1.210719347000122e-08,5.479248046875,0.272003173828125,287.0994873046875,0.0,6.27886962890625,1.2847137451171875,3.4437942504882812,14.216598510742188,0.07409703731536865,0.028192520141601562,-9.5367431640625e-07,0.015328407287597656,0.0
Oceania,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,1R,4.307948984205723e-06,-0.09863018989562988,-1.2293457984924316e-07,0.0,5.896436050534248e-07,-9.5367431640625e-06,6.097368896007538e-05,-0.006117522716522217,0.0,5.06232026964426e-06,1.3663433492183685e-05,0.0,-2.5301706045866013e-06,6.45010732114315e-06,-0.0004456639289855957,4.3958425521850586e-07,0.0003393888473510742,0.0
China,2C,0.0146484375,-1.55712890625,0.0,-7.077362060546875,0.697845458984375,0.0341796875,0.00677490234375,1.2469482421875,0.0,194.880859375,3.47314453125,616.380859375,0.38458251953125,0.03265380859375,0.33538818359375,-0.00997161865234375,8.2618408203125,0.0
China,3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055698394775390625,0.0,0.0,-0.00066375732421875,0.0,0.0
China,4A,0.0,0.64141845703125,-1.52587890625e-05,-0.691314697265625,0.961090087890625,-0.46533203125,0.312744140625,-0.062061309814453125,0.0,2.2890625,1.941650390625,0.007199287414550781,-0.265869140625,-0.06217193603515625,0.020782470703125,-0.0038299560546875,0.9434432983398438,0.0
China,5F,6.8759765625,-0.14631080627441406,0.0,0.0,0.021821975708007812,0.31671142578125,0.08007383346557617,1.2395706176757812,0.0,-10.62255859375,0.015838623046875,0.5539169311523438,-1.493438720703125,0.3455619812011719,14.814697265625,0.002466440200805664,50.7318115234375,0.0
China,6C,0.03515625,19.131301879882812,0.0,0.0,60.124755859375,0.2685546875,1.6790733337402344,0.00029164552688598633,0.0,135.2501220703125,0.00341033935546875,0.0,-0.0012388229370117188,0.17358636856079102,7.190185546875,0.0006873905658721924,0.000438690185546875,0.0
China,7O,0.000762939453125,0.003883570432662964,0.0,0.0,3.44744873046875,59.18896484375,135.0625,0.0,3.0517578125e-05,204.458740234375,11.990234375,10.12744140625,10.037353515625,0.0016418695449829102,2.849609375,13.94140625,8.240234375,0.0
