grid,scenario,year,stage,status,residual,seconds,requested_tolerance,run_id
fiveyear_2050,A,2017,unshocked_core,Solved,6.92959023496087e-11,1.176999807357788,1e-08,A
fiveyear_2050,A,2017,calibrate_0.25,Solved,8.003553375601767e-11,1.2400000095367432,1e-08,A
fiveyear_2050,A,2017,calibrate_0.5,Solved,6.912159733474255e-11,1.1430001258850098,1e-08,A
fiveyear_2050,A,2017,calibrate_0.75,Solved,7.275957614183426e-11,1.2039999961853027,1e-08,A
fiveyear_2050,A,2017,calibrate_1.0,Solved,9.458744898438454e-11,1.379000186920166,1e-08,A
fiveyear_2050,A,2017,baseline_fixed_parameter_replay,Solved,1.091393642127514e-11,0.7850000858306885,1e-08,A
fiveyear_2050,A,2020,calibrate_0.25,Solved,1.200533006340265e-10,1.437000036239624,1e-08,A
fiveyear_2050,A,2020,calibrate_0.5,Solved,1.119506709557072e-10,1.4500000476837158,1e-08,A
fiveyear_2050,A,2020,calibrate_0.75,Solved,1.482932862687594e-10,1.5339999198913574,1e-08,A
fiveyear_2050,A,2020,calibrate_1.0,Solved,1.2369127944111824e-10,1.569999933242798,1e-08,A
fiveyear_2050,A,2020,baseline_fixed_parameter_replay,Solved,1.091393642127514e-11,0.6340000629425049,1e-08,A
fiveyear_2050,A,2025,calibrate_0.25,Solved,8.36735125631094e-11,2.0160000324249268,1e-08,A
fiveyear_2050,A,2025,calibrate_0.5,Solved,3.2812863537401427e-09,1.6430001258850098,1e-08,A
fiveyear_2050,A,2025,calibrate_0.75,Solved,1.3460521586239338e-10,1.690000057220459,1e-08,A
fiveyear_2050,A,2025,calibrate_1.0,Solved,1.0948042472591624e-10,1.7339999675750732,1e-08,A
fiveyear_2050,A,2025,baseline_fixed_parameter_replay,Solved,1.091393642127514e-11,0.619999885559082,1e-08,A
fiveyear_2050,A,2030,calibrate_0.25,Solved,5.397262246812115e-10,1.8430001735687256,1e-08,A
fiveyear_2050,A,2030,calibrate_0.5,Solved,1.5711965062337183e-10,1.930999994277954,1e-08,A
fiveyear_2050,A,2030,calibrate_0.75,Solved,2.1121681248611527e-10,1.6770000457763672,1e-08,A
fiveyear_2050,A,2030,calibrate_1.0,Solved,1.6644293928183932e-10,1.7649998664855957,1e-08,A
fiveyear_2050,A,2030,baseline_fixed_parameter_replay,Solved,1.4551915228366852e-11,0.7249999046325684,1e-08,A
fiveyear_2050,A,2035,calibrate_0.25,Solved,5.166897645782126e-10,1.9659998416900637,1e-08,A
fiveyear_2050,A,2035,calibrate_0.5,Solved,3.346940502524376e-10,1.9230000972747805,1e-08,A
fiveyear_2050,A,2035,calibrate_0.75,Solved,1.2369127944111824e-10,1.7660000324249268,1e-08,A
fiveyear_2050,A,2035,calibrate_1.0,Solved,6.113332062795962e-09,1.8430001735687256,1e-08,A
fiveyear_2050,A,2035,baseline_fixed_parameter_replay,Solved,6.113332062795962e-09,0.1289999485015869,1e-08,A
fiveyear_2050,A,2040,calibrate_0.25,Solved,5.68005020795681e-09,1.829999923706055,1e-08,A
fiveyear_2050,A,2040,calibrate_0.5,Solved,1.2822667372347494e-09,1.810999870300293,1e-08,A
fiveyear_2050,A,2040,calibrate_0.75,Solved,3.0933371419905598e-09,1.7879998683929443,1e-08,A
fiveyear_2050,A,2040,calibrate_1.0,Solved,1.6975150174403095e-09,2.2100000381469727,1e-08,A
fiveyear_2050,A,2040,baseline_fixed_parameter_replay,Solved,1.6975150174403095e-09,0.1310000419616699,1e-08,A
fiveyear_2050,A,2045,calibrate_0.25,Solved,2.9459386041708054e-09,6.5950000286102295,1e-08,A
fiveyear_2050,A,2045,calibrate_0.5,Solved,1.0919691817434796e-09,1.6340000629425049,1e-08,A
fiveyear_2050,A,2045,calibrate_0.75,Solved,2.473825588822365e-10,1.9449999332427976,1e-08,A
fiveyear_2050,A,2045,calibrate_1.0,Solved,1.9367689674254507e-09,1.950999975204468,1e-08,A
fiveyear_2050,A,2045,baseline_fixed_parameter_replay,Solved,1.9367689674254507e-09,0.121000051498413,1e-08,A
