panel,year,scenario,region,metric,value_pct,color_min,color_center,color_max
b,2050,S1_NO_CN,Australia_Oceania,CO2_pct,3.8202793112056543,-36.0,0,4.0
b,2050,S1_NO_CN,China,CO2_pct,-0.20332210931036654,-36.0,0,4.0
b,2050,S1_NO_CN,Japan,CO2_pct,0.6273820758541326,-36.0,0,4.0
b,2050,S1_NO_CN,South Korea,CO2_pct,2.666613185603861,-36.0,0,4.0
b,2050,S1_NO_CN,Rest of World,CO2_pct,-0.40016653214451914,-36.0,0,4.0
b,2050,S1_NO_CN,Southeast Asia,CO2_pct,-0.4473501078430475,-36.0,0,4.0
b,2050,S1_NO_CN,"Central, Western and South Asia",CO2_pct,-0.1591989584431408,-36.0,0,4.0
b,2050,S1_NO_CN,India,CO2_pct,0.041966898994472146,-36.0,0,4.0
b,2050,S1_NO_CN,Canada,CO2_pct,-0.01985323814264195,-36.0,0,4.0
b,2050,S1_NO_CN,United States,CO2_pct,0.32560126813687695,-36.0,0,4.0
b,2050,S1_NO_CN,Rest of America,CO2_pct,-0.4635018497479715,-36.0,0,4.0
b,2050,S1_NO_CN,Brazil,CO2_pct,2.904508720343113,-36.0,0,4.0
b,2050,S1_NO_CN,"EU, UK and EFTA",CO2_pct,3.3287854157108443,-36.0,0,4.0
b,2050,S1_NO_CN,Eastern Europe,CO2_pct,-0.5593807290000474,-36.0,0,4.0
b,2050,S1_NO_CN,Russia,CO2_pct,-0.09245333046855597,-36.0,0,4.0
b,2050,S1_NO_CN,North Africa,CO2_pct,-0.552411913869888,-36.0,0,4.0
b,2050,S1_NO_CN,Sub Saharan,CO2_pct,-0.557632095780447,-36.0,0,4.0
b,2050,S1_NO_CN,South Africa,CO2_pct,-0.4023987376924332,-36.0,0,4.0
c,2050,S2_CAPACITY,Australia_Oceania,CO2_pct,-10.22579421494747,-36.0,0,4.0
c,2050,S2_CAPACITY,China,CO2_pct,-28.566848136074942,-36.0,0,4.0
c,2050,S2_CAPACITY,Japan,CO2_pct,-9.216995171136123,-36.0,0,4.0
c,2050,S2_CAPACITY,South Korea,CO2_pct,-13.689701884002737,-36.0,0,4.0
c,2050,S2_CAPACITY,Rest of World,CO2_pct,-34.627572945009824,-36.0,0,4.0
c,2050,S2_CAPACITY,Southeast Asia,CO2_pct,-24.007271273385243,-36.0,0,4.0
c,2050,S2_CAPACITY,"Central, Western and South Asia",CO2_pct,-18.962472091955117,-36.0,0,4.0
c,2050,S2_CAPACITY,India,CO2_pct,-19.75358196562692,-36.0,0,4.0
c,2050,S2_CAPACITY,Canada,CO2_pct,-13.965299493375227,-36.0,0,4.0
c,2050,S2_CAPACITY,United States,CO2_pct,-11.809676908496346,-36.0,0,4.0
c,2050,S2_CAPACITY,Rest of America,CO2_pct,-12.659414782300116,-36.0,0,4.0
c,2050,S2_CAPACITY,Brazil,CO2_pct,-7.2035405260121195,-36.0,0,4.0
c,2050,S2_CAPACITY,"EU, UK and EFTA",CO2_pct,-1.7962447801077364,-36.0,0,4.0
c,2050,S2_CAPACITY,Eastern Europe,CO2_pct,-17.104297376559284,-36.0,0,4.0
c,2050,S2_CAPACITY,Russia,CO2_pct,-19.77438286726286,-36.0,0,4.0
c,2050,S2_CAPACITY,North Africa,CO2_pct,-22.39370240148617,-36.0,0,4.0
c,2050,S2_CAPACITY,Sub Saharan,CO2_pct,-17.141540946087986,-36.0,0,4.0
c,2050,S2_CAPACITY,South Africa,CO2_pct,-21.553581775291175,-36.0,0,4.0
