panel,year,scenario,region,metric,value_pct,color_min,color_center,color_max
a,2050,S1_NO_CN,Australia_Oceania,GDP_pct,-0.05754471897798652,-0.74,0,0.22
a,2050,S1_NO_CN,China,GDP_pct,-0.014803375259864193,-0.74,0,0.22
a,2050,S1_NO_CN,Japan,GDP_pct,-0.09928519920119339,-0.74,0,0.22
a,2050,S1_NO_CN,South Korea,GDP_pct,-0.24726644972012934,-0.74,0,0.22
a,2050,S1_NO_CN,Rest of World,GDP_pct,-0.0033457145538484667,-0.74,0,0.22
a,2050,S1_NO_CN,Southeast Asia,GDP_pct,-0.017189681885854124,-0.74,0,0.22
a,2050,S1_NO_CN,"Central, Western and South Asia",GDP_pct,0.07978526301646305,-0.74,0,0.22
a,2050,S1_NO_CN,India,GDP_pct,-0.015492673937889112,-0.74,0,0.22
a,2050,S1_NO_CN,Canada,GDP_pct,-0.02467077171375287,-0.74,0,0.22
a,2050,S1_NO_CN,United States,GDP_pct,-0.017546774829979572,-0.74,0,0.22
a,2050,S1_NO_CN,Rest of America,GDP_pct,-0.0011884711622167643,-0.74,0,0.22
a,2050,S1_NO_CN,Brazil,GDP_pct,-0.7033331387602981,-0.74,0,0.22
a,2050,S1_NO_CN,"EU, UK and EFTA",GDP_pct,-0.16278430375574748,-0.74,0,0.22
a,2050,S1_NO_CN,Eastern Europe,GDP_pct,-0.05605488946122117,-0.74,0,0.22
a,2050,S1_NO_CN,Russia,GDP_pct,0.20598660876745,-0.74,0,0.22
a,2050,S1_NO_CN,North Africa,GDP_pct,0.06903589888833661,-0.74,0,0.22
a,2050,S1_NO_CN,Sub Saharan,GDP_pct,0.0008048857952358546,-0.74,0,0.22
a,2050,S1_NO_CN,South Africa,GDP_pct,-0.0010303554182300445,-0.74,0,0.22
b,2050,S2_CAPACITY,Australia_Oceania,GDP_pct,-0.33289413940293944,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,China,GDP_pct,-1.0325308863392557,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Japan,GDP_pct,0.2477020838937749,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,South Korea,GDP_pct,-0.22995570610426785,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Rest of World,GDP_pct,-3.690247832380944,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Southeast Asia,GDP_pct,-0.8939892305818264,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,"Central, Western and South Asia",GDP_pct,-6.423794786673298,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,India,GDP_pct,-0.11035695039751658,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Canada,GDP_pct,0.1860116219482233,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,United States,GDP_pct,0.6383749027385477,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Rest of America,GDP_pct,0.17382032804917902,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Brazil,GDP_pct,-0.13562632279549014,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,"EU, UK and EFTA",GDP_pct,-0.08579832831420164,-6.800000000000001,0,2.2
b,2050,S2_CAPACITY,Eastern Europe,GDP_pct,2.0665432876574963,-6.800000000000001,0,2.2
