group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
GLOBAL,2025,S1_NO_CN,real_GDP,122380.89289105612,122313.22019292285,-67.67269813327584,-0.0552967841095246
GLOBAL,2025,S2_CAPACITY,real_GDP,122380.89289105612,121815.27987121043,-565.6130198456958,-0.4621742875738016
GLOBAL,2030,S1_NO_CN,real_GDP,138579.42611024046,138450.45514443002,-128.97096581044025,-0.09306645974117642
GLOBAL,2030,S2_CAPACITY,real_GDP,138579.42611024046,137817.9458953085,-761.4802149319439,-0.549490091210353
GLOBAL,2035,S1_NO_CN,real_GDP,156181.05307188997,156050.39893225057,-130.65413963940227,-0.08365556325149269
GLOBAL,2035,S2_CAPACITY,real_GDP,156181.05307188997,155194.4686826862,-986.584389203781,-0.6316927500480211
GLOBAL,2040,S1_NO_CN,real_GDP,173481.89770025396,173355.0417344607,-126.8559657932492,-0.07312345983927031
GLOBAL,2040,S2_CAPACITY,real_GDP,173481.89770025396,172306.68042544933,-1175.2172748046287,-0.6774293401120135
GLOBAL,2045,S1_NO_CN,real_GDP,190642.82696840283,190523.03049361316,-119.79647478967672,-0.06283817581530712
GLOBAL,2045,S2_CAPACITY,real_GDP,190642.82696840283,189293.1434450143,-1349.6835233885213,-0.7079644930004201
GLOBAL,2050,S1_NO_CN,real_GDP,207452.5819098337,207345.8005173443,-106.78139248941443,-0.05147267462586965
GLOBAL,2050,S2_CAPACITY,real_GDP,207452.5819098337,205990.66271071354,-1461.919199120166,-0.704700411853909
ROW_EX_CHINA,2025,S1_NO_CN,real_GDP,97894.9583024974,97829.29219331237,-65.66610918502556,-0.06707813182995181
ROW_EX_CHINA,2025,S2_CAPACITY,real_GDP,97894.9583024974,97561.33609606538,-333.62220643201726,-0.34079610657896997
ROW_EX_CHINA,2030,S1_NO_CN,real_GDP,109324.01384602458,109199.79090041031,-124.22294561426679,-0.11362823339913804
ROW_EX_CHINA,2030,S2_CAPACITY,real_GDP,109324.01384602458,108842.41765369737,-481.5961923272116,-0.4405218719882596
ROW_EX_CHINA,2035,S1_NO_CN,real_GDP,122798.57298168057,122674.1050533231,-124.46792835746601,-0.1013594257125728
