scenario,year,carrier,modeled_final_demand_Mtoe,baseline_Mtoe,difference_pct
S0_BASELINE,2017,Coal,738.2441273719245,738.2441273719245,0.0
S1_NO_CN,2017,Coal,737.3789261927426,738.2441273719245,-0.11719716379755551
S2_CAPACITY,2017,Coal,249.6468437418203,738.2441273719245,-66.1837006911876
S0_BASELINE,2017,Electricity,2310.3347250916963,2310.3347250916963,0.0
S1_NO_CN,2017,Electricity,2301.635588312517,2310.3347250916963,-0.37653144735700916
S2_CAPACITY,2017,Electricity,2070.410608617616,2310.3347250916963,-10.3848206005975
S0_BASELINE,2017,Gas,1610.6396169767054,1610.6396169767054,0.0
S1_NO_CN,2017,Gas,1610.4315057463805,1610.6396169767054,-0.012921030138046685
S2_CAPACITY,2017,Gas,1091.4840877512725,1610.6396169767054,-32.232879643177284
S0_BASELINE,2017,Oil fuels,4216.60562726374,4216.60562726374,0.0
S1_NO_CN,2017,Oil fuels,4216.34953758321,4216.60562726374,-0.006073360972480568
S2_CAPACITY,2017,Oil fuels,3830.2245730639947,4216.60562726374,-9.163319702024808
S0_BASELINE,2020,Coal,716.4112680985885,716.4112680985885,0.0
S1_NO_CN,2020,Coal,715.0483051882422,716.4112680985885,-0.19024867014776348
S2_CAPACITY,2020,Coal,270.70176862372426,716.4112680985885,-62.21419446092913
S0_BASELINE,2020,Electricity,2516.6097654616383,2516.6097654616383,0.0
S1_NO_CN,2020,Electricity,2500.723169222035,2516.6097654616383,-0.631269752570851
S2_CAPACITY,2020,Electricity,2259.7711454387186,2516.6097654616383,-10.205738829587908
S0_BASELINE,2020,Gas,1649.476148931505,1649.476148931505,0.0
S1_NO_CN,2020,Gas,1648.9405125842168,1649.476148931505,-0.03247311867073943
S2_CAPACITY,2020,Gas,1139.3026618927356,1649.476148931505,-30.92942491889008
S0_BASELINE,2020,Oil fuels,4639.238376560923,4639.238376560923,0.0
S1_NO_CN,2020,Oil fuels,4638.639746467946,4639.238376560923,-0.012903628664606703
S2_CAPACITY,2020,Oil fuels,4220.108837282231,4639.238376560923,-9.034447149693413
S0_BASELINE,2025,Coal,591.566665156381,591.566665156381,0.0
S1_NO_CN,2025,Coal,589.3426085832934,591.566665156381,-0.375960429159683
S2_CAPACITY,2025,Coal,296.78817912609264,591.566665156381,-49.83013807114427
S0_BASELINE,2025,Electricity,2126.5074052111486,2126.5074052111486,0.0
S1_NO_CN,2025,Electricity,2099.302412998313,2126.5074052111486,-1.2793274148102274
S2_CAPACITY,2025,Electricity,1883.9249961102596,2126.5074052111486,-11.407550639439323
S0_BASELINE,2025,Gas,1603.8821284983765,1603.8821284983765,0.0
S1_NO_CN,2025,Gas,1601.975864575089,1603.8821284983765,-0.11885311828196965
S2_CAPACITY,2025,Gas,1224.524168432796,1603.8821284983765,-23.652483765795917
S0_BASELINE,2025,Oil fuels,5317.401826845475,5317.401826845475,0.0
S1_NO_CN,2025,Oil fuels,5316.699975234373,5317.401826845475,-0.01319914563460145
S2_CAPACITY,2025,Oil fuels,4906.746220530195,5317.401826845475,-7.722862023367139
S0_BASELINE,2030,Coal,602.7274223821704,602.7274223821704,0.0
S1_NO_CN,2030,Coal,599.3558394711002,602.7274223821704,-0.5593876744058868
S2_CAPACITY,2030,Coal,322.34506782074067,602.7274223821704,-46.518931136942385
S0_BASELINE,2030,Electricity,2123.2287681485063,2123.2287681485063,0.0
S1_NO_CN,2030,Electricity,2080.019225346559,2123.2287681485063,-2.0350865366065563
S2_CAPACITY,2030,Electricity,1899.8891152411952,2123.2287681485063,-10.518869010147569
S0_BASELINE,2030,Gas,1678.2592994784663,1678.2592994784663,0.0
S1_NO_CN,2030,Gas,1676.1573685191438,1678.2592994784663,-0.1252447080123842
S2_CAPACITY,2030,Gas,1306.152276838356,1678.2592994784663,-22.17220084856647
S0_BASELINE,2030,Oil fuels,6154.870394975215,6154.870394975215,0.0
S1_NO_CN,2030,Oil fuels,6156.63701762523,6154.870394975215,0.02870284078535512
S2_CAPACITY,2030,Oil fuels,5668.852346772736,6154.870394975215,-7.896478999773249
S0_BASELINE,2035,Coal,509.0752449571688,509.0752449571688,0.0
S1_NO_CN,2035,Coal,506.5202533342467,509.0752449571688,-0.50188879703571
S2_CAPACITY,2035,Coal,293.7002082116842,509.0752449571688,-42.30711252981969
S0_BASELINE,2035,Electricity,2255.547073228885,2255.547073228885,0.0
S1_NO_CN,2035,Electricity,2209.736653762995,2255.547073228885,-2.031011456582499
S2_CAPACITY,2035,Electricity,2030.932944452605,2255.547073228885,-9.958299316481922
S0_BASELINE,2035,Gas,1671.0498204308544,1671.0498204308544,0.0
S1_NO_CN,2035,Gas,1668.9168198380094,1671.0498204308544,-0.12764434469674235
S2_CAPACITY,2035,Gas,1346.2334420682264,1671.0498204308544,-19.437863215764516
S0_BASELINE,2035,Oil fuels,7004.94195027883,7004.94195027883,0.0
S1_NO_CN,2035,Oil fuels,7007.960656754127,7004.94195027883,0.04309395419297424
S2_CAPACITY,2035,Oil fuels,6404.390708519171,7004.94195027883,-8.573250799540933
S0_BASELINE,2040,Coal,474.5160211532265,474.5160211532265,0.0
S1_NO_CN,2040,Coal,472.0953140373189,474.5160211532265,-0.5101423361901558
S2_CAPACITY,2040,Coal,281.2581346619776,474.5160211532265,-40.727368071065364
S0_BASELINE,2040,Electricity,2377.150796975625,2377.150796975625,0.0
S1_NO_CN,2040,Electricity,2329.0990878570924,2377.150796975625,-2.0213992810076298
S2_CAPACITY,2040,Electricity,2149.885896600971,2377.150796975625,-9.560390559311415
S0_BASELINE,2040,Gas,1723.65783981861,1723.65783981861,0.0
S1_NO_CN,2040,Gas,1720.4358495365536,1723.65783981861,-0.18692748686104377
S2_CAPACITY,2040,Gas,1416.2276501620397,1723.65783981861,-17.835917463115702
S0_BASELINE,2040,Oil fuels,7999.025009098337,7999.025009098337,0.0
S1_NO_CN,2040,Oil fuels,8002.184399759722,7999.025009098337,0.03949719694327225
S2_CAPACITY,2040,Oil fuels,7263.712908240653,7999.025009098337,-9.192521588835112
S0_BASELINE,2045,Coal,436.6983710634567,436.6983710634567,0.0
S1_NO_CN,2045,Coal,434.56909502120766,436.6983710634567,-0.48758506633853615
S2_CAPACITY,2045,Coal,259.23863085470884,436.6983710634567,-40.63668471595035
S0_BASELINE,2045,Electricity,2454.5592309133463,2454.5592309133463,0.0
S1_NO_CN,2045,Electricity,2404.7415474930485,2454.5592309133463,-2.029597933220806
S2_CAPACITY,2045,Electricity,2225.7277136272105,2454.5592309133463,-9.32271319445761
S0_BASELINE,2045,Gas,1768.1527616117835,1768.1527616117835,0.0
S1_NO_CN,2045,Gas,1763.806279867597,1768.1527616117835,-0.24582048783072796
S2_CAPACITY,2045,Gas,1473.98571211667,1768.1527616117835,-16.63697028230534
S0_BASELINE,2045,Oil fuels,9051.63231872804,9051.63231872804,0.0
S1_NO_CN,2045,Oil fuels,9055.743190317933,9051.63231872804,0.04541580396928424
S2_CAPACITY,2045,Oil fuels,8141.580692982516,9051.63231872804,-10.054005661085075
S0_BASELINE,2050,Coal,393.2647946548367,393.2647946548367,0.0
S1_NO_CN,2050,Coal,391.6243422647476,393.2647946548367,-0.4171368534345632
S2_CAPACITY,2050,Coal,228.85648041111185,393.2647946548367,-41.80600869397014
S0_BASELINE,2050,Electricity,2478.031642043082,2478.031642043082,0.0
S1_NO_CN,2050,Electricity,2427.322689066182,2478.031642043082,-2.0463400110214525
S2_CAPACITY,2050,Electricity,2245.427324128298,2478.031642043082,-9.386656488494493
