scenario,year,technology,generation_TWh,generation_TWh_S0,generation_TWh_gap,generation_TWh_pct
S1_NO_CN,2017,Biomass,595.1112012290623,588.1679999985472,6.943201230515115,1.1804792560173734
S2_CAPACITY,2017,Biomass,660.4974090922229,588.1679999985472,72.32940909367574,12.297406369243888
S1_NO_CN,2017,Coal_Power,9811.24598914726,9777.408977814783,33.83701133247814,0.3460733964310512
S2_CAPACITY,2017,Coal_Power,6434.92324334061,9777.408977814783,-3342.485734474173,-34.185802619675286
S1_NO_CN,2017,Gas_Power,5898.424529256564,5866.236821571184,32.18770768537979,0.5486943105845972
S2_CAPACITY,2017,Gas_Power,4842.896553807231,5866.236821571184,-1023.3402677639533,-17.44457816638004
S1_NO_CN,2017,Hydro,4195.788141925732,4172.910999994087,22.877141931644474,0.5482298072419203
S2_CAPACITY,2017,Hydro,5674.822750834826,4172.910999994087,1501.911750840739,35.99194305468932
S1_NO_CN,2017,Nuclear,2762.397604614607,2726.107557947666,36.29004666694118,1.331203772981794
S2_CAPACITY,2017,Nuclear,3455.818129403196,2726.107557947666,729.71057145553,26.76749012811836
S1_NO_CN,2017,Oil_Power,816.9495892761781,814.3072076379048,2.6423816382733776,0.3244944430663024
S2_CAPACITY,2017,Oil_Power,693.9375982550202,814.3072076379048,-120.3696093828845,-14.781842559400365
S1_NO_CN,2017,Solar,308.1114986463026,430.8869999993039,-122.77550135300129,-28.493665706600485
S2_CAPACITY,2017,Solar,426.19815233858236,430.8869999993039,-4.688847660721535,-1.0881849906655596
S1_NO_CN,2017,Wind,1042.9269979107983,1133.8279999972633,-90.90100208646504,-8.017177392574927
S2_CAPACITY,2017,Wind,1392.0894788518417,1133.8279999972633,258.2614788545784,22.777835690704563
S1_NO_CN,2020,Biomass,628.9518243783098,615.7381213759342,13.21370300237561,2.1459939775773744
S2_CAPACITY,2020,Biomass,682.1045246318771,615.7381213759342,66.36640325594294,10.778348936336759
S1_NO_CN,2020,Coal_Power,10600.925433976588,10547.820857969922,53.10457600666632,0.5034649025778681
S2_CAPACITY,2020,Coal_Power,7157.350659317463,10547.820857969922,-3390.4701986524587,-32.14379770292195
S1_NO_CN,2020,Gas_Power,6105.419078803208,6052.044066354739,53.37501244846953,0.881933638672567
S2_CAPACITY,2020,Gas_Power,5052.181599211764,6052.044066354739,-999.8624671429752,-16.521070504121617
S1_NO_CN,2020,Hydro,4465.589931650199,4420.725757929552,44.86417372064716,1.0148599161613523
S2_CAPACITY,2020,Hydro,5827.661776953419,4420.725757929552,1406.9360190238667,31.825905882087685
S1_NO_CN,2020,Nuclear,3148.3737069946446,3077.2819137904353,71.09179320420935,2.3102138574181588
