scenario,year,sector,real_output,S0_output,difference_pct
S0_BASELINE,2030,Animal products nec,2579.7098575675514,2579.7098575675514,0.0
S1_NO_CN,2030,Animal products nec,2577.522346632205,2579.7098575675514,-0.0847967816585804
S2_CAPACITY,2030,Animal products nec,2558.9067847774936,2579.7098575675514,-0.8064113384314231
S0_BASELINE,2030,"Bovine cattle, sheep and goats, horses",727.0817454316069,727.0817454316069,0.0
S1_NO_CN,2030,"Bovine cattle, sheep and goats, horses",726.3608091290216,727.0817454316069,-0.09915477965374286
S2_CAPACITY,2030,"Bovine cattle, sheep and goats, horses",719.680104110344,727.0817454316069,-1.0179930066693044
S0_BASELINE,2030,Coal,653.8936898800107,653.8936898800107,0.0
S1_NO_CN,2030,Coal,657.6857579114654,653.8936898800107,0.579921184458998
S2_CAPACITY,2030,Coal,526.4099397749583,653.8936898800107,-19.496097313379135
S0_BASELINE,2030,Crops nec,4431.574472949795,4431.574472949795,0.0
S1_NO_CN,2030,Crops nec,4428.466879530367,4431.574472949795,-0.07012391280788455
S2_CAPACITY,2030,Crops nec,4383.065352341445,4431.574472949795,-1.0946249669152142
S0_BASELINE,2030,Forestry,711.2445539056991,711.2445539056991,0.0
S1_NO_CN,2030,Forestry,710.6166346021475,711.2445539056991,-0.08828458511259685
S2_CAPACITY,2030,Forestry,703.8989937171923,711.2445539056991,-1.0327755971092811
S0_BASELINE,2030,Gas,1053.6425741798541,1053.6425741798541,0.0
S1_NO_CN,2030,Gas,1063.1616185419434,1053.6425741798541,0.9034415080938496
S2_CAPACITY,2030,Gas,894.501138277205,1053.6425741798541,-15.103929909677715
S0_BASELINE,2030,Manufac,83029.00022818083,83029.00022818083,0.0
S1_NO_CN,2030,Manufac,82921.35230513859,83029.00022818083,-0.1296509927210976
S2_CAPACITY,2030,Manufac,81860.74503455873,83029.00022818083,-1.4070447559424881
S0_BASELINE,2030,Mine,2412.868417432736,2412.868417432736,0.0
S1_NO_CN,2030,Mine,2411.4410962709103,2412.868417432736,-0.059154537873407076
S2_CAPACITY,2030,Mine,2375.235778222573,2412.868417432736,-1.5596639641959231
S0_BASELINE,2030,Oil,2037.2804075577615,2037.2804075577615,0.0
S1_NO_CN,2030,Oil,2043.3488638672357,2037.2804075577615,0.29787044959357356
S2_CAPACITY,2030,Oil,1928.478865610099,2037.2804075577615,-5.340528556797485
S0_BASELINE,2030,OthServ,161628.8795313619,161628.8795313619,0.0
S1_NO_CN,2030,OthServ,161480.2980222011,161628.8795313619,-0.09192757481929492
S2_CAPACITY,2030,OthServ,161269.84841345504,161628.8795313619,-0.22213302409065383
S0_BASELINE,2030,Petro,4867.092404775434,4867.092404775434,0.0
S1_NO_CN,2030,Petro,4877.437726908865,4867.092404775434,0.21255651779450435
S2_CAPACITY,2030,Petro,4322.96396405115,4867.092404775434,-11.179743375950768
S0_BASELINE,2030,Power,3464.570086082088,3464.570086082088,0.0
S1_NO_CN,2030,Power,3385.0356832350503,3464.570086082088,-2.2956499903564964
S2_CAPACITY,2030,Power,3069.3215274827057,3464.570086082088,-11.408300273306038
S0_BASELINE,2030,Rice,723.2908954655697,723.2908954655697,0.0
S1_NO_CN,2030,Rice,722.8702607583714,723.2908954655697,-0.05815567565351509
S2_CAPACITY,2030,Rice,710.8501325119747,723.2908954655697,-1.720022059117321
S0_BASELINE,2030,Transport,12586.342482634514,12586.342482634514,0.0
S1_NO_CN,2030,Transport,12562.754321023052,12586.342482634514,-0.18741077198564104
S2_CAPACITY,2030,Transport,12236.06553890546,12586.342482634514,-2.782992312598642
S0_BASELINE,2030,WatWaste,1608.5547210403874,1608.5547210403874,0.0
S1_NO_CN,2030,WatWaste,1603.7088297758753,1608.5547210403874,-0.30125747051850116
S2_CAPACITY,2030,WatWaste,1586.5950845637367,1608.5547210403874,-1.3651780812559244
S0_BASELINE,2050,Animal products nec,3132.2870456844153,3132.2870456844153,0.0
S1_NO_CN,2050,Animal products nec,3131.0814674289854,3132.2870456844153,-0.03848875399496965
S2_CAPACITY,2050,Animal products nec,3121.33677672297,3132.2870456844153,-0.3495934057682226
S0_BASELINE,2050,"Bovine cattle, sheep and goats, horses",926.78427622872,926.78427622872,0.0
S1_NO_CN,2050,"Bovine cattle, sheep and goats, horses",926.3258310088427,926.78427622872,-0.04946622764715469
S2_CAPACITY,2050,"Bovine cattle, sheep and goats, horses",922.5953922552102,926.78427622872,-0.4519804749553269
S0_BASELINE,2050,Coal,653.6090118342486,653.6090118342486,0.0
S1_NO_CN,2050,Coal,658.644716897216,653.6090118342486,0.7704460880726627
S2_CAPACITY,2050,Coal,523.5707262050372,653.6090118342486,-19.895424217649605
S0_BASELINE,2050,Crops nec,5641.629256263405,5641.629256263405,0.0
S1_NO_CN,2050,Crops nec,5640.455084606194,5641.629256263405,-0.020812634150102483
S2_CAPACITY,2050,Crops nec,5613.641742939326,5641.629256263405,-0.4960891978679216
S0_BASELINE,2050,Forestry,1038.9955037747502,1038.9955037747502,0.0
S1_NO_CN,2050,Forestry,1038.6328104048384,1038.9955037747502,-0.03490807886984415
S2_CAPACITY,2050,Forestry,1034.709320135141,1038.9955037747502,-0.4125314906596955
S0_BASELINE,2050,Gas,1229.4014322746414,1229.4014322746414,0.0
S1_NO_CN,2050,Gas,1238.6142515498018,1229.4014322746414,0.7493743730324853
S2_CAPACITY,2050,Gas,1093.73287572218,1229.4014322746414,-11.035334187096801
S0_BASELINE,2050,Manufac,111324.96272363083,111324.96272363083,0.0
S1_NO_CN,2050,Manufac,111248.90037031876,111324.96272363083,-0.06832461601706807
S2_CAPACITY,2050,Manufac,110556.36116570464,111324.96272363083,-0.6904125895234037
S0_BASELINE,2050,Mine,3276.0893635546263,3276.0893635546263,0.0
S1_NO_CN,2050,Mine,3275.611314713236,3276.0893635546263,-0.014592057430073968
S2_CAPACITY,2050,Mine,3243.5329036323537,3276.0893635546263,-0.9937598248830448
S0_BASELINE,2050,Oil,2227.2514165000152,2227.2514165000152,0.0
S1_NO_CN,2050,Oil,2233.8368777540527,2227.2514165000152,0.29567659965330506
S2_CAPACITY,2050,Oil,2103.1624357148967,2227.2514165000152,-5.571395302112614
S0_BASELINE,2050,OthServ,247936.13805170788,247936.13805170788,0.0
S1_NO_CN,2050,OthServ,247818.61717420828,247936.13805170788,-0.047399656388569245
S2_CAPACITY,2050,OthServ,246743.74093935365,247936.13805170788,-0.48092913026883677
S0_BASELINE,2050,Petro,8204.388520393331,8204.388520393331,0.0
S1_NO_CN,2050,Petro,8230.10420487415,8204.388520393331,0.3134381607708736
S2_CAPACITY,2050,Petro,6912.608034891245,8204.388520393331,-15.744994063739892
S0_BASELINE,2050,Power,4021.4292876210193,4021.4292876210193,0.0
S1_NO_CN,2050,Power,3931.718745580834,4021.4292876210193,-2.230812371022839
S2_CAPACITY,2050,Power,3605.254485855306,4021.4292876210193,-10.348927508107753
S0_BASELINE,2050,Rice,937.9251235403665,937.9251235403665,0.0
S1_NO_CN,2050,Rice,937.8667195428217,937.9251235403665,-0.006226936039877007
S2_CAPACITY,2050,Rice,931.1229911460122,937.9251235403665,-0.725231921358338
S0_BASELINE,2050,Transport,22256.466952664145,22256.466952664145,0.0
S1_NO_CN,2050,Transport,22230.07340268588,22256.466952664145,-0.11858822891520626
S2_CAPACITY,2050,Transport,21532.240413074465,22256.466952664145,-3.2540049646243907
S0_BASELINE,2050,WatWaste,2431.8850437798683,2431.8850437798683,0.0
S1_NO_CN,2050,WatWaste,2427.0949912942897,2431.8850437798683,-0.19696870531895616
S2_CAPACITY,2050,WatWaste,2383.0807640291728,2431.8850437798683,-2.0068497841016053
