scenario,year,real_GDP,real_household_consumption,real_investment,government_income,exports_FOB,imports_CIF,CO2_Mt,power_CO2_Mt,EV,renewable_capacity_GW,total_generation_TWh,renewable_generation_TWh,group,renewable_generation_share_pct,additional_carbon_price_2024USD_t,emissions_weighted_final_carbon_price_2024USD_t
S0_BASELINE,2025,122380.89289105612,69941.89117296811,31127.729577130245,38999.74182595158,35834.18624239274,36821.95500912989,38168.84566252689,16193.776582845554,0.0,5547.783741708053,34608.94508811923,8720.986040807862,GLOBAL,25.19864739766846,0.0,20.239252903764296
S0_BASELINE,2030,138579.42611024046,79633.48029618821,34575.04253914244,46758.83633182772,43391.817339948786,44552.34608210075,40786.22494482815,16139.429516520453,0.0,11000.000000052425,42228.70638777963,16030.528589066376,GLOBAL,37.96121160298052,0.0,30.392880443025014
S0_BASELINE,2035,156181.05307188997,89670.30667489486,38619.47250876233,55326.26749205157,52016.06370610067,53304.80992041595,43012.65142229727,16375.75435066312,0.0,12565.385880310452,45715.935985729484,18240.885495736395,GLOBAL,39.90049662645079,0.0,41.87679161942268
S0_BASELINE,2040,173481.89770025396,99821.58330299443,42320.4772737525,64685.39160603701,62454.16263579825,63822.920946603015,46476.731363013416,17010.218823705472,0.0,13498.284872459191,48486.502156813665,19656.771763134915,GLOBAL,40.54070904013975,0.0,42.87295276740624
S0_BASELINE,2045,190642.82696840283,109398.14613992476,46258.98457844117,75074.95786204736,74596.24779092357,75972.90997890042,49603.84815631456,17284.762853193457,0.0,14099.305917986201,50313.19595141037,20716.72324438401,GLOBAL,41.17552632591864,0.0,44.36570629216892
S0_BASELINE,2050,207452.5819098337,118462.86828537211,50135.10096434158,85821.53318137822,87924.98079669142,89199.29397503745,52095.81936032495,17082.502138457276,0.0,14358.168863542243,51032.23368441057,21409.92435306399,GLOBAL,41.95372768800504,0.0,46.60160554875791
S1_NO_CN,2025,122313.22019292285,69867.67216876104,31127.500816194246,38992.91012185246,35842.248828312,36830.668137333145,38280.6025114443,16331.832278829246,-111.41723393365463,4433.975867216528,33772.57968658595,7425.898571847917,GLOBAL,21.987951885112857,0.0,20.492198932271872
S1_NO_CN,2030,138450.45514443002,79485.47946787595,34577.9132819004,46761.709628030425,43395.77980067137,44557.138462752664,40938.303116572395,16329.286275542812,-249.27672561522255,9046.506861735163,40676.54986191627,13739.091385906053,GLOBAL,33.77644228073871,0.0,31.09614127467275
S1_NO_CN,2035,156050.39893225057,89514.70133879525,38625.23183933458,55334.29886916044,52016.62545554937,53306.412878755706,43173.79276959319,16570.56644491026,-289.20512494777876,10534.771940097555,44107.581858753016,15843.116422988023,GLOBAL,35.91925867467161,0.0,42.695113147306024
S1_NO_CN,2040,173355.0417344607,99666.09155633692,42328.33903857913,64692.82232352266,62450.81921565349,63820.96223772418,46641.13449756962,17212.27105718717,-321.4291110304975,11452.900720510372,46862.69593315743,17226.028169648973,GLOBAL,36.75850871708129,0.0,43.7094407074435
S1_NO_CN,2045,190523.03049361316,109245.73002802371,46269.11137765506,75084.43752061146,74588.28358335368,75966.76104312333,49777.5357992893,17496.96223103547,-352.0837618809423,12062.715480503062,48713.10478384013,18291.85331319436,GLOBAL,37.55016929091824,0.0,45.22185852745144
S1_NO_CN,2050,207345.8005173443,118315.25043083791,50148.91290795401,85840.60042212307,87918.03025830805,89194.18235151736,52284.728265773876,17306.67208666812,-379.4498327016314,12429.25696314408,49600.47187709906,19139.407267414437,GLOBAL,38.587147547383026,0.0,47.48429794066118
S2_CAPACITY,2025,121815.27987121043,68529.97614389,30798.421654681224,39814.49845143161,34515.3214192648,35483.07216870388,30363.33945876789,12272.958916203657,-1707.6323384727834,5717.222379041056,32191.629812335355,9378.00790543965,GLOBAL,29.13182078729713,60.893893166004126,82.95426259462542
S2_CAPACITY,2030,137817.9458953085,78031.26650556797,34168.91700239317,47416.79893717083,41591.4296325881,42728.34431073055,32970.79991950125,12428.76013988311,-2047.728246961863,10999.956629742312,39851.132147454235,16498.640814347626,GLOBAL,41.40068280444471,60.893893166004126,95.57452927445928
S2_CAPACITY,2035,155194.4686826862,87924.28188957158,38124.736119944566,55857.07265180017,49830.59382004018,51101.03920544957,35423.24431006914,12902.770870192795,-2282.150735736518,12628.362781279751,43668.803371698385,18787.25351542098,GLOBAL,43.022139524887784,60.893893166004126,107.30747795070707
S2_CAPACITY,2040,172306.68042544933,97921.45184926178,41744.22866923748,65007.93260680917,59635.022473026176,60992.68107668097,38557.668352659966,13566.763448497622,-2524.0290565917726,13739.846296981694,46687.32534557335,20433.857978639957,GLOBAL,43.767463283431354,60.893893166004126,108.27760913897458
S2_CAPACITY,2045,189293.1434450143,107376.08710230823,45614.95739973329,75142.20729739485,71099.50526335205,72476.89561784058,41173.13341810109,13846.86448879264,-2710.369351622928,14645.762833056226,48933.957323370785,21922.596813349395,GLOBAL,44.800375879020095,60.893893166004126,109.96814246356126
S2_CAPACITY,2050,205990.66271071354,116331.4392248344,49468.883831996245,85662.0641797198,83858.53620718361,85136.23259649967,42925.01047050999,13607.524630774857,-2832.053235222311,15464.146161119415,50403.74847127549,23445.79089057069,GLOBAL,46.51596677166218,60.893893166004126,112.73812719393558
S0_BASELINE,2025,97894.9583024974,59158.273868731165,22964.704211499862,33921.24249160817,30306.67033035057,31669.645472069664,26571.584747643537,10390.025807698183,0.0,2550.6448599162145,23251.390629226098,4562.036704326059,ROW_EX_CHINA,19.62048970349221,0.0,22.532178342238012
S0_BASELINE,2030,109324.01384602458,66032.44946986619,26008.82219966554,40762.71242382992,36512.757030349756,38145.11196322215,28531.94084132506,10603.245970716678,0.0,4737.238274106429,26905.10820713472,7712.45918785779,ROW_EX_CHINA,28.665408548004255,0.0,36.61441910870593
S0_BASELINE,2035,122798.57298168057,74008.19407242996,29458.53291511594,48437.97477850576,43741.7720057243,45603.10096362846,31279.87694193325,11289.491970825335,0.0,4896.403459279727,28731.02778107904,7992.720701605956,ROW_EX_CHINA,27.819125589616398,0.0,45.37754330399195
S0_BASELINE,2040,136768.0106000961,82256.81008474228,33030.24269089328,57230.844206697344,52574.77956174142,54643.502462317,34509.596750842036,11990.856844495367,0.0,5006.127486791596,30335.828564113912,8216.40902480512,ROW_EX_CHINA,27.084834711008376,0.0,46.45490077434132
S0_BASELINE,2045,151191.0951876251,90482.49637126202,36734.35087948515,67188.3803706582,62926.27891950262,65161.751947097175,37745.69686817344,12495.065453788015,0.0,5163.517351935847,31713.982522283997,8538.06139587213,ROW_EX_CHINA,26.92207259013533,0.0,48.07969685809455
S0_BASELINE,2050,165952.84102080937,98508.06783222247,40476.4240998448,77624.09036215412,74375.6644402775,76699.86370617856,40669.77389062761,12655.709092964564,0.0,5304.398886373754,32568.883993052077,8863.807715632189,ROW_EX_CHINA,27.21557090357504,0.0,50.55113058265077
