scenario,year,region,technology,CO2_Mt
S0_BASELINE,2030,Australia_Oceania,TnD,0.998042243974831
S0_BASELINE,2030,Australia_Oceania,Coal_Power,121.96068920092787
S0_BASELINE,2030,Australia_Oceania,Oil_Power,15.911542770814322
S0_BASELINE,2030,Australia_Oceania,Gas_Power,37.65773229613638
S0_BASELINE,2030,Australia_Oceania,Nuclear,0.0001439091878966
S0_BASELINE,2030,Australia_Oceania,Hydro,3.359798583896865e-05
S0_BASELINE,2030,Australia_Oceania,Wind,0.000645272542131
S0_BASELINE,2030,Australia_Oceania,Solar,0.0014695979703493
S0_BASELINE,2030,Australia_Oceania,Biomass,0.3705946286802932
S0_BASELINE,2030,China,TnD,1.553849788996096
S0_BASELINE,2030,China,Coal_Power,5094.857737138243
S0_BASELINE,2030,China,Oil_Power,168.45498945360538
S0_BASELINE,2030,China,Gas_Power,232.32011051606344
S0_BASELINE,2030,China,Nuclear,0.0002927354171863
S0_BASELINE,2030,China,Hydro,9.631189423810008e-05
S0_BASELINE,2030,China,Wind,0.0011218452919374
S0_BASELINE,2030,China,Solar,0.0027789777680754
S0_BASELINE,2030,China,Biomass,38.99256903649564
S0_BASELINE,2030,Japan,TnD,0.1223397632280238
S0_BASELINE,2030,Japan,Coal_Power,300.3387447440246
S0_BASELINE,2030,Japan,Oil_Power,91.6370374112962
S0_BASELINE,2030,Japan,Gas_Power,217.49731136342027
S0_BASELINE,2030,Japan,Nuclear,0.0001006979209756
S0_BASELINE,2030,Japan,Hydro,2.608601973015574e-05
S0_BASELINE,2030,Japan,Wind,0.0001652492215467
S0_BASELINE,2030,Japan,Solar,0.0001697952420883
S0_BASELINE,2030,Japan,Biomass,10.985949034390549
S0_BASELINE,2030,South Korea,TnD,0.0534054068277884
S0_BASELINE,2030,South Korea,Coal_Power,173.69234536018575
S0_BASELINE,2030,South Korea,Oil_Power,36.97472752649916
S0_BASELINE,2030,South Korea,Gas_Power,63.18488087881599
S0_BASELINE,2030,South Korea,Nuclear,0.0001215273875092
S0_BASELINE,2030,South Korea,Hydro,2.485187482749082e-05
S0_BASELINE,2030,South Korea,Wind,0.0002547594286034
S0_BASELINE,2030,South Korea,Solar,0.0009705641145773
S0_BASELINE,2030,South Korea,Biomass,2.778679324889654
S0_BASELINE,2030,Rest of World,TnD,0.0106815980125607
S0_BASELINE,2030,Rest of World,Coal_Power,22.7387778311556
S0_BASELINE,2030,Rest of World,Oil_Power,3.085891822386859
S0_BASELINE,2030,Rest of World,Gas_Power,1.0231252533620858
S0_BASELINE,2030,Rest of World,Nuclear,0.0001720759269943
S0_BASELINE,2030,Rest of World,Hydro,4.175311693487387e-05
S0_BASELINE,2030,Rest of World,Wind,0.0011749717579669
S0_BASELINE,2030,Rest of World,Solar,0.0036591875414043
S0_BASELINE,2030,Rest of World,Biomass,0.014022127740423
S0_BASELINE,2030,Southeast Asia,TnD,0.1962838861789254
S0_BASELINE,2030,Southeast Asia,Coal_Power,580.7045457155599
S0_BASELINE,2030,Southeast Asia,Oil_Power,23.66456435907452
S0_BASELINE,2030,Southeast Asia,Gas_Power,241.36700187699827
S0_BASELINE,2030,Southeast Asia,Nuclear,0.0001456809700198
S0_BASELINE,2030,Southeast Asia,Hydro,5.3942583285454895e-05
S0_BASELINE,2030,Southeast Asia,Wind,0.0011377207236181
S0_BASELINE,2030,Southeast Asia,Solar,0.0031745693263431
