region,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Australia_Oceania,2025,S1_NO_CN,real_GDP,2087.1372401766075,2086.0613778502775,-1.075862326330025,-0.05154727277248854
Australia_Oceania,2025,S2_CAPACITY,real_GDP,2087.1372401766075,2078.235695971241,-8.901544205366463,-0.42649539445778084
China,2025,S1_NO_CN,real_GDP,24485.934588558728,24483.92799961048,-2.0065889482466446,-0.00819486363074841
China,2025,S2_CAPACITY,real_GDP,24485.934588558728,24253.943775145046,-231.9908134136822,-0.9474452060411939
Japan,2025,S1_NO_CN,real_GDP,6480.372498015053,6476.793774883631,-3.5787231314216115,-0.055224034305401105
Japan,2025,S2_CAPACITY,real_GDP,6480.372498015053,6478.570205705185,-1.8022923098678802,-0.027811554203403043
South Korea,2025,S1_NO_CN,real_GDP,2347.146295641304,2344.465969921342,-2.680325719961729,-0.1141950855359611
South Korea,2025,S2_CAPACITY,real_GDP,2347.146295641304,2343.8852508211435,-3.2610448201603504,-0.1389365812525693
Rest of World,2025,S1_NO_CN,real_GDP,119.99512946629636,119.9909493354574,-0.004180130838960849,-0.0034835837567348464
Rest of World,2025,S2_CAPACITY,real_GDP,119.99512946629636,117.67916169336726,-2.315967772929099,-1.9300514806141333
Southeast Asia,2025,S1_NO_CN,real_GDP,4653.631415828211,4653.446397389277,-0.18501843893409387,-0.00397578627101403
Southeast Asia,2025,S2_CAPACITY,real_GDP,4653.631415828211,4635.24837974212,-18.383036086091124,-0.3950256142668634
"Central, Western and South Asia",2025,S1_NO_CN,real_GDP,7479.368603164292,7479.365886432606,-0.0027167316857230617,-3.632300839637313e-05
"Central, Western and South Asia",2025,S2_CAPACITY,real_GDP,7479.368603164292,7332.806059182115,-146.56254398217698,-1.9595577081221915
India,2025,S1_NO_CN,real_GDP,4999.363042459695,4997.73532730422,-1.6277151554750162,-0.032558450779645275
India,2025,S2_CAPACITY,real_GDP,4999.363042459695,4961.1889638367575,-38.174078622937486,-0.7635788459194549
Canada,2025,S1_NO_CN,real_GDP,2277.728988962729,2277.285016680265,-0.44397228246407394,-0.01949188356540422
Canada,2025,S2_CAPACITY,real_GDP,2277.728988962729,2273.661134050086,-4.06785491264327,-0.17859257762249225
United States,2025,S1_NO_CN,real_GDP,29482.632132251412,29475.573334681372,-7.058797570040042,-0.023942223131150957
United States,2025,S2_CAPACITY,real_GDP,29482.632132251412,29484.648540490394,2.016408238981967,0.006839308749425372
Rest of America,2025,S1_NO_CN,real_GDP,5139.1401462896265,5138.9262143557025,-0.21393193392395915,-0.004162796262297194
Rest of America,2025,S2_CAPACITY,real_GDP,5139.1401462896265,5136.484391858396,-2.655754431230889,-0.051677019027167405
Brazil,2025,S1_NO_CN,real_GDP,2800.6770431055133,2788.68688516084,-11.990157944673228,-0.4281164075732922
Brazil,2025,S2_CAPACITY,real_GDP,2800.6770431055133,2787.5699430490413,-13.107100056472063,-0.4679975539749609
"EU, UK and EFTA",2025,S1_NO_CN,real_GDP,23724.37345232618,23687.056475056877,-37.31697726930361,-0.15729383683953377
"EU, UK and EFTA",2025,S2_CAPACITY,real_GDP,23724.37345232618,23676.78904475449,-47.58440757169228,-0.2005718198093304
Eastern Europe,2025,S1_NO_CN,real_GDP,408.44172541876503,408.27371418480027,-0.16801123396476214,-0.041134689114464114
Eastern Europe,2025,S2_CAPACITY,real_GDP,408.44172541876503,408.97182304489047,0.5300976261254391,0.12978537527769557
Russia,2025,S1_NO_CN,real_GDP,2328.0309070484923,2328.5322106767144,0.5013036282221037,0.02153337512420155
Russia,2025,S2_CAPACITY,real_GDP,2328.0309070484923,2284.803116564667,-43.227790483825174,-1.8568392005856111
North Africa,2025,S1_NO_CN,real_GDP,1123.7517424745308,1123.996051785665,0.2443093111342023,0.021740505656189398
North Africa,2025,S2_CAPACITY,real_GDP,1123.7517424745308,1126.1010539578529,2.349311483322026,0.20905965210330002
Sub Saharan,2025,S1_NO_CN,real_GDP,1951.175474886824,1951.1323339913545,-0.04314089546960531,-0.002211020793611997
Sub Saharan,2025,S2_CAPACITY,real_GDP,1951.175474886824,1946.3554286389535,-4.82004624787055,-0.24703294551968127
South Africa,2025,S1_NO_CN,real_GDP,491.99246498185937,491.97027362196286,-0.02219135989651022,-0.004510508082136676
