scenario,year,region,sector,CO2_Mt
S0_BASELINE,2030,Australia_Oceania,Rice,0.0242494988424079
S0_BASELINE,2030,Australia_Oceania,Crops nec,5.37141545035985
S0_BASELINE,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",1.5172418850087857
S0_BASELINE,2030,Australia_Oceania,Animal products nec,3.3158855857503657
S0_BASELINE,2030,Australia_Oceania,Forestry,3.082373574909491
S0_BASELINE,2030,Australia_Oceania,Coal,8.313660607765522
S0_BASELINE,2030,Australia_Oceania,Oil,0.1338040450431774
S0_BASELINE,2030,Australia_Oceania,Gas,3.57834009672842
S0_BASELINE,2030,Australia_Oceania,Mine,15.531632073844944
S0_BASELINE,2030,Australia_Oceania,Manufac,27.57760465212677
S0_BASELINE,2030,Australia_Oceania,Petro,17.915435836127177
S0_BASELINE,2030,Australia_Oceania,WatWaste,0.2603373689690892
S0_BASELINE,2030,Australia_Oceania,OthServ,14.679710292706414
S0_BASELINE,2030,Australia_Oceania,Transport,107.08558497714728
S0_BASELINE,2030,Australia_Oceania,Power,176.90089351821993
S0_BASELINE,2030,Australia_Oceania,Households,57.8946741782119
S0_BASELINE,2030,China,Rice,12.646726891731316
S0_BASELINE,2030,China,Crops nec,75.22637266358088
S0_BASELINE,2030,China,"Bovine cattle, sheep and goats, horses",3.942417800262204
S0_BASELINE,2030,China,Animal products nec,50.5403690350698
S0_BASELINE,2030,China,Forestry,9.820298030146098
S0_BASELINE,2030,China,Coal,65.05433510089507
S0_BASELINE,2030,China,Oil,10.234837909232638
S0_BASELINE,2030,China,Gas,30.67605591357929
S0_BASELINE,2030,China,Mine,55.15366955116263
S0_BASELINE,2030,China,Manufac,3189.226993634064
S0_BASELINE,2030,China,Petro,363.193132056702
S0_BASELINE,2030,China,WatWaste,0.6847827430830421
S0_BASELINE,2030,China,OthServ,356.98744261796537
S0_BASELINE,2030,China,Transport,1324.3469135032756
S0_BASELINE,2030,China,Power,5536.183545803775
S0_BASELINE,2030,China,Households,1170.366210248563
S0_BASELINE,2030,Japan,Rice,1.2467102161026953
S0_BASELINE,2030,Japan,Crops nec,5.563047439207928
S0_BASELINE,2030,Japan,"Bovine cattle, sheep and goats, horses",0.1308806130391061
S0_BASELINE,2030,Japan,Animal products nec,9.095919386481906
S0_BASELINE,2030,Japan,Forestry,1.0686390324149824
S0_BASELINE,2030,Japan,Coal,0.0017315734951636
S0_BASELINE,2030,Japan,Oil,0.0024099744517806
S0_BASELINE,2030,Japan,Gas,0.3716188767407238
S0_BASELINE,2030,Japan,Mine,1.5212199550366678
S0_BASELINE,2030,Japan,Manufac,248.6327015775232
S0_BASELINE,2030,Japan,Petro,54.447113800797375
S0_BASELINE,2030,Japan,WatWaste,4.653488718809914
S0_BASELINE,2030,Japan,OthServ,89.5646699684819
S0_BASELINE,2030,Japan,Transport,189.38517598749416
S0_BASELINE,2030,Japan,Power,620.5818441447641
S0_BASELINE,2030,Japan,Households,158.90727701049593
S0_BASELINE,2030,South Korea,Rice,0.5097238165740448
S0_BASELINE,2030,South Korea,Crops nec,1.387643470300305
S0_BASELINE,2030,South Korea,"Bovine cattle, sheep and goats, horses",0.0746499717518539
S0_BASELINE,2030,South Korea,Animal products nec,3.782020108245248
S0_BASELINE,2030,South Korea,Forestry,0.1633688865368995
S0_BASELINE,2030,South Korea,Coal,0.0245138986416629
S0_BASELINE,2030,South Korea,Oil,0.0735641894870377
S0_BASELINE,2030,South Korea,Gas,1.507560209252977
S0_BASELINE,2030,South Korea,Mine,0.669159761987038
S0_BASELINE,2030,South Korea,Manufac,56.97062650339818
S0_BASELINE,2030,South Korea,Petro,72.87889838851136
S0_BASELINE,2030,South Korea,WatWaste,0.6217567093790654
