scenario,year,region,sector,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2030,Australia_Oceania,Rice,0.0242796866638558,0.0242494988424079,3.018782144789678e-05,0.12448843435520345
S2_CAPACITY,2030,Australia_Oceania,Rice,0.0218622834714713,0.0242494988424079,-0.0023872153709366024,-9.844390543699825
S1_NO_CN,2030,Australia_Oceania,Crops nec,5.40954520546395,5.37141545035985,0.03812975510410066,0.7098641960667224
S2_CAPACITY,2030,Australia_Oceania,Crops nec,4.718200191973519,5.37141545035985,-0.6532152583863304,-12.160952069767186
S1_NO_CN,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",1.5325902471183352,1.5172418850087857,0.015348362109549596,1.0115962564176588
S2_CAPACITY,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",1.3525410753961318,1.5172418850087857,-0.16470080961265388,-10.855277015483933
S1_NO_CN,2030,Australia_Oceania,Animal products nec,3.366842609481909,3.3158855857503657,0.050957023731543316,1.5367545837686687
S2_CAPACITY,2030,Australia_Oceania,Animal products nec,2.9503484117348258,3.3158855857503657,-0.36553717401554,-11.023817455776932
S1_NO_CN,2030,Australia_Oceania,Forestry,3.0636668034816466,3.082373574909491,-0.018706771427844604,-0.6068950103945105
S2_CAPACITY,2030,Australia_Oceania,Forestry,2.7664686853197886,3.082373574909491,-0.31590488958970253,-10.248754147166558
S1_NO_CN,2030,Australia_Oceania,Coal,8.662712047438939,8.313660607765522,0.349051439673417,4.198528856799607
S2_CAPACITY,2030,Australia_Oceania,Coal,5.042571924491982,8.313660607765522,-3.2710886832735397,-39.3459492466907
S1_NO_CN,2030,Australia_Oceania,Oil,0.1429952087331669,0.1338040450431774,0.009191163689989512,6.869122444709055
S2_CAPACITY,2030,Australia_Oceania,Oil,0.1116369200356897,0.1338040450431774,-0.022167125007487687,-16.56685715318588
S1_NO_CN,2030,Australia_Oceania,Gas,3.7294437729541543,3.57834009672842,0.1511036762257345,4.222730990938635
S2_CAPACITY,2030,Australia_Oceania,Gas,2.8027771256040457,3.57834009672842,-0.7755629711243741,-21.673819429110456
S1_NO_CN,2030,Australia_Oceania,Mine,16.054652298513734,15.531632073844944,0.5230202246687892,3.367451805335693
