year,target,target_name,iso3,country_name,excluded_target_receiver,TIC,X,B,Q_global,Q_cf,Q_ratio,beta_B,p_beta_B,B_fitted,B_cf,B_deployment_gap,B_cf_fitted,B_fitted_gap,X_cf,equipment_gap_inclusive,equipment_gap_target_origin,equipment_gap_other_origins,TIC_cf,total_deployment_gap,deployment_gap_pct_of_TIC,balance_gap_pct_of_TIC,cf_Q_below_balance_fit_range,annual_cost_interpolated,tfp_start_year,technology,region,alpha,cost_actual,cost_cf,annual_cost_reduction_actual,tfp_growth_factor_actual,tfp_growth_rate_actual,tfp_raw_actual,annual_cost_reduction_cf,tfp_growth_factor_cf,tfp_growth_rate_cf,tfp_raw_cf,tfp_actual,tfp_cf,tfp_multiplier,capacity_weight_MW,B_cf_fixed,TIC_cf_equipment_only,scenario_scope
2010,CHN,中国,AUS,Australia,False,8226.006707647635,2666.087536470216,5559.919171177424,39.73239,39.15239,0.9854023379917494,-0.6311445523247294,8.560495725769456e-08,6575.302935539268,5611.761779735199,51.84260855777484,6636.613333359991,61.31039782072276,2679.5034626070155,13.415926136799596,10.765925190422257,2.6500009463773395,8291.26524234222,65.25853469457444,0.7933197359771686,0.6302281337745235,True,False,2010,pv,Australia_Oceania,1.0,8226.006707647635,8291.26524234222,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2852451700863518,0.2852451700863518,1.0,1088.0,,,
2011,CHN,中国,AUS,Australia,False,8070.627916404929,1951.783026049387,6118.844890355545,70.26885,67.62285,0.962344623542295,-0.6311445523247294,8.560495725769456e-08,4588.100431885518,6268.883944398703,150.0390540431572,4700.604386633602,112.50395474808374,1977.296326183216,25.513300133828988,22.17159608407578,3.341704049753208,8246.180270581925,175.55235417698617,2.1752006906444783,1.8590753482535995,False,False,2010,pv,Australia_Oceania,1.0,8070.627916404929,8246.180270581925,0.018888726543129564,1.0192523794743247,0.019252379474324677,1.0192523794743247,0.005437646781585759,1.0054673764435076,0.005467376443507588,1.0054673764435076,0.29073681834407256,0.2868047128099062,0.9864753781218281,1418.0,,,
2012,CHN,中国,AUS,Australia,False,5845.841389250201,1192.4342491942643,4653.407140055936,99.31435,93.09835,0.9374108575447556,-0.6311445523247294,8.560495725769456e-08,3688.110954154833,4847.159295225536,193.7521551696,3841.671436692692,153.56048253785866,1218.4781506135118,26.043901419247472,23.116395245855845,2.9275061733916274,6065.637445839043,219.79605658884745,3.759870341214286,3.3143587427104486,False,False,2010,pv,Australia_Oceania,1.0,5845.841389250201,6065.637445839043,0.2756646137325287,1.3805759306514616,0.38057593065146156,1.4071553023614825,0.2644306519130951,1.3594911242574692,0.3594911242574692,1.3669239740053922,0.40138425356001284,0.38990846146028,0.9714094611386717,2508.0,,,
2013,CHN,中国,AUS,Australia,False,3431.1490001785783,860.2898660049292,2570.8591341736465,134.44763,117.28163,0.8723220334936361,-0.6311445523247294,8.560495725769456e-08,3046.368948670667,2802.3331787084508,231.4740445348043,3320.6567664357963,274.28781776512915,901.8363994491408,41.54653344421149,37.82162460210522,3.72490884210626,3704.16957815759,273.0205779790158,7.957118095565256,6.746254520650579,False,False,2010,pv,Australia_Oceania,1.0,3431.1490001785783,3704.16957815759,0.4130615643304917,1.70375620206116,0.7037562020611601,2.3974495736616226,0.3893189938843761,1.6375161336042339,0.6375161336042339,2.238360060844244,0.6838609114125611,0.6384813962700131,0.9336421860275453,3309.0,,,
2014,CHN,中国,AUS,Australia,False,3581.328358355958,857.4327133734367,2723.8956449825187,172.65223999999998,144.88624,0.8391796133082317,-0.6311445523247294,8.560495725769456e-08,2601.525984466303,3042.629101254511,318.7334562719925,2905.940498340113,304.4145138738104,902.9759118768964,45.54319850345967,41.685591826119534,3.857606677340137,3945.6050131314055,364.2766547754522,10.171551400069806,8.899866875605628,False,False,2010,pv,Australia_Oceania,1.0,3581.328358355958,3945.6050131314055,-0.0437694073237751,0.9580660182060712,-0.04193398179392882,2.2969149668878335,-0.0651793687841642,0.938809020626674,-0.06119097937332596,2.1013926165310473,0.6551839004038071,0.5994120943206024,0.9148761041765051,4134.0,,,
2015,CHN,中国,AUS,Australia,False,2663.021798110897,724.9704361883221,1938.0513619225744,219.86211,176.96611,0.8048958958867447,-0.6311445523247294,8.560495725769456e-08,2233.4270165617786,2222.5787058855835,284.5273439630091,2561.318768784049,327.8917522222705,774.7080835007212,49.7376473123991,46.41136691870555,3.326280393693544,2997.2867893863045,334.2649912754082,12.55209369718754,10.684379082621406,False,False,2010,pv,Australia_Oceania,1.0,2663.021798110897,2997.2867893863045,0.2564150695935119,1.3448362911999037,0.34483629119990367,3.0889746052709834,0.24034798734008955,1.3163922208255785,0.3163922208255785,2.7662568933017786,0.8811150866729431,0.7890614180324089,0.8955259420331511,5033.0,,,
2016,CHN,中国,AUS,Australia,False,2292.9292994915013,567.7810367104769,1725.1482627810235,291.30835,214.17235,0.735208414039625,-0.6311445523247294,8.560495725769456e-08,1870.0115835712204,2094.791148478929,369.6428856979053,2270.6939440110523,400.6823604398319,630.7170066243727,62.93596991389585,57.585578771438286,5.350391142457568,2725.5081551033027,432.5788556118012,18.865773825112424,16.120989242009358,False,False,2010,pv,Australia_Oceania,1.0,2292.9292994915013,2725.5081551033027,0.13897464109453905,1.1614059791121647,0.1614059791121647,3.587553575887359,0.09067488478092833,1.0997166835748107,0.09971668357481067,3.0420988566177907,1.0233323299478894,0.8677440057754381,0.8479591432625077,5878.0,,,
2017,CHN,中国,AUS,Australia,False,2346.4286824544197,507.80294671927663,1838.6257357351435,384.35013,254.20964,0.6614012072794148,-0.6311445523247294,8.560495725769456e-08,1569.8958446438712,2386.744236431962,548.1185006968183,2037.9024323316648,468.0065876877936,575.4572863380998,67.65433961882316,61.84243459868466,5.8119050201384965,2962.2015227700617,615.7728403156415,26.24298129835033,23.35969146624449,False,False,2010,pv,Australia_Oceania,1.0,2346.4286824544197,2962.2015227700617,-0.023332329947889363,0.977199655219456,-0.022800344780544046,3.5057561174384535,-0.08684375690587065,0.9200954540576232,-0.07990454594237684,2.7990213287679224,1.0,0.7984073149997325,0.7984073149997325,7238.23,,,
2018,CHN,中国,AUS,Australia,False,1809.828003777512,438.89349130200463,1370.9345124755075,478.49221,304.14615000000003,0.6356344860870359,-0.6311445523247294,8.560495725769456e-08,1367.1582874292396,1824.825136101359,453.8906236258515,1819.7986739900784,452.6403865608386,514.5671869838086,75.67369568180393,70.28877403784885,5.3849216439550815,2339.392323085167,529.5643193076554,29.260477691931904,25.079213200286503,False,False,2010,pv,Australia_Oceania,1.0,1809.828003777512,2339.392323085167,0.22868825406430449,1.296492637729609,0.2964926377296091,4.545186995934494,0.2102521367629584,1.266226914373875,0.2662269143738749,3.5441961403924696,1.296492637729609,1.0109648308856416,0.7797690487899894,11124.77,,,
2019,CHN,中国,AUS,Australia,False,1489.092144663888,336.03708271247785,1153.0550619514106,580.10487,376.20887,0.6485187238645316,-0.6311445523247294,8.560495725769456e-08,1210.6961061267905,1515.4936603911997,362.4385984397889,1591.252954035234,380.5568479084434,394.9303853317551,58.89330261927721,54.78007693620177,4.113225683075434,1910.424045722955,421.33190105906607,28.294548632795813,24.33956822205901,False,False,2010,pv,Australia_Oceania,1.0,1489.092144663888,1910.424045722955,0.17721897243504758,1.2153902028581445,0.21539020285814447,5.5241757450170255,0.18336739551085335,1.2245408700348928,0.22454087003489276,4.340013025330504,1.5757444499742805,1.2379677535873819,0.7856399263266249,15449.69,,,
