year,source_year,region,technology,baseline_tfp,cf_tfp,tfp_multiplier,alpha,mapping_status,countries
2017,2017,Australia_Oceania,pv,1.0,0.7984073149997325,0.7984073149997325,1.0,observed_capacity_weighted,AUS
2017,2017,China,pv,1.0,1.0,1.0,1.0,China_no_inward_shock,CHN
2017,2017,Japan,pv,1.0,0.8880391870914779,0.8880391870914779,1.0,observed_capacity_weighted,JPN
2017,2017,South Korea,pv,1.0,0.8406538166480397,0.8406538166480397,1.0,observed_capacity_weighted,KOR
2017,2017,Rest of World,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,Southeast Asia,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,"Central, Western and South Asia",pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,India,pv,1.0,0.7918892460177765,0.7918892460177765,1.0,observed_capacity_weighted,IND
2017,2017,Canada,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,United States,pv,1.0,0.8317785389070934,0.8317785389070934,1.0,observed_capacity_weighted,USA
2017,2017,Rest of America,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,Brazil,pv,1.0,0.7578156135964284,0.7578156135964284,1.0,observed_capacity_weighted,BRA
2017,2017,"EU, UK and EFTA",pv,0.9999999999999999,0.8737381931352675,0.8737381931352676,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2017,2017,Eastern Europe,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,Russia,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,North Africa,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,Sub Saharan,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2017,2017,South Africa,pv,1.0,1.0,1.0,1.0,uncovered_neutral_legacy_reference,
2018,2018,Australia_Oceania,pv,1.296492637729609,1.0109648308856416,0.7797690487899894,1.0,observed_capacity_weighted,AUS
