technology,iso3,year,supplier,price_model_supplier,trade_import_value,preborder_expenditure_share,quantity_share,baseline_price_usd_kw,duty_rate,policy_rent_rate,landed_expenditure_share,beta,price_basis,domestic
pv,AUS,2010,ARE,OTHER,492263.0,0.0003378633946916741,0.0002940878279460134,3062.9400472240845,0.0,0.0,0.0003378633946916741,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,AUS,OTHER,0.0,0.25,0.21760853096736835,3062.9400472240845,0.0,0.0,0.25000000000000006,0.0,assumed geometric mean of approved fitted prices; baseline only,True
pv,AUS,2010,AUT,OTHER,273422.0,0.00018766245909886974,0.00016334780816891557,3062.9400472240845,0.0,0.0,0.00018766245909886977,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,BEL,OTHER,488086.0,0.00033499652190288614,0.00029159240404185956,3062.9400472240845,0.0,0.0,0.0003349965219028862,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,BGR,OTHER,4021.0,2.759802605629961e-06,2.402226363084205e-06,3062.9400472240845,0.0,0.0,2.7598026056299615e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,CAN,OTHER,2619007.0,0.001797548456295227,0.0015646475156682604,3062.9400472240845,0.0,0.0,0.0017975484562952275,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,CHE,OTHER,16306675.0,0.011192042813767955,0.009741935980911746,3062.9400472240845,0.0,0.0,0.011192042813767957,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,CHN,CHN,782470421.0,0.5370464826421717,0.6305809684573503,2270.6250354815543,0.0,0.0,0.5370464826421718,-0.5094069001785779,approved national/OEM proxy equation,False
pv,AUS,2010,CRI,OTHER,1191.0,8.174396675715702e-07,7.115273808588134e-07,3062.9400472240845,0.0,0.0,8.174396675715703e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,CZE,OTHER,6935911.0,0.004760443981650711,0.004143652886397843,3062.9400472240845,0.0,0.0,0.004760443981650711,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,DEU,DEU,23942956.0,0.01643318387348508,0.01643727494777546,2665.423973792646,0.0,0.0,0.01643318387348508,-0.3874765003794204,approved national/OEM proxy equation,False
pv,AUS,2010,DNK,OTHER,85748.0,5.885291067584131e-05,5.1227581741294306e-05,3062.9400472240845,0.0,0.0,5.8852910675841315e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,DOM,OTHER,10458.0,7.177820355552881e-06,6.247819772478144e-06,3062.9400472240845,0.0,0.0,7.1778203555528825e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,ESP,OTHER,34285.0,2.3531418138279835e-05,2.0482549330599842e-05,3062.9400472240845,0.0,0.0,2.3531418138279835e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,FIN,OTHER,20270.0,1.3912260337259217e-05,1.2109706137706251e-05,3062.9400472240845,0.0,0.0,1.3912260337259217e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
