typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,destination,reporterDesc,flowCode,flowDesc,partnerCode,supplier,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,requested_reporter_iso3,technology,year
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,598.0,False,-1,,,False,108338.0,False,,False,,19191691.0,19191691.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,208,DNK,Denmark,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,740.0,False,-1,,,False,7659.0,False,,False,,43403.0,43403.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,251,FRA,France,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,,,False,44.0,False,,False,,3741.0,3741.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,15.0,False,-1,,,False,266.0,False,,False,,18354.0,18354.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6.0,False,-1,,,False,210.0,False,,False,,40876.0,40876.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,,,False,40.0,False,,False,,3339.0,3339.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,43.0,False,-1,,,False,1184.0,False,,False,,15953.0,15953.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,520,NRU,Nauru,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,-1,,,False,17319.0,False,,False,,112726.0,112726.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3.0,False,-1,,,False,2125.0,False,,False,,56619.0,56619.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,554,NZL,New Zealand,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,,,False,27.0,False,,False,,2415.0,2415.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,699,IND,India,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,28.0,False,-1,,,False,288100.0,False,,False,,1914114.0,1914114.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,702,SGP,Singapore,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,340.0,False,-1,,,False,72811.0,False,,False,,843928.0,843928.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,710,ZAF,South Africa,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,False,-1,,,False,711.0,False,,False,,11784.0,11784.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,780,TTO,Trinidad and Tobago,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,False,-1,,,False,63.0,False,,False,,5781.0,5781.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,72.0,False,-1,,,False,16133.0,False,,False,,380933.0,380933.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,842,USA,USA,0,W00,World,H3,HS,True,850231,"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6.0,False,-1,,,False,222.0,False,,False,,13305.0,13305.0,0,True,False,AUS,wind,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6520.0,False,-1,,,False,105431.0,False,,False,,2683158.0,2683158.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,15162.0,False,-1,,,False,58.0,False,,False,,273422.0,273422.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,330373.0,False,-1,,,False,79780.0,False,,False,,488086.0,488086.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,92,VGB,Br. Virgin Isds,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1000.0,False,-1,,,False,68.0,False,,False,,14044.0,14044.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,100,BGR,Bulgaria,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,15.0,False,-1,,,False,4.0,False,,False,,4021.0,4021.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9161.0,False,-1,,,False,89649.0,False,,False,,2619007.0,2619007.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,17488954.0,False,-1,,,False,44906601.0,False,,False,,782470421.0,782470421.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,188,CRI,Costa Rica,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4200.0,False,-1,,,False,3.0,False,,False,,1191.0,1191.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,191,HRV,Croatia,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,-1,,,False,156.0,False,,False,,1382.0,1382.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,203,CZE,Czechia,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,17286.0,False,-1,,,False,295576.0,False,,False,,6935911.0,6935911.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,208,DNK,Denmark,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,998.0,False,-1,,,False,13822.0,False,,False,,85748.0,85748.0,0,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,214,DOM,Dominican Rep.,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,289.0,False,-1,,,False,599.0,True,,False,,10458.0,10458.0,4,True,False,AUS,pv,2010
C,A,20100101,2010,52,2010,36,AUS,Australia,M,Import,242,FJI,Fiji,0,W00,World,H3,HS,True,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2350.0,False,-1,,,False,129.0,True,,False,,2257.0,2257.0,4,True,False,AUS,pv,2010
