iso3,country_name,year,tic,tic_status,tic_observed_flag,log_capacity_lag,technology,currency_base_year,equipment_share,equipment_cost,other_cost,equipment_observed_flag,equipment_cost_observed,completion_id,window_role,q,q_S1,q_S3,q_raw_scope,s_import,s_import_raw,import_dependency_value,import_dependency_id,sourcing_status,price_proxy_id,price_status,price_quality,selected_ratio,P1_completed,P2_completed,P2_local_ratio,P3_fixed,P3_index,P3_convergence05,P3_convergence10,Klevel,K0,Klevel_flow,Klevel_share,Klevel_lag2,Klevel_raw_tail,log_noncn_citations_lag,knowledge_status,knowledge_measure_id,patent_definition_unverified,reference_citation_year,pre_sample_reference_assumption,Klevel_stock10,Klevel_stock15,Klevel_stock20,relative_price,pc,pa,onshore_new_capacity_mw,onshore_new_capacity_share,offshore_share,onshore_scope_status,capacity_status,capacity_source,gross_new_capacity_kw,capacity_amount_label,sample_id,tariff_cn_effective,tariff_alt_effective,tariff_cn_regular,tariff_alt_regular,tariff_extra_equipment,tariff_status,tariff_events,unquantified_specific_duty,tariff_scenario_id,assumption_ids,evidence_grade,notes,border_ratio_actual,r0,q0,tau0,P,S,T,K,input_version,imports_usd,china_imports_usd,reported_world_usd,partner_sum_usd,world_minus_partner_sum,exports_usd,share_unit,value_share,units_share,kg_share,units_value_coverage,kg_value_coverage,hs6,source_file,trade_basis,china_record_observed,net_trade_balance_2010_2012,q_value,equipment_status,tariff_extra_low,tariff_extra_high,power_basis,new_capacity_kw,actual_cost_usd_per_kw,X_CN_actual,patent_knowledge_stock,q_ref_2010,tariff_cn_effective_ref_2010,tariff_alt_effective_ref_2010
AUS,Australia,2010,4143.08442946124,latest_Data_raw_source_native_anchor,1,,onshore_wind,2024,0.7664,3175.259906739094,967.824522722146,0,,,,0.2395833333333333,,,,0.3194444444444444,,0.75,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,,legacy_common_annual_price_contrast_extended_to_new_destination,,,,,,,,,,0.0,0.0,,,,,,not_used_procurement_adapter_only,,,,,,,,0.9799147323045648,0.9799147323045648,1.0,,,0.0,,,,,,,0.02,0.0249197867197334,0.02,0.0249197867197334,0.0,WITS_HS6_proxy_fixed_basket_plus_tower_scenario;2024_regular_carry_if_missing,,,,LATEST_SAMPLE_RAW_TRADE;GLOBAL_PRICE_PROXY;FIXED_DEPENDENCY;STRUCTURE_PROXY;TARIFF_APPLICATION_ASSUMED;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,,1.0000782629834115,0.8823260256017053,0.366553663439039,1.0000782629834115,,,,,latest_sample_extension_v1,22658962.0,19191691.0,22658962.0,22658962.0,0.0,1005139.0,u,0.8469801485169532,0.3194444444444444,0.2102621629804445,1.0,1.0,850231.0,Review1\learning_trade_model\data\raw\comtrade\bilateral_imports_raw.csv,direct_importer_original_classification,True,-0.9931518853510304,0.6352351113877149,legacy_median_turbine_share_assumption,0.0,0.0,source_native_power_basis_unverified,161000.0,4143.08442946124,29.47548,720.0,0.2395833333333333,0.02,0.0249197867197334
BRA,Brazil,2010,3106.24151583378,latest_Data_raw_source_native_anchor,1,6.404831685112001,onshore_wind,2024,0.7487648380000008,2325.844425392157,780.3970904416228,0,,primary,primary_through_2022_extension_after,0.0987499999999999,0.1316666666666666,0.1120239613546145,0.0987499999999999,0.1316666666666666,0.1316666666666666,0.75,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999998565123438,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,1.3862943611198906,1.3862943611198906,3.0,0.0652173913043478,1.3862943611198906,1.3862943611198906,3.784189633918261,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,2.58665816081605,2.495343145447205,2.4055748005058697,0.9799147323045648,0.9799147323045648,1.0,326.79999999999995,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,326799.99999999994,investment_saving_proxy_where_net_addition_proxy,12_countries,0.14,0.14,0.14,0.14,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_NEAREST_REGIME;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.8823260256017053,0.15507262038532,0.999997610793756,-0.003119535788755,0.0011341460212449,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,326799.99999999994,3106.24151583378,29.47548,720.0,0.0987499999999999,0.14,0.14
CAN,Canada,2010,3207.7690771496,latest_Data_raw_source_native_anchor,1,8.096512917501594,onshore_wind,2024,0.7487648379999997,2401.8646933933287,805.9043837562713,0,,primary,primary_through_2022_extension_after,0.1085575798094601,0.1447434397459468,0.1447434397459468,0.1085575798094601,0.1447434397459468,0.1447434397459468,0.75,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999995937766372,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,1.6094379124341005,1.6094379124341005,3.999999999999999,0.0170212765957446,1.6094379124341005,1.6094379124341005,5.44673737166631,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,2.8553431345321294,2.762192682698251,2.670445248571077,0.9799147323045648,0.9799147323045648,1.0,685.0,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,685000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0,0.0,0.0,0.0,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.8823260256017053,0.2478042739795606,1.0,-0.004989642768094,0.0028068541666076,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,685000.0,3207.7690771496,29.47548,720.0,0.1085575798094601,0.0,0.0
DEU,Germany,2010,2704.81912861014,latest_Data_raw_source_native_anchor,1,10.154168446843428,onshore_wind,2024,0.7481296760000006,2023.555458325708,681.263670284432,1,2103.258602497749,primary,primary_through_2022_extension_after,0.0003429085740121,0.0013716342960485,0.0,0.0003429085740121,0.0013716342960485,0.0013716342960485,0.25,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999998565123438,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,3.713572066704308,3.713572066704308,40.00000000000001,0.0140845070422535,3.713572066704308,3.713572066704308,7.937731775260109,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,5.104756889025476,5.006260739670239,4.90870592236304,0.9799147323045648,0.9799147323045648,1.0,1126.0,0.9615713065755764,0.0384286934244235,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,1126000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0135000002384185,0.0134065731476778,0.0135000002384185,0.0134065731476778,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0000921911236973,0.8823260256017053,0.0679185927287052,1.000033572838302,-0.001365094434033,0.0013582069998104,3.097838160193988e-08,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,1126000.0,2704.81912861014,29.47548,720.0,0.0003429085740121,0.0135000002384185,0.0134065731476778
ESP,Spain,2010,2917.33164963995,latest_Data_raw_source_native_anchor,1,9.861466923273516,onshore_wind,2024,0.7487648379999999,2184.3953600349296,732.9362896050202,0,,primary,primary_through_2022_extension_after,0.0699831365935919,0.2799325463743676,0.0,0.0699831365935919,0.2799325463743676,0.2799325463743676,0.25,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999998565123438,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,2.302585092994046,2.302585092994046,9.000000000000002,0.015126050420168,2.302585092994046,2.302585092994046,6.375024819828097,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.633786846203308,3.5374075529448934,3.442160166271021,0.9799147323045648,0.9799147323045648,1.0,1517.0,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,1517000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0135000002384185,0.013067618377497,0.0135000002384185,0.013067618377497,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0004268045420444,0.8823260256017053,0.0949907863880139,1.000252099882421,-0.0019097377620836,0.0005031189048176,2.930996130685721e-05,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,1517000.0,2917.33164963995,29.47548,720.0,0.0699831365935919,0.0135000002384185,0.013067618377497
FRA,France,2010,2950.06246839079,latest_Data_raw_source_native_anchor,1,8.430109084509125,onshore_wind,2024,0.7487648380000007,2208.903046234512,741.1594221562777,0,,primary,primary_through_2022_extension_after,0.1914682539682539,0.2552910052910053,0.1889166413036418,0.1914682539682539,0.2552910052910053,0.2552910052910053,0.75,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999950483731876,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,1.791759469228055,1.791759469228055,5.0,0.0115207373271889,1.791759469228055,1.791759469228055,6.063785208687608,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.0669127504863547,2.9726251612060723,2.879647794533189,0.9799147323045648,0.9799147323045648,1.0,1330.0,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,1330000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0135000002384185,0.0134950325347186,0.0135000002384185,0.0134950325347186,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0000049015570285,0.8823260256017053,0.2817402844732133,1.000010697952075,-0.0056749008677694,0.0018217960482206,9.231925805653328e-07,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,1330000.0,2950.06246839079,29.47548,720.0,0.1914682539682539,0.0135000002384185,0.0134950325347186
GBR,United Kingdom,2010,2646.67748094522,latest_Data_raw_source_native_anchor,1,8.15162164696975,onshore_wind,2024,0.7487648379999995,1981.7390352581945,664.9384456870255,0,,primary,primary_through_2022_extension_after,0.5552926405254008,0.7403901873672011,0.4939991613424617,0.0067999046563626,0.7403901873672011,0.0090665395418169,0.75,S2_FIXED_BASE_TRADE_GROUP,imputed_onshore_dominant_nearest_year_2016,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999998565123438,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,2.3978952727983707,2.3978952727983707,10.000000000000002,0.0113378684807256,2.3978952727983707,2.3978952727983707,6.771935555839602,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.7365022705313615,3.639854965617704,3.544316002922584,0.9799147323045648,0.9799147323045648,1.0,612.0,0.6107784431137725,0.3892215568862275,offshore_heavy_bridge_required,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,612000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0135000002384185,0.0135000002384185,0.0135000002384185,0.0135000002384185,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.8823260256017053,0.5552926405254008,1.0,-0.0112158646509637,0.0,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,612000.0,2646.67748094522,29.47548,720.0,0.5552926405254008,0.0135000002384185,0.0135000002384185
IND,India,2010,1607.28679420806,latest_Data_raw_source_native_anchor,1,9.298900548955665,onshore_wind,2024,0.7494000000000002,1204.5007235795204,402.7860706285396,1,1288.6217479403158,primary,primary_through_2022_extension_after,0.081967213114754,0.3278688524590163,0.0,0.081967213114754,0.3278688524590163,0.3278688524590163,0.25,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999934319953772,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,1.6094379124341005,1.6094379124341005,3.999999999999999,0.0123076923076923,1.6094379124341005,1.6094379124341005,5.7745515455444085,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,2.8553431345321294,2.762192682698251,2.670445248571077,0.9799147323045648,0.9799147323045648,1.0,2259.0,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,2259000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.075,0.075,0.075,0.075,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,True,representative_main_policy_coverage_assumption,S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.8823260256017053,0.130421252146725,1.0,-0.0026229827761301,0.0009752926623565,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,2259000.0,1607.28679420806,29.47548,720.0,0.081967213114754,0.075,0.075
ITA,Italy,2010,3042.57677133925,latest_Data_raw_source_native_anchor,1,8.492900498847193,onshore_wind,2024,0.7487648380000008,2278.174503294399,764.4022680448511,0,,primary,primary_through_2022_extension_after,0.2103825136612022,0.4207650273224044,0.1680139510885446,0.2103825136612022,0.4207650273224044,0.4207650273224044,0.5,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,wind_P1_kg,derived_composition_adjusted,adjusted_HS850231_still_composition_proxy,0.9799147323045648,0.9799147323045648,0.9999998565123438,0.9999998565123438,0.9999998565123438,1.0766260659902644,0.9999998565123438,0.9999998565123438,2.19722457733622,2.19722457733622,8.000000000000002,0.0316205533596838,2.19722457733622,2.19722457733622,5.5053315359323625,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.519300366129459,3.423254002752395,3.328368591006814,0.9799147323045648,0.9799147323045648,1.0,915.0,1.0,0.0,onshore_dominant_HS_mixed_proxy,net_addition_proxy,IRENA C-ELECCAP end-year stocks; year-to-year difference; not confirmed gross commissioning,915000.0,investment_saving_proxy_where_net_addition_proxy,12_countries,0.0135000002384185,0.0134990130114713,0.0135000002384185,0.0134990130114713,0.0,official_anchors_with_explicit_liability_and_coverage_assumptions,,False,representative_main_policy_coverage_assumption,E_STRUCTURE;S_IMPORT_DEPENDENCY;T_ALT_BASKET;T_UNKNOWN_EXTRA_ZERO;K_LAG;P_UV_COMPOSITION;T_UNKNOWN_EXTRA_ZERO;HS_ONSHORE_PROXY;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0000009740778577,0.8823260256017053,0.2673922111136682,1.000010698609647,-0.0053851178946484,0.0011505757575574,2.0166502876995601e-07,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,915000.0,3042.57677133925,29.47548,720.0,0.2103825136612022,0.0135000002384185,0.0134990130114713
POL,Poland,2010,3129.84156238276,latest_Data_raw_source_native_anchor,1,,onshore_wind,2024,0.7664000000000001,2398.7105734101474,731.1309889726126,0,,,,0.5150842945874002,,,,0.686779059449867,,0.75,S2_FIXED_BASE_TRADE_GROUP,quantity_share_proxy,,legacy_common_annual_price_contrast_extended_to_new_destination,,,,,,,,,,0.0,0.0,,,,,,not_used_procurement_adapter_only,,,,,,,,0.9799147323045648,0.9799147323045648,1.0,,,0.0,,,,,,,0.0135000002384185,0.0134993245497136,0.0135000002384185,0.0134993245497136,0.0,WITS_HS6_proxy_fixed_basket_plus_tower_scenario;2024_regular_carry_if_missing,,,,LATEST_SAMPLE_RAW_TRADE;GLOBAL_PRICE_PROXY;FIXED_DEPENDENCY;STRUCTURE_PROXY;TARIFF_APPLICATION_ASSUMED;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,,1.0000006666888557,0.8823260256017053,0.3661910534004735,1.0000006666888557,,,,,latest_sample_extension_v1,105142300.0,446417.0,105142300.0,105142300.0,0.0,67200.0,u,0.0042458363570133,0.686779059449867,0.0020862223497106,1.0,1.0,850231.0,Review1\learning_trade_model\data\raw\comtrade\bilateral_imports_raw.csv,direct_importer_original_classification,True,-0.993665356466107,0.0031843772677599,legacy_median_turbine_share_assumption,0.0,0.0,source_native_power_basis_unverified,399000.0,3129.84156238276,29.47548,720.0,0.5150842945874002,0.0135000002384185,0.0134993245497136
