technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
pv,AUS,2010,0.04372104086796168,8226.006707647639,2666.087536470219,6575.302935539268,5559.91917117742,9241.390472009487,39.73239,0.9854023379917494,-0.6311445523247294,51.842608557774575,observed_residual_preserved,False,0.0,0.0,0.0,0.0,0.0,0.0,9241.390472009487
pv,AUS,2011,0.04372104086796168,8070.627916404932,1951.7830260493906,4588.100431885518,6118.844890355542,6539.8834579349095,70.26885,0.962344623542295,-0.6311445523247294,150.0390540431568,observed_residual_preserved,False,344.36265788570546,14.740980429272447,0.0,2.0300668146859038,98.19644548538221,459.330150615046,6999.213608549955
pv,AUS,2012,0.04372104086796168,5845.8413892502,1192.4342491942662,3688.110954154833,4653.407140055934,4880.545203349099,99.31435,0.9374108575447556,-0.6311445523247294,193.75215516959946,observed_residual_preserved,False,828.9382913565837,42.11685117615549,0.0,2.8734090960825363,141.90954661182488,1015.8380982406467,5896.383301589746
pv,AUS,2013,0.04372104086796168,3431.1490001785755,860.2898660049309,3046.368948670667,2570.8591341736446,3906.658814675598,134.44763,0.8723220334936361,-0.6311445523247294,231.47404453480397,observed_residual_preserved,False,1057.6484863654168,76.50996728001226,0.0,5.9679452460522,179.63143597702938,1319.7578348685108,5226.416649544109
pv,AUS,2014,0.04372104086796168,3581.3283583559555,857.4327133734384,2601.525984466303,2723.8956449825173,3458.958697839741,172.65223999999998,0.8391796133082317,-0.6311445523247294,318.7334562719923,observed_residual_preserved,False,1005.1977987602082,9.527140440445324,0.0,6.95851770054727,266.8908477142177,1288.5743046154187,4747.5330024551595
pv,AUS,2015,0.04372104086796168,2663.0217981108967,724.9704361883232,2233.4270165617786,1938.0513619225735,2958.397452750102,219.86211,0.8048958958867447,-0.6311445523247294,284.5273439630091,observed_residual_preserved,False,1095.0976970141542,29.218325908454755,0.0,7.362873875004547,232.68473540523453,1364.363632202848,4322.76108495295
pv,AUS,2016,0.04372104086796168,2292.9292994915004,567.7810367104781,1870.0115835712204,1725.1482627810224,2437.7926202816984,291.30835,0.735208414039625,-0.6311445523247294,369.64288569790506,observed_residual_preserved,False,1220.5235538312345,61.736176879239366,0.0,9.91471957991503,317.8002771401305,1609.9747274305194,4047.767347712218
pv,AUS,2017,0.04372104086796168,2346.42868245442,507.80294671927766,1569.8958446438712,1838.6257357351424,2077.6987913631488,384.35013,0.6614012072794148,-0.6311445523247294,548.1185006968178,observed_residual_preserved,False,1203.6404970581923,16.906270637101073,0.0,11.831578063579684,496.27589213904326,1728.6542378979161,3806.353029261065
pv,AUS,2018,0.04372104086796168,1809.828003777512,438.89349130200554,1367.1582874292396,1370.9345124755066,1806.0517787312451,478.49221,0.6356344860870359,-0.6311445523247294,453.8906236258511,observed_residual_preserved,False,1300.2499785391678,64.06738772801113,0.0,11.487025159315555,402.04801506807655,1777.8524064945714,3583.9041852258165
pv,AUS,2019,0.04372104086796168,1489.0921446638883,336.0370827124785,1210.6961061267905,1153.05506195141,1546.733188839269,580.10487,0.6485187238645316,-0.6311445523247294,362.4385984397887,observed_residual_preserved,False,1407.82660225056,91.8994924042321,0.0,9.077665583563062,310.5959898820141,1819.3997501203694,3366.1329389596385
