technology,country,2023,2024,net_additions_2024_mw
pv,Afghanistan,31.7,41.7,10.000000000000004
pv,Albania,206.73,719.57,512.84
pv,Algeria,388.95,388.95,0.0
pv,Amer Samoa,5.61,5.61,0.0
pv,Andorra,4.81,6.81,2.0
pv,Angola,309.0,360.43,51.43000000000001
pv,Anguilla,1.54,1.54,0.0
pv,Antigua Barb,15.17,15.17,0.0
pv,Argentina,1396.93,1732.23,335.29999999999995
pv,Armenia,401.7,485.4,83.69999999999999
pv,Aruba,14.8,14.8,0.0
pv,Australia,30671.94,35994.94,5323.000000000004
pv,Austria,6385.61,8895.07,2509.46
pv,Azerbaijan,281.8,281.0,-0.8000000000000114
pv,BES Islands,16.1,21.4,5.299999999999997
pv,Bahamas,9.6,15.6,6.0
pv,Bahrain,56.62,66.03,9.410000000000004
pv,Bangladesh,594.22,708.44,114.22000000000003
pv,Barbados,69.34,69.34,0.0
pv,Belarus,272.7,265.0,-7.699999999999989
pv,Belgium,8360.4,9642.4,1282.0
pv,Belize,5.9,5.9,0.0
pv,Benin,26.4,26.4,0.0
pv,Bhutan,0.94,3.04,2.1
pv,Bolivia,166.66,170.41,3.75
pv,Bosnia Herzg,212.19,607.64,395.45
pv,Botswana,6.9,63.2,56.300000000000004
pv,Br Virgin Is,0.33,0.33,0.0
pv,Brazil,37556.61,53107.46,15550.849999999999
pv,Brunei Darsm,5.0,5.29,0.29000000000000004
pv,Bulgaria,2927.25,4559.88,1632.63
pv,Burkina Faso,155.0,183.6,28.599999999999994
pv,Burundi,7.9,7.9,0.0
pv,Cabo Verde,24.25,29.25,5.0
pv,Cambodia,481.64,966.0,484.36
pv,Cameroon,62.67,62.67,0.0
pv,Canada,5328.0,5818.47,490.47000000000025
pv,Cayman Is,14.1,14.1,0.0
pv,Cent Afr Rep,40.0,40.0,0.0
pv,Chad,0.5,0.5,0.0
pv,Chile,8629.75,10906.71,2276.959999999999
pv,China,608920.0,885680.0,276760.0
pv,China HK SAR,333.1,405.0,71.89999999999998
pv,Chinese Taipei,12417.69,14281.15,1863.4599999999991
pv,Colombia,514.1,1395.88,881.7800000000001
pv,Comoros,3.0,3.0,0.0
pv,Congo DR,3.85,8.7,4.85
pv,Congo Rep,0.0,0.0,0.0
pv,Cook Is,2.96,2.96,0.0
pv,Costa Rica,72.1,72.1,0.0
pv,Cote d Ivoire,30.0,30.0,0.0
pv,Croatia,462.5,901.8,439.29999999999995
