technology,iso3,cost_reduction,china_net,label_pct
pv,AUS,7282.037669095132,2097.4927100175014,28.803650919291886
pv,BRA,6798.078946200655,1976.9703024200303,29.081308382347185
pv,FRA,5410.699307984683,1769.0898849480836,32.69614118709943
pv,DEU,3819.462950544251,1623.1241367140567,42.49613513027456
pv,IND,5490.645156154766,1617.1938490206446,29.453621624188248
pv,ITA,5274.714075159887,933.2459989680668,17.692826296746297
pv,JPN,4732.825819242991,1956.8889666738296,41.34715794351442
pv,KOR,5750.361703815428,1405.81471958777,24.447413780162673
pv,ESP,4741.7765895245575,1543.5149829663214,32.55140671064565
pv,USA,4494.391436929972,512.1526253542527,11.395372044053506
wind,AUS,2762.5064308935325,730.2362436652205,26.4338296374219
wind,BRA,1799.196779698392,818.584567423463,45.49722279742443
wind,CAN,1970.2411215219868,583.7681594795719,29.629274970599447
wind,FRA,1089.5794531686884,224.54434355699016,20.608349662245907
wind,DEU,1035.2917565798798,230.0289760051388,22.21875858116045
wind,IND,497.0171557991782,384.89619074779984,77.44122838756067
wind,ITA,1634.4450235538238,147.4124792177392,9.01911517936625
wind,POL,1291.3669738725714,108.71813039198788,8.41884085559059
wind,ESP,1518.4988305827058,107.14980463459602,7.056298133168701
wind,SWE,1000.3444573012288,333.595499296846,33.34806294592104
wind,TUR,1454.6514714419732,442.71376506090667,30.434353090919537
wind,GBR,721.0565960692702,135.24273280546325,18.756188285734897
wind,USA,1282.1144403540648,88.70516021550458,6.918661659485564
