technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct
pv,AUS,Australia,2010,2024,Shapley,7282.037669095132,1610.2129149597858,124.96505213651768,0.0,5.451083925364991,356.8636589958313,2097.4927100175,5184.544959077632,-0.0,0.0,0.0,22.112120097833436,1.7160725859311008,0.0,0.07485657412209384,4.900601661405238,28.80365091929187
pv,AUS,Australia,2010,2024,SDA,7282.037669095132,1362.8083457907803,245.09239156048216,0.0,10.85327708784218,356.8636589958313,1975.617673434936,5306.419995660197,-0.0,0.0,-302.37475708480605,18.714656634838907,3.365711668873273,0.0,0.14904175975226466,4.900601661405238,27.130011724869682
pv,BRA,Brazil,2011,2024,Shapley,6798.078946200655,1029.6398977702654,183.0526700039856,-12.65914479823364,6.577221055982462,250.7778028360467,1457.3884468680465,5340.690499332608,12.65914479823364,-8.767150742077876,0.0,15.146042079221745,2.6927117418412894,-0.18621650172669219,0.09675117203012731,3.6889510230857594,21.43823951445223
pv,BRA,Brazil,2011,2024,SDA,6798.078946200655,587.2935902528892,305.8486408771948,-15.723775423472551,13.045057354912148,250.7778028360467,1141.24131589757,5656.837630303084,15.723775423472551,-24.830388837833056,-215.18783846070116,8.63911106212026,4.499045146395792,-0.23129733484869772,0.1918932901213634,3.6889510230857594,16.787703186874474
pv,DEU,Germany,2010,2024,Shapley,3819.462950544251,1346.3435145438216,143.0748554321802,0.0,16.173171744053118,117.53259499399836,1623.1241367140533,2196.338813830198,-0.0,0.0,0.0,35.24955031575776,3.745941701353403,0.0,0.42344099035568694,3.077202122807623,42.49613513027447
pv,DEU,Germany,2010,2024,SDA,3819.462950544251,925.5420717898731,243.30477730151827,0.0,24.19914048656722,117.53259499399836,1310.5785845719572,2508.8843659722943,-0.0,0.0,-241.12719166132905,24.232256832285515,6.3701305773066546,0.0,0.6335744265596027,3.077202122807623,34.3131639589594
pv,ESP,Spain,2010,2024,Shapley,4741.7765895245575,1106.2461895537292,211.45538049394293,0.0,6.172327597699051,219.64108532094792,1543.5149829663192,3198.2616065582383,-0.0,0.0,0.0,23.329783018407642,4.459412553537131,0.0,0.13016909340129687,4.632042045299537,32.5514067106456
pv,ESP,Spain,2010,2024,SDA,4741.7765895245575,590.047267893097,341.5606147385832,0.0,11.24061877314219,219.64108532094792,1162.4895867257703,3579.2870027987874,-0.0,0.0,-234.8032853105709,12.44359064061808,7.203220318164132,0.0,0.23705500588059653,4.632042045299537,24.515908009962345
pv,FRA,France,2010,2024,Shapley,5410.699307984683,1117.5161255202638,245.7737288965563,0.0,10.935095146087548,394.8649353851719,1769.0898849480798,3641.609423036604,-0.0,0.0,0.0,20.65382054905771,4.542365319282533,0.0,0.2021013278255991,7.2978539909335085,32.69614118709935
pv,FRA,France,2010,2024,SDA,5410.699307984683,524.5387184415536,389.98507110829854,0.0,20.50208975575108,394.8649353851719,1329.8908146907752,4080.808493293908,-0.0,0.0,-252.03878843563143,9.694471797157176,7.207664830547676,0.0,0.3789175592422169,7.2978539909335085,24.57890817788058
