iso3,spec,comparison,n,first,last,coefficient,p,R2
USA,C,previous_IEA,10,2010,2019,-2.9253087477891797,0.2967210416388942,0.9465150223450418
USA,C,new_source_matched_years,10,2010,2019,1.1845485231238948,0.6586339139765169,0.9571844994009296
USA,C,new_source_expanded_years,15,2010,2024,2.9755414804378053,0.006984047967578692,0.9441009751992638
USA,D,previous_IEA,10,2010,2019,-1.213161335306309,0.6407269932948585,0.9109180786353556
USA,D,new_source_matched_years,10,2010,2019,3.5665653299638116,0.279057901003815,0.9064419525301377
USA,D,new_source_expanded_years,15,2010,2024,3.2470747172458765,0.0016332343795268163,0.9422896904658145
DEU,C,previous_IEA,8,2010,2017,-12.257679644315306,0.2747301736496749,0.930398940895995
DEU,C,new_source_matched_years,8,2010,2017,-3.539192496865848,0.4961784053659714,0.9710414956118492
DEU,C,new_source_expanded_years,14,2010,2023,0.481718821125968,0.42572031729886406,0.9777481870789361
DEU,D,previous_IEA,8,2010,2017,-12.36894235054706,0.2202217406511709,0.9292307995918828
DEU,D,new_source_matched_years,8,2010,2017,-3.245240874898421,0.523687963992854,0.9550453138152153
DEU,D,new_source_expanded_years,14,2010,2023,1.9909569409494003,0.015500682508403094,0.9562734104458035
