model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_slopes_by_technology_spec,inference_scope,country_proxy,R2,adjusted_R2
wind__USA_LBNL_WM_chain__main_level,wind,USA_LBNL_WM_chain,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.274343118100706,0.5386555875134669,2.4918551687631423e-10,8.11064847020902,10.438037765992393,***,,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True,0.6038184706914778,0.5733429684369761
wind__USA_LBNL_WM_chain__main_level,wind,USA_LBNL_WM_chain,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.3462790494570753,0.09130781632550528,0.002239283269797464,-0.5435375939365961,-0.14902050497755456,***,0.002239283269797464,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True,0.6038184706914778,0.5733429684369761
wind__USA_LBNL_WM_chain__annual_difference,wind,USA_LBNL_WM_chain,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.010561535199623181,0.1248749101917969,0.9339923941756043,-0.26151752122933103,0.28264059162857735,,,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True,0.011057606222143912,-0.07135425992601063
wind__USA_LBNL_WM_chain__annual_difference,wind,USA_LBNL_WM_chain,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.36081773646038484,0.8680775836361525,0.6850013077612027,-2.252196312830052,1.5305608399092827,,0.7911193641758065,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True,0.011057606222143912,-0.07135425992601063
wind__USA_WM_only__main_level,wind,USA_WM_only,main_level,12,10,2013,2024,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,7.315176307878916,0.6247851279516743,3.680852152850542e-07,5.923068290159906,8.707284325597927,***,,,,0.0378536895524102,-0.05836094149234894
wind__USA_WM_only__main_level,wind,USA_WM_only,main_level,12,10,2013,2024,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.04985803915026077,0.09892348653484871,0.6251748412588276,-0.27027330287038764,0.1705572245698661,,,,,0.0378536895524102,-0.05836094149234894
wind__USA_WM_only__annual_difference,wind,USA_WM_only,annual_difference,11,9,2014,2024,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,-0.02542472674345577,0.07687202113449723,0.7484100344707175,-0.1993213199759304,0.14847186648901883,,,,,0.009221448941200916,-0.10086505673199908
wind__USA_WM_only__annual_difference,wind,USA_WM_only,annual_difference,11,9,2014,2024,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,0.20957327412269644,0.48679927020529223,0.6769485379280586,-0.8916431818443534,1.3107897300897462,,,,,0.009221448941200916,-0.10086505673199908
wind__USA_overlap_calibrated__main_level,wind,USA_overlap_calibrated,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,8.61947465315059,0.5418217205455913,6.670124864708736e-10,7.448939990694116,9.790009315607064,***,,,,0.4412350200809604,0.3982530985487266
wind__USA_overlap_calibrated__main_level,wind,USA_overlap_calibrated,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.2270321948995928,0.09020693482849146,0.025759508370129955,-0.42191242949848706,-0.032151960300698584,**,,,,0.4412350200809604,0.3982530985487266
wind__USA_overlap_calibrated__annual_difference,wind,USA_overlap_calibrated,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.054947819606056415,0.10470835307262062,0.609301226551751,-0.17319208344149634,0.28308772265360915,,,,,0.033632340974249386,-0.046898297277896406
wind__USA_overlap_calibrated__annual_difference,wind,USA_overlap_calibrated,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.6269365735116466,0.7723394265557915,0.43274972626991304,-2.309719624946292,1.0558464779229988,,,,,0.033632340974249386,-0.046898297277896406
wind__USA_unscaled_switch__main_level,wind,USA_unscaled_switch,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.310732842712145,0.5390147479325401,2.3927327548024664e-10,8.146262275908452,10.475203409515839,***,,,,0.6096426723246253,0.5796151855803657
wind__USA_unscaled_switch__main_level,wind,USA_unscaled_switch,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.3529053575332428,0.09144705463307601,0.0019731190285068654,-0.5504647080882181,-0.15534600697826756,***,,,,0.6096426723246253,0.5796151855803657
wind__USA_unscaled_switch__annual_difference,wind,USA_unscaled_switch,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.008095078571271166,0.12627582148723424,0.9499410901107871,-0.2670363013614023,0.2832264585039446,,,,,0.010113665436310426,-0.07237686244399688
wind__USA_unscaled_switch__annual_difference,wind,USA_unscaled_switch,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.34603004746249055,0.8750670916279581,0.6994632757343107,-2.2526374535177394,1.560577358592758,,,,,0.010113665436310426,-0.07237686244399688
wind__us_project_5_100mw__main_level,wind,us_project_5_100mw,main_level,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",False,const,9.275413032391732,0.5761219772020861,8.705379414205113e-05,7.675841988792122,10.874984075991344,***,,conditional HAC on selected price series,False,0.6969206318164709,0.6211507897705886
