year,order_mean,order_n,index_mean,index_points,anchor_scale,overlap_scale,price_2024usd_per_kw,value_status,is_estimated,method,Q_global_gw,logQ
2010,2007.439282028712,10,,0,1.0083074807356327,1.1701790637251615,2007.439282028712,US_order_annual_mean,False,mean of observed US order rows,177.71164000000002,5.180162236673185
2011,1810.7190888241348,13,,0,1.0083074807356327,1.1701790637251615,1810.7190888241348,US_order_annual_mean,False,mean of observed US order rows,216.24613,5.376417249698097
2012,1555.7446476537932,5,,0,1.0083074807356327,1.1701790637251615,1555.7446476537932,US_order_annual_mean,False,mean of observed US order rows,261.36127,5.56590362647905
2013,1581.7049281828563,10,1230.7162534435258,1,1.0083074807356327,1.1701790637251615,1581.7049281828563,US_order_annual_mean,False,mean of observed US order rows,292.27612,5.677698971893068
2014,1348.0200277619072,7,1224.9311294765837,1,1.0083074807356327,1.1701790637251615,1348.0200277619072,US_order_annual_mean,False,mean of observed US order rows,340.63979000000006,5.830825584658366
2015,1595.3430694467447,2,1213.3608815426994,1,1.0083074807356327,1.1701790637251615,1595.3430694467447,US_order_annual_mean,False,mean of observed US order rows,404.24651,6.002024865148459
2016,1118.443545780172,1,1109.2286501377407,1,1.0083074807356327,1.1701790637251615,1118.443545780172,US_order_annual_mean,False,mean of observed US order rows,452.48745,6.114760027948734
2017,,0,993.526170798898,1,1.0083074807356327,1.1701790637251615,1001.7798703231567,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,495.6822,6.205934995565976
2018,,0,935.6749311294764,1,1.0083074807356327,1.1701790637251615,943.4480325946489,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,539.4404499999999,6.290532398624406
2019,,0,981.9559228650136,1,1.0083074807356327,1.1701790637251615,990.1135027774551,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,594.24654,6.38729428375806
2020,,0,990.6336088154268,1,1.0083074807356327,1.1701790637251615,998.8632784367312,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,698.33524,6.548699273994664
2021,,0,1031.129476584022,1,1.0083074807356327,1.1701790637251615,1039.695564846687,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,769.27527,6.645448863841342
2022,,0,1062.9476584022036,1,1.0083074807356327,1.1701790637251615,1071.7780755973658,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,839.7858299999999,6.733146895042726
2023,,0,1213.3608815426994,1,1.0083074807356327,1.1701790637251615,1223.4408536914857,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,943.12808,6.849202095255681
2024,,0,1216.2534435261705,2,1.0083074807356327,1.1701790637251615,1226.357445577911,US_index_chain_estimate,True,2016 US order mean * index_t / index_2016,1049.19276,6.955776347473294
