assigned_country,country_assignment,series_id,series_label,series_type,geography_or_supplier,market_scope,year,price_mean_2025usd_per_kw,price_sd_2025usd_per_kw,price_min_2025usd_per_kw,price_max_2025usd_per_kw,reported_date_points,distinct_price_values,first_reported_date,last_reported_date,price_mean_2024usd_per_kw,price_sd_2024usd_per_kw,source_frequency_pattern,annualization_method,interpolation_status,source_file,source_sheet,cpi_2025_to_2024_factor,cpi_source,comparability_warning
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2010,1893.0592417865248,0.0,1893.0592417865248,1893.0592417865248,6,1,2010-01-01,2010-10-01,1844.524839790812,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2011,1939.2438241627071,0.0,1939.2438241627071,1939.2438241627071,10,1,2011-02-01,2011-12-01,1889.5253382051344,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2012,1810.5370347803864,0.0,1810.5370347803864,1810.5370347803864,3,1,2012-01-01,2012-10-01,1764.1183436298493,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2013,1760.4352987923278,0.0,1760.4352987923278,1760.4352987923278,6,1,2013-01-01,2013-12-01,1715.301119896586,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2014,1578.015301555493,0.0,1578.015301555493,1578.015301555493,7,1,2014-01-01,2014-12-01,1537.5580209218433,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2015,1347.6789912085767,0.0,1347.6789912085767,1347.6789912085767,2,1,2015-01-01,2015-09-01,1313.1270910478788,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2016,1310.9632237710837,0.0,1310.9632237710837,1310.9632237710837,3,1,2016-01-16,2016-12-16,1277.3526453487962,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2017,1156.2523705350754,0.0,1156.2523705350754,1156.2523705350754,2,1,2017-06-01,2017-12-01,1126.6082811577744,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2018,881.245251160827,0.0,881.245251160827,881.245251160827,2,1,2018-06-01,2018-12-01,858.6518159779486,0.0,one annual level carried across multiple source dates,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
DNK,user-designated Danish cost proxy; Vestas global ASP,vestas_asp,Vestas average selling price,OEM average selling price,Vestas,Vestas reported average selling price,2019,994.9455338926084,116.3050003319904,833.93671875,1084.6037286555554,4,4,2019-03-01,2019-12-01,969.437041902568,113.32316356976774,multiple within-year price observations,arithmetic mean of unique reported date-price points,observed; no interpolation,IRENA_TEC_RPGC_in_2025_data_file_2026.xlsx,Fig 2.6,0.9743619212096551,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,
