model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_slopes_by_technology_spec,inference_scope,country_proxy,R2,adjusted_R2
pv__CHN__main_level,pv,CHN,main_level,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,const,1.0531624883297273,0.22617527040160448,0.0006977855986239048,0.5553540745980476,1.5509709020614069,***,,conditional HAC on selected price series,False,0.988954462822594,0.986946183335793
pv__CHN__main_level,pv,CHN,main_level,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,logQ,-0.5094069001785779,0.02513454283654481,4.6348681663429925e-10,-0.5647276559672822,-0.4540861443898736,***,3.424298788199371e-09,conditional HAC on selected price series,False,0.988954462822594,0.986946183335793
pv__CHN__main_level,pv,CHN,main_level,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,logM,0.36861374555792087,0.03437089819006776,3.659120984484262e-07,0.2929639087028598,0.4442635824129819,***,1.2197069948280873e-06,conditional HAC on selected price series,False,0.988954462822594,0.986946183335793
pv__DEU__main_level,pv,DEU,main_level,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,const,1.2596020385132933,0.1365362467673291,1.6444889440533176e-06,0.9590877855649785,1.560116291461608,***,,conditional HAC on selected price series,False,0.9768224053997829,0.9726082972906526
pv__DEU__main_level,pv,DEU,main_level,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logQ,-0.3874765003794204,0.019827182399028323,6.848597576398742e-10,-0.43111583460593955,-0.3438371661529012,***,3.424298788199371e-09,conditional HAC on selected price series,False,0.9768224053997829,0.9726082972906526
pv__DEU__main_level,pv,DEU,main_level,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logM,0.25751001246717925,0.03294485700235723,8.140202839627292e-06,0.18499887110393615,0.33002115383042235,***,1.963388340723975e-05,conditional HAC on selected price series,False,0.9768224053997829,0.9726082972906526
pv__JPN__main_level,pv,JPN,main_level,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,const,3.878108316768624,1.1357930859008876,0.011219729737855384,1.1923844410559785,6.56383219248127,**,,conditional HAC on selected price series,False,0.8263998177266342,0.7767997656485297
pv__JPN__main_level,pv,JPN,main_level,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logQ,-0.5739927583121232,0.13312088712966288,0.0035152677916472116,-0.8887736364124698,-0.25921188021177655,***,0.005021811130924588,conditional HAC on selected price series,False,0.8263998177266342,0.7767997656485297
pv__JPN__main_level,pv,JPN,main_level,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logM,0.033448424450511605,0.15460808006076424,0.8348896814889194,-0.33214159115337033,0.39903844005439354,,0.8348896814889194,conditional HAC on selected price series,False,0.8263998177266342,0.7767997656485297
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,2.8489817899636107,0.5443641264766508,0.0033716738370456432,1.4496492544707031,4.248314325456518,***,,conditional HAC on selected price series,False,0.9237165501870817,0.8932031702619143
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.6035999212061967,0.06965040103453812,0.00033816750423497984,-0.7826419769503651,-0.4245578654620282,***,0.0005636125070582998,conditional HAC on selected price series,False,0.9237165501870817,0.8932031702619143
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logM,0.06713788411500324,0.065282033979285,0.3509042243076489,-0.10067492662553945,0.23495069485554593,,0.3898935825640543,conditional HAC on selected price series,False,0.9237165501870817,0.8932031702619143
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,2.0016384834923326,0.7181987041211438,0.016434918271293043,0.4368179327055435,3.566459034279122,**,,conditional HAC on selected price series,False,0.9105811423250407,0.8956779993792142
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.4906304306778069,0.06744847772963877,9.816941703619876e-06,-0.6375880392964112,-0.3436728220592026,***,1.963388340723975e-05,conditional HAC on selected price series,False,0.9105811423250407,0.8956779993792142
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logM,0.1710368422212794,0.13894046663965176,0.24190229186740397,-0.13168842905261596,0.4737621134951748,,0.30237786483425494,conditional HAC on selected price series,False,0.9105811423250407,0.8956779993792142
wind__DEU_spliced_proxy__main_level,wind,DEU_spliced_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,10.37926470673463,0.251500390581112,3.581449474298668e-15,9.835931145835493,10.922598267633768,***,,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True,0.9449159730002393,0.9406787401541039
wind__DEU_spliced_proxy__main_level,wind,DEU_spliced_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.5173177868697387,0.04209087770238833,1.5677177822503213e-08,-0.6082495997809122,-0.42638597395856526,***,7.838588911251606e-08,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True,0.9449159730002393,0.9406787401541039
wind__DNK_vestas_proxy__main_level,wind,DNK_vestas_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.492271559773439,0.4504810939968919,1.9642514373786246e-11,8.519066323974286,10.465476795572592,***,,conditional HAC on selected price series,True,0.6734294783361131,0.6483086689773526
wind__DNK_vestas_proxy__main_level,wind,DNK_vestas_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.37954337622053247,0.07666440783226403,0.0002651025319146299,-0.5451667599674999,-0.2139199924735651,***,0.0006627563297865747,conditional HAC on selected price series,True,0.6734294783361131,0.6483086689773526
wind__china_domestic__main_level,wind,china_domestic,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,10.754774353893588,1.022598128827848,9.993114577305909e-08,8.545585408218223,12.963963299568952,***,,conditional HAC on selected price series,False,0.7349338524611367,0.7145441488043012
wind__china_domestic__main_level,wind,china_domestic,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.7209200284230962,0.17389751537715217,0.0011505160238756828,-1.0966027700803427,-0.3452372867658497,***,0.0019175267064594713,conditional HAC on selected price series,False,0.7349338524611367,0.7145441488043012
wind__us_project_5_100mw__main_level,wind,us_project_5_100mw,main_level,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",False,const,9.275413032391732,0.5761219772020861,8.705379414205113e-05,7.675841988792122,10.874984075991343,***,,conditional HAC on selected price series,False,0.6969206318164709,0.6211507897705886
wind__us_project_5_100mw__main_level,wind,us_project_5_100mw,main_level,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",False,logQ,-0.3321169385855294,0.10263935766876348,0.031801240337269145,-0.6170894807856139,-0.047144396385444876,**,0.031801240337269145,conditional HAC on selected price series,False,0.6969206318164709,0.6211507897705886
wind__us_project_gt100mw__main_level,wind,us_project_gt100mw,main_level,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",False,const,9.693669913770483,0.5574849970585469,6.421186567628917e-05,8.145843422466072,11.241496405074894,***,,conditional HAC on selected price series,False,0.5265586643913384,0.408198330489173
wind__us_project_gt100mw__main_level,wind,us_project_gt100mw,main_level,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",False,logQ,-0.4152670469840114,0.1014055676819208,0.014912579140714737,-0.6968140390142845,-0.1337200549537383,**,0.01864072392589342,conditional HAC on selected price series,False,0.5265586643913384,0.408198330489173
