iso3,year,price,source,scope,period,raw_value,raw_unit,conversion,source_location,Q_global_gw,material,logQ,logM,eligible,logP
CHN,2010,2.361149395234075,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,2.361149395234075,2024 USD/W,1.0,CHN__china_domestic_typical,39.73239,86.15882929323459,3.682166724070565,4.456192445165693,True,0.8591485323548325
USA,2010,3.080597360614121,NREL Q1 2020 vintage historical series,utility module component,Q1,2.5106914154545565,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!B4,39.73239,86.15882929323459,3.682166724070565,4.456192445165693,True,1.1251235264312904
DEU,2010,3.1452931917701625,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),1.6487454545454543,nominal EUR/Wp; digitized,1.907688772150273,"PDF p9, original image year 2010; 2006 anchor 3306.6 EUR/kWp",39.73239,86.15882929323459,3.682166724070565,4.456192445165693,True,1.1459071105354406
JPN,2010,6.185854551124482,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,6.185854551124482,2024 USD/W,1.0,JPN__national_market_proxy,39.73239,86.15882929323459,3.682166724070565,4.456192445165693,True,1.8222651613974583
KOR,2010,2.7332845691015155,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,2.7332845691015155,2024 USD/W,1.0,KOR__national_market_proxy,39.73239,86.15882929323459,3.682166724070565,4.456192445165693,True,1.0055040248703366
CHN,2011,1.6592384175334265,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,1.6592384175334265,2024 USD/W,1.0,CHN__china_domestic_typical,70.26885,90.89271081670634,4.252328599622632,4.509679808932987,True,0.5063587124761711
USA,2011,2.751440299774658,NREL Q1 2020 vintage historical series,utility module component,Q1,2.242427922941161,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!C4,70.26885,90.89271081670634,4.252328599622632,4.509679808932987,True,1.0121245199443458
DEU,2011,2.035118483114291,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),1.0475454545454546,nominal EUR/Wp; digitized,1.9427495716616503,"PDF p9, original image year 2011; 2006 anchor 3306.6 EUR/kWp",70.26885,90.89271081670634,4.252328599622632,4.509679808932987,True,0.7105540398602702
JPN,2011,5.857115929207475,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,5.857115929207475,2024 USD/W,1.0,JPN__national_market_proxy,70.26885,90.89271081670634,4.252328599622632,4.509679808932987,True,1.767657320186044
KOR,2011,1.6734616940592788,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.6734616940592788,2024 USD/W,1.0,KOR__national_market_proxy,70.26885,90.89271081670634,4.252328599622632,4.509679808932987,True,0.514894351690676
CHN,2012,0.8338275607552864,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.8338275607552864,2024 USD/W,1.0,CHN__china_domestic_typical,99.31435,33.89647685975435,4.598290072191402,3.523311081544699,True,-0.181728659685843
USA,2012,1.4289661263907134,NREL Q1 2020 vintage historical series,utility module component,Q1,1.16460951125054,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!D4,99.31435,33.89647685975435,4.598290072191402,3.523311081544699,True,0.3569511942516002
DEU,2012,1.2802977286235708,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.7287272727272728,nominal EUR/Wp; digitized,1.7568955856860375,"PDF p9, original image year 2012; 2006 anchor 3306.6 EUR/kWp",99.31435,33.89647685975435,4.598290072191402,3.523311081544699,True,0.2470926513713912
JPN,2012,4.918597175884388,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,4.918597175884388,2024 USD/W,1.0,JPN__national_market_proxy,99.31435,33.89647685975435,4.598290072191402,3.523311081544699,True,1.5930233629950608
KOR,2012,1.2159865240380847,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.2159865240380847,2024 USD/W,1.0,KOR__national_market_proxy,99.31435,33.89647685975435,4.598290072191402,3.523311081544699,True,0.1955557012770447
CHN,2013,0.7490545000578582,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.7490545000578582,2024 USD/W,1.0,CHN__china_domestic_typical,134.44763,20.40384900784716,4.90117475518874,3.015723559908184,True,-0.2889435343499111
