technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed
pv,Australia,2010,8226.006707647639,2024 USD/kW,Figure 3.3,C5,IRENA_reported_cell,False
pv,Australia,2011,8070.627916404932,2024 USD/kW,Figure 3.3,D5,IRENA_reported_cell,False
pv,Australia,2012,5845.8413892502,2024 USD/kW,Figure 3.3,E5,IRENA_reported_cell,False
pv,Australia,2013,3431.1490001785755,2024 USD/kW,Figure 3.3,F5,IRENA_reported_cell,False
pv,Australia,2014,3581.3283583559555,2024 USD/kW,Figure 3.3,G5,IRENA_reported_cell,False
pv,Australia,2015,2663.0217981108967,2024 USD/kW,Figure 3.3,H5,IRENA_reported_cell,False
pv,Australia,2016,2292.9292994915004,2024 USD/kW,Figure 3.3,I5,IRENA_reported_cell,False
pv,Australia,2017,2346.42868245442,2024 USD/kW,Figure 3.3,J5,IRENA_reported_cell,False
pv,Australia,2018,1809.8280037775116,2024 USD/kW,Figure 3.3,K5,IRENA_reported_cell,False
pv,Australia,2019,1489.0921446638883,2024 USD/kW,Figure 3.3,L5,IRENA_reported_cell,False
pv,Australia,2020,1248.0457552893834,2024 USD/kW,Figure 3.3,M5,IRENA_reported_cell,False
pv,Australia,2021,1162.0471230412904,2024 USD/kW,Figure 3.3,N5,IRENA_reported_cell,False
pv,Australia,2022,979.5214615557929,2024 USD/kW,Figure 3.3,O5,IRENA_reported_cell,False
pv,Australia,2023,1012.2454310798985,2024 USD/kW,Figure 3.3,P5,IRENA_reported_cell,False
pv,Australia,2024,943.9690385525073,2024 USD/kW,Figure 3.3,Q5,IRENA_reported_cell,False
pv,Brazil,2010,,2024 USD/kW,Figure 3.3,C6,source_blank,False
pv,Brazil,2011,7522.515553575554,2024 USD/kW,Figure 3.3,D6,IRENA_reported_cell,False
pv,Brazil,2012,,2024 USD/kW,Figure 3.3,E6,source_blank,False
pv,Brazil,2013,5117.282639309783,2024 USD/kW,Figure 3.3,F6,IRENA_reported_cell,False
pv,Brazil,2014,6068.722799156141,2024 USD/kW,Figure 3.3,G6,IRENA_reported_cell,False
pv,Brazil,2015,2497.658976411624,2024 USD/kW,Figure 3.3,H6,IRENA_reported_cell,False
pv,Brazil,2016,2460.5928028234507,2024 USD/kW,Figure 3.3,I6,IRENA_reported_cell,False
pv,Brazil,2017,1975.0868857598143,2024 USD/kW,Figure 3.3,J6,IRENA_reported_cell,False
pv,Brazil,2018,1809.6190475909186,2024 USD/kW,Figure 3.3,K6,IRENA_reported_cell,False
pv,Brazil,2019,1495.162848478625,2024 USD/kW,Figure 3.3,L6,IRENA_reported_cell,False
pv,Brazil,2020,1298.4074341474254,2024 USD/kW,Figure 3.3,M6,IRENA_reported_cell,False
pv,Brazil,2021,915.5422974243717,2024 USD/kW,Figure 3.3,N6,IRENA_reported_cell,False
pv,Brazil,2022,779.5200740754375,2024 USD/kW,Figure 3.3,O6,IRENA_reported_cell,False
pv,Brazil,2023,744.352528682658,2024 USD/kW,Figure 3.3,P6,IRENA_reported_cell,False
pv,Brazil,2024,724.4366073748986,2024 USD/kW,Figure 3.3,Q6,IRENA_reported_cell,False
pv,China,2010,4291.432902265811,2024 USD/kW,Figure 3.3,C7,IRENA_reported_cell,False
pv,China,2011,4031.1623787810854,2024 USD/kW,Figure 3.3,D7,IRENA_reported_cell,False
pv,China,2012,3275.3966683631643,2024 USD/kW,Figure 3.3,E7,IRENA_reported_cell,False
pv,China,2013,2520.8503416008384,2024 USD/kW,Figure 3.3,F7,IRENA_reported_cell,False
pv,China,2014,2100.065022292831,2024 USD/kW,Figure 3.3,G7,IRENA_reported_cell,False
pv,China,2015,1622.5553814943787,2024 USD/kW,Figure 3.3,H7,IRENA_reported_cell,False
pv,China,2016,1468.7692152533812,2024 USD/kW,Figure 3.3,I7,IRENA_reported_cell,False
pv,China,2017,1377.8666056804332,2024 USD/kW,Figure 3.3,J7,IRENA_reported_cell,False
pv,China,2018,1047.2659983319315,2024 USD/kW,Figure 3.3,K7,IRENA_reported_cell,False
pv,China,2019,946.1882546932659,2024 USD/kW,Figure 3.3,L7,IRENA_reported_cell,False
