iso3,country_name,year,tic,tic_status,tic_observed_flag,log_capacity_lag,technology,currency_base_year,equipment_share,equipment_cost,other_cost,equipment_observed_flag,equipment_cost_observed,completion_id,window_role,q,q_S1,q_S3,q_raw_scope,s_import,s_import_raw,import_dependency_value,import_dependency_id,sourcing_status,price_proxy_id,price_status,price_quality,pc,pa,relative_price,convergence05,convergence10,non_CN_major_suppliers_pa,fixed_preperiod_supplier_basket_pa,Klevel,K0,Klevel_flow,Klevel_share,Klevel_lag2,Klevel_raw_tail,log_noncn_citations_lag,knowledge_status,knowledge_measure_id,patent_definition_unverified,reference_citation_year,pre_sample_reference_assumption,Klevel_stock10,Klevel_stock15,Klevel_stock20,gross_new_capacity_kw,national_new_capacity_kw_proxy,capacity_status,capacity_amount_label,sample_id,onshore_scope_status,tariff_status,tariff_scenario_id,assumption_ids,evidence_grade,notes,border_ratio_actual,r0,q0,tau0,P,S,T,K,input_version,imports_usd,china_imports_usd,reported_world_usd,partner_sum_usd,world_minus_partner_sum,exports_usd,share_unit,value_share,units_share,kg_share,units_value_coverage,kg_value_coverage,hs6,source_file,trade_basis,china_record_observed,net_trade_balance_2010_2012,q_value,equipment_status,power_basis,actual_cost_usd_per_kw,new_capacity_kw,X_CN_actual,patent_knowledge_stock,q_ref_2010,X_ref_2010,H_ref_2010
AUS,Australia,2010,8226.00670764764,latest_Data_raw_source_native_anchor,1,5.980909033168465,solar_pv,2024,0.2657343530048061,2185.9325702699407,6040.0741373777,0,,primary,primary_through_2022_extension_after,0.5357310279540023,0.7143080372720031,0.7035069591431645,0.5357310279540023,0.7143080372720031,0.7143080372720031,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,1.791759469228055,1.791759469228055,5.0,0.0289017341040462,1.791759469228055,1.791759469228055,5.1298987149230735,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.0669127504863547,2.9726251612060723,2.879647794533189,379500.0,910800.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.5632899010458235,1.0,-0.0951447647886143,0.0048716973834758,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,8226.00670764764,379500.0,10.0,10611.6,0.5357310279540023,10.0,10611.6
BRA,Brazil,2010,7522.51555357555,latest_Data_raw_source_native_anchor,1,,solar_pv,2024,0.264221717177781,1987.611977062298,5534.903576513252,0,,,,0.2936020014545247,,,,0.3914693352726996,,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,,legacy_common_annual_price_contrast_extended_to_new_destination,,2.9068154196280327,3.465125203499308,0.8388774572106491,,,,,0.0,0.0,,,,,,not_used_procurement_adapter_only,,,,,,,,24.99999999999991,,,,,,,,LATEST_SAMPLE_RAW_TRADE;GLOBAL_PRICE_PROXY;FIXED_DEPENDENCY;STRUCTURE_PROXY;TARIFF_APPLICATION_ASSUMED;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,,0.9999999999999998,0.7822241739646847,0.2883707572840275,1.0,,,,,latest_sample_extension_v1,146799838.0,57467635.0,146799838.0,146790254.0,9584.0,2105933.0,value,0.3914693352726996,0.3949692279583957,0.7551636066763958,1.0,1.0,854140.0,Review1\learning_trade_model\data\raw\comtrade\bilateral_imports_raw.csv,direct_importer_original_classification,True,-0.9652050696317598,0.2936020014545247,backcast_first_2018_module_share,source_native_power_basis_unverified,7522.51555357555,24.99999999999991,10.0,10611.6,0.2936020014545247,10.0,10611.6
DEU,Germany,2010,4412.42949894607,latest_Data_raw_source_native_anchor,1,9.44760771136079,solar_pv,2024,0.4074399684905556,1797.8001360173848,2614.6293629286856,0,,primary,primary_through_2022_extension_after,0.3700388752093839,0.4933851669458451,0.2974796271642483,0.3700388752093839,0.4933851669458451,0.4933851669458451,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,3.6635616461296463,3.6635616461296463,37.99999999999999,0.0136936936936936,3.6635616461296463,3.6635616461296463,7.914983005848394,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,5.053782902279498,4.955319798685518,4.857801080680042,3720000.0,8928000.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.4085081068364409,1.0,-0.0680859952416386,0.006613058921993,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,4412.42949894607,3720000.0,10.0,10611.6,0.3700388752093839,10.0,10611.6
ESP,Spain,2010,5563.90103079268,latest_Data_raw_source_native_anchor,1,8.322331899754332,solar_pv,2024,0.4150361822787431,2309.220242396958,3254.680788395722,0,,primary,primary_through_2022_extension_after,0.222160926953235,0.2962145692709801,0.1295480924053742,0.222160926953235,0.2962145692709801,0.2962145692709801,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,2.3978952727983707,2.3978952727983707,10.000000000000002,0.0418410041841004,2.3978952727983707,2.3978952727983707,5.438079308923196,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.7365022705313615,3.639854965617704,3.544316002922584,225970.0000000001,542328.0000000001,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.2829948316804992,1.0,-0.0466691044283291,0.0102176146367291,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,5563.90103079268,225970.0000000001,10.0,10611.6,0.222160926953235,10.0,10611.6
FRA,France,2010,6514.65732422562,latest_Data_raw_source_native_anchor,1,5.809342970316694,solar_pv,2024,0.4226323960669311,2753.305234492456,3761.352089733164,0,,primary,primary_through_2022_extension_after,0.1920508407447017,0.2560677876596023,0.1973630467710617,0.1920508407447017,0.2560677876596023,0.2560677876596023,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,2.4849066497880004,2.4849066497880004,11.0,0.0120218579234972,2.4849066497880004,2.4849066497880004,6.807934943699926,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,3.8296430685611225,3.7327753692954464,3.6369965122342567,383500.0,920400.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.2339896337025985,1.0,-0.0384300707526261,0.0069974826705923,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,6514.65732422562,383500.0,10.0,10611.6,0.1920508407447017,10.0,10611.6
IND,India,2010,6015.81257643064,latest_Data_raw_source_native_anchor,1,2.5416019934645457,solar_pv,2024,0.2657343530048059,1598.608062795971,4417.204513634669,0,,primary,primary_through_2022_extension_after,0.2094730271247598,0.2792973694996797,0.0,0.2094730271247598,0.2792973694996797,0.2792973694996797,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,1.3862943611198906,1.3862943611198906,3.0,0.036144578313253,1.3862943611198906,1.3862943611198906,4.394449154672439,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,2.58665816081605,2.495343145447205,2.4055748005058697,11435.0,27444.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.2594271375739698,1.0,-0.0426982954166279,0.0083647606812943,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,6015.81257643064,11435.0,10.0,10611.6,0.2094730271247598,10.0,10611.6
ITA,Italy,2010,6078.87429770245,latest_Data_raw_source_native_anchor,1,7.325017196969813,solar_pv,2024,0.4074399684905555,2476.7763523139342,3602.097945388516,0,,primary,primary_through_2022_extension_after,0.2937826984300906,0.3917102645734541,0.3917102645734541,0.2937826984300906,0.3917102645734541,0.3917102645734541,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,1.3862943611198906,1.3862943611198906,3.0,0.0092307692307692,1.3862943611198906,1.3862943611198906,5.777652323222656,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,2.58665816081605,2.495343145447205,2.4055748005058697,1164000.0,2793600.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.2994140675067587,1.0,-0.0494448521296045,0.0009528773288014,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,6078.87429770245,1164000.0,10.0,10611.6,0.2937826984300906,10.0,10611.6
JPN,Japan,2010,6644.27650186486,latest_Data_raw_source_native_anchor,0,8.05623651480338,solar_pv,2024,0.3021970360854507,2007.880665795767,4636.395836069092,0,,primary,primary_through_2022_extension_after,0.0954023884591692,0.3816095538366769,0.0,0.0954023884591692,0.3816095538366769,0.3816095538366769,0.25,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,3.218875824868201,3.218875824868201,24.0,0.0123203285420944,3.218875824868201,3.218875824868201,7.562681246721884,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,4.597968314657347,4.499889111619167,4.40278958502596,495500.0,1189200.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,D,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.0984915222542993,1.0,-0.015996468516115,0.0005056271709975,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,6644.27650186486,495500.0,10.0,10611.6,0.0954023884591692,10.0,10611.6
KOR,South Korea,2010,7012.58447961614,latest_Data_raw_source_native_anchor,1,6.4454023086669245,solar_pv,2024,0.3025207643425189,2121.4524167899604,4891.13206282618,0,,primary,primary_through_2022_extension_after,0.1616373379086477,0.3232746758172954,0.0,0.1616373379086477,0.3232746758172954,0.3232746758172954,0.5,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,2.995732273553991,2.995732273553991,19.0,0.0079631181894383,2.995732273553991,2.995732273553991,7.769800996003896,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,4.367000556482155,4.269193738942913,4.172391433384464,63500.0,152400.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.188465819333567,1.0,-0.0308366931976028,0.0044481389449273,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,7012.58447961614,63500.0,10.0,10611.6,0.1616373379086477,10.0,10611.6
USA,United States,2010,5552.42853873787,latest_Data_raw_source_native_anchor,1,7.569308587950903,solar_pv,2024,0.285006471737839,1582.4780674021656,3969.9504713357046,0,,primary,primary_through_2022_extension_after,0.2707293689466955,0.3609724919289273,0.0538413150394683,0.2707293689466955,0.3609724919289273,0.3609724919289273,0.75,S2_FIXED_BASE_TRADE_GROUP,value_share_proxy,PV_P1_observed_2010_2016,observed_full_year_origin_quote_preborder_assumption,manufacture_origin_quote_or_explicit_index_bridge; market_preborder_basis_assumed,2.9068154196280327,3.465125203499308,0.8388774572106491,0.8388774572106491,0.8388774572106491,4.323581845092186,4.698580717612772,5.153291594497779,5.153291594497779,172.00000000000006,0.0268038023998753,5.153291594497779,5.153291594497779,8.739696537843024,assumed_calendar_or_sparse_completion,lag1_log1p_citations,True,2010.0,True,6.558704341166719,6.459723804258468,6.361639553744349,647500.0,1554000.0,reported_additions_gross_net_unverified_times_assumed_utility_share,utility_scale_investment_proxy_with_assumed_50pct_capacity_share,10_countries,not_applicable_solar_pv,official_policy_anchors_with_firm_coverage_assumptions,representative_main_policy_coverage_assumption,A_TIC_INTERP;A_TIC_INDEX;A_STRUCTURE;A_MODULE;A_PRICE_BRIDGE;A_PRICE_TAX;A_TWO_BASKET;A_IMPORT;A_VALUE_QUANTITY;A_HS;A_CIT_ZERO;A_CIT_FILL;A_CIT_PRE;A_CIT_TAIL;A_CAPACITY;A_POWER;A_SCOPE;A_TARIFF_FILL;A_POLICY_COVER;A_EU_FLOOR;A_EU_MIX;A_FX;A_POLICY_UNKNOWN;A_PASS;A_REFERENCE;FINAL_PRICE_QUALITY;S2_FIXED_BASE_TRADE_GROUP;TRUE_BORDER_FREEZE;K_DEFINITION_UNVERIFIED;CAPACITY_SCOPE_PROXY;SOURCE_NATIVE_POWER_BASIS;UNDO_LEGACY_ASSUMED_DC_CONVERSION,C,Conditional cross-border cost channels; input corrections fixed without inspecting contribution signs. No causal identification.,1.0,0.7822241739646847,0.2885153322458873,1.0517573770491804,-0.0476015110609588,0.0030009237959931,0.0,0.0,legacy_retained_unchanged,,,,,,,,,,,,,,,,,,,,source_native_power_basis_unverified,5552.42853873787,647500.0,10.0,10611.6,0.2707293689466955,10.0,10611.6
