year,cpi_u_annual_average,source
2010,218.056,U.S. BLS CPI-U U.S. city average all items annual average
2011,224.939,U.S. BLS CPI-U U.S. city average all items annual average
2012,229.594,U.S. BLS CPI-U U.S. city average all items annual average
2013,232.957,U.S. BLS CPI-U U.S. city average all items annual average
2014,236.736,U.S. BLS CPI-U U.S. city average all items annual average
2015,237.017,U.S. BLS CPI-U U.S. city average all items annual average
2016,240.007,U.S. BLS CPI-U U.S. city average all items annual average
2017,245.120,U.S. BLS CPI-U U.S. city average all items annual average
2018,251.107,U.S. BLS CPI-U U.S. city average all items annual average
2019,255.657,U.S. BLS CPI-U U.S. city average all items annual average
2020,258.811,U.S. BLS CPI-U U.S. city average all items annual average
2021,270.970,U.S. BLS CPI-U U.S. city average all items annual average
2022,292.655,U.S. BLS CPI-U U.S. city average all items annual average
2023,304.702,U.S. BLS CPI-U U.S. city average all items annual average
2024,313.689,U.S. BLS CPI-U U.S. city average all items annual average
