technology,iso3,country,country_cn,spec,year,H,H2009,F_used,flow_year,delta,lag,early_missing_count
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2010,111.5,115.0,8.0,2010,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2011,122.35000000000001,115.0,22.0,2011,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2012,122.11500000000001,115.0,12.0,2012,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2013,128.9035,115.0,19.0,2013,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2014,125.01315000000001,115.0,9.0,2014,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2015,127.511835,115.0,15.0,2015,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2016,121.76065150000001,115.0,7.0,2016,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2017,114.58458635000001,115.0,5.0,2017,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2018,110.12612771500001,115.0,7.0,2018,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2019,105.11351494350001,115.0,6.0,2019,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2020,98.60216344915001,115.0,4.0,2020,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2021,97.74194710423501,115.0,9.0,2021,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2022,94.96775239381151,115.0,7.0,2022,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2023,90.47097715443036,115.0,5.0,2023,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag0,2024,87.42387943898733,115.0,6.0,2024,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2010,113.5,115.0,10.0,2008,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2011,115.15,115.0,13.0,2009,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2012,111.635,115.0,8.0,2010,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2013,122.4715,115.0,22.0,2011,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2014,122.22435,115.0,12.0,2012,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2015,129.001915,115.0,19.0,2013,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2016,125.1017235,115.0,9.0,2014,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2017,127.59155115,115.0,15.0,2015,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2018,121.832396035,115.0,7.0,2016,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2019,114.6491564315,115.0,5.0,2017,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2020,110.18424078835001,115.0,7.0,2018,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2021,105.16581670951501,115.0,6.0,2019,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2022,98.64923503856352,115.0,4.0,2020,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2023,97.78431153470717,115.0,9.0,2021,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2009_mean_lag2,2024,95.00588038123645,115.0,7.0,2022,0.1,2,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2010,100.7,103.0,8.0,2010,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2011,112.63000000000001,103.0,22.0,2011,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2012,113.367,103.0,12.0,2012,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2013,121.03030000000001,103.0,19.0,2013,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2014,117.92727000000001,103.0,9.0,2014,0.1,0,0
