technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,year,actual_log,fitted_log,residual_log
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2010,9.015055964210367,9.099820011563923,-0.08476404735355558
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2011,8.995986566961331,8.740089193659907,0.2558973733014245
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2012,8.673485813802989,8.515877115684457,0.15760869811853162
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2013,8.140650469539683,8.322751810283352,-0.18210134074366913
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2014,8.183489060392885,8.162137966133688,0.021351094259197012
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2015,7.887216771327145,8.007751304819253,-0.12053453349210841
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2016,7.737585449190881,7.8286440949299205,-0.09105864573903943
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2017,7.760649741614449,7.648634671131041,0.11201507048340797
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2018,7.500987094207372,7.5045700644658,-0.00358297025842802
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2019,7.305921914358211,7.379195878397039,-0.0732739640388278
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2020,7.129334211149437,7.2493070632315355,-0.11997285208209885
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2021,7.057938489981406,7.13097116057088,-0.07303267058947416
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2022,6.887064147870229,7.002958449579776,-0.11589430170954707
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2023,6.9199263412739285,6.815333444522655,0.10459289675127348
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,2024,6.850093367464099,6.637343174371204,0.21275019309289522
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2010,9.015055964210367,9.017177178961624,-0.002121214751257483
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2011,8.995986566961331,8.846193450846624,0.1497931161147079
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2012,8.673485813802989,8.478133272900504,0.19535254090248522
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2013,8.140650469539683,8.29924012023331,-0.15858965069362796
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2014,8.183489060392885,8.155563341936857,0.027925718456028648
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2015,7.887216771327145,8.028557673036644,-0.14134090170949953
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2016,7.737585449190881,7.928383631088758,-0.19079818189787723
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2017,7.760649741614449,7.794026696656379,-0.0333769550419305
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2018,7.500987094207372,7.516613979901443,-0.015626885694071113
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2019,7.305921914358211,7.30463869441206,0.001283219946150993
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2020,7.129334211149437,7.145497872066297,-0.0161636609168605
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2021,7.057938489981406,7.009840635242533,0.04809785473887285
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2022,6.887064147870229,6.900779418597862,-0.013715270727633566
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2023,6.9199263412739285,6.862015437507425,0.0579109037665031
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,2024,6.850093367464099,6.758723999956065,0.09136936750803404
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2010,9.015055964210367,9.176458138230629,-0.16140217402026202
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2011,8.995986566961331,8.755630280867608,0.24035628609372317
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2012,8.673485813802989,8.518430617365524,0.15505519643746446
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2013,8.140650469539683,8.290379350788506,-0.1497288812488229
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2014,8.183489060392885,8.13262947185767,0.05085958853521433
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2015,7.887216771327145,7.960427197210985,-0.07321042588383975
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2016,7.737585449190881,7.790137802597542,-0.05255235340666076
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2017,7.760649741614449,7.625031717199866,0.13561802441458326
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2018,7.500987094207372,7.488840899940506,0.01214619426686614
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,2019,7.305921914358211,7.375129236161332,-0.06920732180312061
