technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,R2,adj_R2,RMSE_log,AIC,AICc,BIC,VIF,correlation_logQ_logH,condition_standardized,a,b,g,p_HAC_b,p_HAC_g,covariance_HAC,rolling_RMSE_log,rolling_MAE_log,rolling_test_N
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,0.966202260563104,0.9636024344525735,0.13196875411794795,-12.187546873178562,-10.00572869136038,-10.063396269871932,1.0,,1.0,11.469867612596339,-0.6388821859771424,,7.450575655207527e-10,,"[[0.057473754377095385, -0.009591405993339502], [-0.00959140599333949, 0.0016418843113216767]]",0.13585822157534097,0.09515722802118631,7
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,0.9794626401357477,0.9778828432231129,0.10287257160907115,-19.65977076950871,-17.47795258769053,-17.53562016620208,1.0,,1.0000000000000002,9.071615163634284,-0.6454498863673905,,3.6315204363244113e-12,,"[[0.00604864149120839, -0.00197628437392841], [-0.0019762843739284095, 0.0007192006618926802]]",0.1118459648716575,0.10598230059459114,7
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,0.9681028771552354,0.9627866900144413,0.1282044339240016,-11.055718476949721,-7.055718476949721,-8.223517672540881,2.0935456422973187,-0.722731927113112,2.4926363227932455,13.50709762423108,-0.6685136063318459,-0.40040197003565225,2.04860439055993e-08,0.3907922091469802,"[[5.34689446001817, -0.08476571527623544, -1.0345209602252758], [-0.08476571527626403, 0.002662254421900048, 0.01475983880297918], [-1.0345209602264838, 0.014759838802992364, 0.20225312136880447]]",0.14096035612709384,0.11143222637482252,7
pv,AUS,Australia,澳大利亚,DD,domestic,domestic,2010,2024,15,3,12,0.9858462729310051,0.983487318419506,0.08540094930777259,-23.24378587085951,-19.24378587085951,-20.41158506645067,2.2216462050207233,-0.741541183127386,2.5957998229379156,12.709969295598796,-0.7030436241488436,-0.7559257314931713,2.4707322294843323e-09,0.06390839827553434,"[[3.286580761026454, -0.07448701356219195, -0.671141586020525], [-0.07448701356220444, 0.00202972986009979, 0.014980577636198866], [-0.6711415860205316, 0.014980577636196403, 0.1372103210246789]]",0.06133962902608794,0.05077327578547156,7
pv,AUS,Australia,澳大利亚,DG,domestic,global,2010,2024,15,3,12,0.9853300640841751,0.982885074764871,0.08694435665649222,-22.706452312047162,-18.706452312047162,-19.87425150763832,19.817558600302483,0.9744432757169386,8.789612655799301,-2.600252360151188,-0.8621573974338452,1.1151417260703145,6.012417606602473e-07,0.020945967191040724,"[[19.242705870249495, 0.38849143698437505, -1.8416418105549681], [0.388491436983196, 0.00818514719353007, -0.03726803930708844], [-1.8416418105563004, -0.03726803930722583, 0.1762815594797007]]",0.1285839749207565,0.09388823622072895,7
pv,AUS,Australia,澳大利亚,GG,global,global,2010,2024,15,3,12,0.9718945800105915,0.96721034334569,0.12034341453531511,-12.954019069600832,-8.954019069600832,-10.121818265191992,24.27058139257344,0.9791822381801047,9.75047728088076,-0.35901701911474504,-0.8754387498977181,1.2155308296564247,8.04001049291856e-05,0.11999497831858699,"[[49.43679601634699, 1.021617871593472, -5.10376495330803], [1.0216178715955593, 0.022520139544527362, -0.10622774466906626], [-5.1037649532958795, -0.10622774466860885, 0.527319797761221]]",0.25384289242378105,0.2103179613269015,7
pv,BRA,Brazil,巴西,G0,global,none,2010,2024,15,2,13,0.945529369626651,0.9413393211363934,0.19649487566563062,-0.2454117853706883,1.9364063964474933,1.8787388179359414,1.0,,1.0,12.04705307597683,-0.7412539220495534,,1.0209607018281018e-08,,"[[0.1364433575795507, -0.02131140556549932], [-0.021311405565499267, 0.0033878871750119954]]",0.16462044946481041,0.13901902845662356,7
pv,BRA,Brazil,巴西,D0,domestic,none,2010,2024,15,2,13,0.9533964759778704,0.9498115895146296,0.1817520874033442,-2.5851943321353197,-0.403376150317138,-0.46104372882868994,1.0,,1.0000000000000002,7.5372060683857365,-0.23627931207922911,,1.0687923098157627e-11,,"[[0.0022863290562742324, -6.369697266093643e-05], [-6.369697266093645e-05, 0.00011422058734274204]]",0.14772167481692272,0.12398211443031558,7
pv,BRA,Brazil,巴西,GD,global,domestic,2010,2024,15,3,12,0.9526338019462955,0.9447394356040114,0.18323325292720655,-0.34170395191852876,3.6582960480814712,2.4904968524903115,3.1671457842159647,0.8271990680140354,3.251770540854318,13.1778970892824,-0.6466654419633047,-0.41288410609023307,1.9752410313495807e-06,0.16867039343582718,"[[0.8513126943350469, 0.025645676125338537, -0.24135341818190714], [0.025645676125339197, 0.005768234154506338, -0.014641686968619979], [-0.2413534181818984, -0.014641686968619111, 0.07944783200036262]]",0.28500011123215385,0.22301085698634043,7
pv,BRA,Brazil,巴西,DD,domestic,domestic,2010,2024,15,3,12,0.953592105532593,0.9458574564546918,0.1813702120730124,-0.6482929859488955,3.3517070140511045,2.1839078184599447,4.402150576010272,0.8791122237413356,3.942622213230903,7.203125760454586,-0.24252216244341468,0.08077540183635534,2.0728771383703813e-07,0.7841201080244623,"[[1.362871647204309, 0.023611720230542893, -0.3363764223418664], [0.023611720230540464, 0.0005318129831361493, -0.005877781473294236], [-0.3363764223419008, -0.005877781473295467, 0.0831232220767597]]",0.350013714765922,0.2577507508242788,7
