technology,iso3,country,country_cn,spec,max_abs_difference,a,b_capacity,R2,adj_R2,p_HAC_b,g_knowledge,p_HAC_g
pv,AUS,Australia,澳大利亚,GD,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-5.551115123125783e-17,0.0
pv,BRA,Brazil,巴西,GD,1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-5.551115123125783e-17,8.326672684688674e-17
pv,CHN,China,中国,GD,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.2551405187698492e-17,2.7755575615628914e-17,0.0
pv,DEU,Germany,德国,GD,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,6.938893903907228e-17
pv,ESP,Spain,西班牙,GD,6.394884621840902e-14,-6.394884621840902e-14,1.9984014443252818e-15,-1.1102230246251565e-16,-1.1102230246251565e-16,-5.244457432484204e-19,2.1316282072803006e-14,-5.342167680444376e-14
pv,FRA,France,法国,GD,1.051173037502906e-13,-8.526512829121202e-14,1.6653345369377348e-15,2.220446049250313e-16,2.220446049250313e-16,-1.4397222292388684e-15,1.3322676295501878e-14,-1.051173037502906e-13
pv,IND,India,印度,GD,1.8318679906315083e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16,1.1102230246251565e-16,-2.1387581918171084e-20,3.0531133177191805e-16,-1.8318679906315083e-15
pv,ITA,Italy,意大利,GD,9.71445146547012e-17,0.0,0.0,0.0,0.0,0.0,0.0,9.71445146547012e-17
pv,JPN,Japan,日本,GD,3.552713678800501e-15,3.552713678800501e-15,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0
pv,KOR,South Korea,韩国,GD,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,3.230922474006803e-17,0.0,9.020562075079397e-17
pv,USA,United States,美国,GD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind,AUS,Australia,澳大利亚,G0,0.0,0.0,0.0,0.0,0.0,0.0,,
wind,BRA,Brazil,巴西,G0,1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,2.117582368135751e-22,,
wind,CAN,Canada,加拿大,G0,0.0,0.0,0.0,0.0,0.0,0.0,,
wind,CHN,China,中国,G0,7.28583859910259e-17,0.0,0.0,0.0,0.0,7.28583859910259e-17,,
wind,DEU,Germany,德国,G0,1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,,
wind,ESP,Spain,西班牙,G0,0.0,0.0,0.0,0.0,0.0,0.0,,
wind,FRA,France,法国,G0,5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,0.0,3.3881317890172014e-21,,
wind,GBR,United Kingdom,英国,G0,6.862999751833243e-17,0.0,0.0,0.0,0.0,6.862999751833243e-17,,
wind,IND,India,印度,G0,5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,0.0,3.252606517456513e-17,,
wind,ITA,Italy,意大利,G0,0.0,0.0,0.0,0.0,0.0,0.0,,
wind,POL,Poland,波兰,G0,5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,0.0,0.0,,
wind,SWE,Sweden,瑞典,G0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,5.987506497551198e-17,,
wind,TUR,Turkey,土耳其,G0,1.7763568394002505e-15,1.7763568394002505e-15,-5.551115123125783e-17,0.0,0.0,0.0,,
wind,USA,United States,美国,G0,1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,,
