technology,year,F_global,H_global,reported_geographies,excluded_office_flow,total_geographies
pv,2008,3177.0,31770.0,30,286.0,59
pv,2009,5137.0,33730.0,33,406.0,59
pv,2010,6424.0,36781.0,35,607.0,59
pv,2011,7259.0,40361.9,37,623.0,59
pv,2012,6334.0,42659.71,29,580.0,59
pv,2013,5339.0,43732.739,40,381.0,59
pv,2014,5603.0,44962.4651,36,153.0,59
pv,2015,5516.0,45982.218590000004,37,179.0,59
pv,2016,6675.0,48058.99673100001,38,161.0,59
pv,2017,7555.0,50808.097057900006,41,180.0,59
pv,2018,8913.0,54640.287352110005,41,195.0,59
pv,2019,7159.0,56335.258616899,39,183.0,59
pv,2020,8594.0,59295.7327552091,39,162.0,59
pv,2021,9543.0,62909.15947968819,28,149.0,59
pv,2022,11751.0,68369.24353171937,25,81.0,59
pv,2023,13458.0,74990.31917854745,25,79.0,59
pv,2024,9751.0,77242.28726069271,23,159.0,59
wind,2008,141.0,1410.0,27,11.0,61
wind,2009,221.0,1490.0,20,15.0,61
wind,2010,468.0,1809.0,36,128.0,61
wind,2011,494.0,2122.1000000000004,32,90.0,61
wind,2012,572.0,2481.8900000000003,35,129.0,61
wind,2013,429.0,2662.7010000000005,33,82.0,61
wind,2014,556.0,2952.4309000000003,34,156.0,61
wind,2015,406.0,3063.1878100000004,27,97.0,61
wind,2016,396.0,3152.8690290000004,31,80.0,61
wind,2017,425.0,3262.5821261000006,33,84.0,61
wind,2018,323.0,3259.3239134900005,34,80.0,61
wind,2019,243.0,3176.3915221410007,25,55.0,61
wind,2020,226.0,3084.752369926901,24,28.0,61
wind,2021,265.0,3041.277132934211,16,44.0,61
wind,2022,254.0,2991.14941964079,18,69.0,61
wind,2023,188.0,2880.034477676711,18,37.0,61
wind,2024,199.0,2791.03102990904,13,24.0,61
