year,cost,Q_global,Q_domestic,H_domestic,H_global,technology,iso3,country,country_cn
2010,8226.00670764764,40.84068000000001,1.088,100.7,36781.0,pv,AUS,Australia,澳大利亚
2011,8070.62791640493,71.71798000000001,1.4180000000000001,112.63000000000001,40361.9,pv,AUS,Australia,澳大利亚
2012,5845.8413892502,101.86881,2.508,113.367,42659.71,pv,AUS,Australia,澳大利亚
2013,3431.14900017858,137.82325,3.309,121.03030000000001,43732.739,pv,AUS,Australia,澳大利亚
2014,3581.32835835596,177.21617,4.134,117.92727000000001,44962.4651,pv,AUS,Australia,澳大利亚
2015,2663.0217981109,225.65821,5.033,121.13454300000001,45982.218590000004,pv,AUS,Australia,澳大利亚
2016,2292.9292994915,298.67803,5.878,116.0210887,48058.99673100001,pv,AUS,Australia,澳大利亚
2017,2346.42868245442,395.8847000000001,7.23823,109.41897983000001,50808.097057900006,pv,AUS,Australia,澳大利亚
2018,1809.82800377751,496.0207700000001,11.124770000000002,105.47708184700001,54640.287352110005,pv,AUS,Australia,澳大利亚
2019,1489.09214466389,603.5674000000001,15.44969,100.92937366230001,56335.258616899,pv,AUS,Australia,澳大利亚
2020,1248.04575528938,739.6403700000001,19.76963,94.83643629607,59295.7327552091,pv,AUS,Australia,澳大利亚
2021,1162.04712304129,890.1477300000001,24.39362,94.352792666463,62909.15947968819,pv,AUS,Australia,澳大利亚
2022,979.521461555793,1087.63105,28.88409,91.9175133998167,68369.24353171937,pv,AUS,Australia,澳大利亚
2023,1012.2454310799,1458.89454,30.67194,87.72576205983503,74990.31917854745,pv,AUS,Australia,澳大利亚
2024,943.969038552507,1927.59936,35.99494,84.95318585385154,77242.28726069271,pv,AUS,Australia,澳大利亚
2010,7522.51555357555,40.84068000000001,0.0019,36.300000000000004,36781.0,pv,BRA,Brazil,巴西
2011,7522.51555357555,71.71798000000001,0.0074600000000000005,38.67,40361.9,pv,BRA,Brazil,巴西
2012,6319.89909644267,101.86881,0.008470000000000002,38.803000000000004,42659.71,pv,BRA,Brazil,巴西
2013,5117.28263930978,137.82325,0.009400000000000002,41.922700000000006,43732.739,pv,BRA,Brazil,巴西
2014,6068.72279915614,177.21617,0.022010000000000002,40.730430000000005,44962.4651,pv,BRA,Brazil,巴西
2015,2497.65897641162,225.65821,0.04587,50.65738700000001,45982.218590000004,pv,BRA,Brazil,巴西
2016,2460.59280282345,298.67803,0.13113,57.59164830000001,48058.99673100001,pv,BRA,Brazil,巴西
2017,1975.08688575981,395.8847000000001,1.2025299999999999,70.83248347,50808.097057900006,pv,BRA,Brazil,巴西
2018,1809.61904759092,496.0207700000001,2.45044,79.749235123,54640.287352110005,pv,BRA,Brazil,巴西
