technology,spec,countries,median_R2,median_adj_R2,median_AICc,median_rolling_RMSE_log,median_VIF,negative_b,negative_g,HAC_p_g_lt_05
pv,D0,11,0.9533964759778704,0.9498115895146296,-2.904052576973017,0.1896339849587474,1.0,11,0,0
pv,DD,11,0.953592105532593,0.9458574564546918,-1.4766344139898884,0.22521984201435508,3.7476632552725233,10,3,3
pv,DG,11,0.9566979794581059,0.9494809760344568,-3.287364188267876,0.23747843051722126,8.564591586515956,10,9,5
pv,G0,11,0.945529369626651,0.9413393211363934,-3.8650877778986246,0.17619943164739021,1.0,11,0,0
pv,GD,11,0.9590281326841525,0.9521994881315113,-5.597663938636103,0.1972124083731322,4.790268691853419,11,9,5
pv,GG,11,0.9617719332268986,0.955400588764715,-8.954019069600832,0.22422000239891088,24.27058139257344,11,1,7
wind,D0,14,0.7374753824708129,0.7155983310100473,-13.762743316202288,0.1621161572321434,1.0,14,0,0
wind,DD,14,0.8446382481450441,0.8163906568986883,-13.139156567005143,0.1679377145788275,1.528973341746736,14,3,6
wind,DG,14,0.8389334952802744,0.8096486762403243,-13.362886012136235,0.14505412188395772,1.6290949081903379,14,4,7
wind,G0,14,0.7634541099381086,0.7437419524329509,-15.594301512564153,0.1380692721422671,1.0,14,0,0
wind,GD,14,0.8069974952931378,0.771906130800981,-14.064370712473979,0.14927562218268364,1.4918756962220079,14,1,3
wind,GG,14,0.8352839368914815,0.8053355617808418,-16.102335467919367,0.15397543929030771,1.4630943686788829,14,3,4
